ESTAR: Stopping Powers and Range Tables for Electrons

ARSENIC                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.245E+01	1.295E-02	1.246E+01	
1.250E-02	1.066E+01	1.370E-02	1.068E+01	
1.500E-02	9.380E+00	1.428E-02	9.394E+00	
1.750E-02	8.410E+00	1.474E-02	8.425E+00	
2.000E-02	7.650E+00	1.513E-02	7.665E+00	
2.500E-02	6.528E+00	1.573E-02	6.544E+00	
3.000E-02	5.737E+00	1.618E-02	5.753E+00	
3.500E-02	5.147E+00	1.655E-02	5.163E+00	
4.000E-02	4.689E+00	1.686E-02	4.706E+00	
4.500E-02	4.322E+00	1.712E-02	4.339E+00	
5.000E-02	4.021E+00	1.735E-02	4.039E+00	
5.500E-02	3.770E+00	1.756E-02	3.788E+00	
6.000E-02	3.557E+00	1.775E-02	3.575E+00	
7.000E-02	3.215E+00	1.810E-02	3.233E+00	
8.000E-02	2.952E+00	1.841E-02	2.970E+00	
9.000E-02	2.743E+00	1.871E-02	2.762E+00	
1.000E-01	2.574E+00	1.898E-02	2.593E+00	
1.250E-01	2.262E+00	1.964E-02	2.282E+00	
1.500E-01	2.051E+00	2.028E-02	2.071E+00	
1.750E-01	1.898E+00	2.091E-02	1.919E+00	
2.000E-01	1.784E+00	2.154E-02	1.805E+00	
2.500E-01	1.624E+00	2.286E-02	1.647E+00	
3.000E-01	1.519E+00	2.426E-02	1.543E+00	
3.500E-01	1.447E+00	2.575E-02	1.472E+00	
4.000E-01	1.394E+00	2.733E-02	1.422E+00	
4.500E-01	1.356E+00	2.900E-02	1.385E+00	
5.000E-01	1.326E+00	3.074E-02	1.357E+00	
5.500E-01	1.304E+00	3.254E-02	1.336E+00	
6.000E-01	1.286E+00	3.440E-02	1.321E+00	
7.000E-01	1.262E+00	3.828E-02	1.300E+00	
8.000E-01	1.247E+00	4.233E-02	1.290E+00	
9.000E-01	1.238E+00	4.654E-02	1.285E+00	
1.000E+00	1.233E+00	5.089E-02	1.284E+00	
1.250E+00	1.230E+00	6.232E-02	1.292E+00	
1.500E+00	1.234E+00	7.444E-02	1.309E+00	
1.750E+00	1.242E+00	8.708E-02	1.329E+00	
2.000E+00	1.250E+00	1.002E-01	1.350E+00	
2.500E+00	1.268E+00	1.274E-01	1.395E+00	
3.000E+00	1.284E+00	1.558E-01	1.440E+00	
3.500E+00	1.300E+00	1.851E-01	1.485E+00	
4.000E+00	1.314E+00	2.150E-01	1.529E+00	
4.500E+00	1.327E+00	2.457E-01	1.572E+00	
5.000E+00	1.338E+00	2.769E-01	1.615E+00	
5.500E+00	1.349E+00	3.085E-01	1.657E+00	
6.000E+00	1.358E+00	3.406E-01	1.699E+00	
7.000E+00	1.375E+00	4.060E-01	1.781E+00	
8.000E+00	1.390E+00	4.727E-01	1.863E+00	
9.000E+00	1.403E+00	5.404E-01	1.944E+00	
1.000E+01	1.415E+00	6.090E-01	2.024E+00	
1.250E+01	1.439E+00	7.839E-01	2.223E+00	
1.500E+01	1.459E+00	9.627E-01	2.422E+00	
1.750E+01	1.475E+00	1.144E+00	2.620E+00	
2.000E+01	1.489E+00	1.329E+00	2.818E+00	
2.500E+01	1.512E+00	1.703E+00	3.215E+00	
3.000E+01	1.530E+00	2.082E+00	3.612E+00	
3.500E+01	1.545E+00	2.467E+00	4.011E+00	
4.000E+01	1.557E+00	2.854E+00	4.412E+00	
4.500E+01	1.568E+00	3.245E+00	4.813E+00	
5.000E+01	1.577E+00	3.638E+00	5.215E+00	
5.500E+01	1.585E+00	4.032E+00	5.618E+00	
6.000E+01	1.593E+00	4.429E+00	6.022E+00	
7.000E+01	1.606E+00	5.226E+00	6.831E+00	
8.000E+01	1.617E+00	6.026E+00	7.643E+00	
9.000E+01	1.626E+00	6.830E+00	8.457E+00	
1.000E+02	1.635E+00	7.637E+00	9.272E+00	
1.250E+02	1.652E+00	9.664E+00	1.132E+01	
1.500E+02	1.666E+00	1.170E+01	1.337E+01	
1.750E+02	1.678E+00	1.374E+01	1.542E+01	
2.000E+02	1.688E+00	1.579E+01	1.748E+01	
2.500E+02	1.704E+00	1.990E+01	2.161E+01	
3.000E+02	1.718E+00	2.402E+01	2.574E+01	
3.500E+02	1.729E+00	2.815E+01	2.988E+01	
4.000E+02	1.738E+00	3.229E+01	3.403E+01	
4.500E+02	1.747E+00	3.643E+01	3.818E+01	
5.000E+02	1.754E+00	4.057E+01	4.233E+01	
5.500E+02	1.761E+00	4.472E+01	4.649E+01	
6.000E+02	1.767E+00	4.888E+01	5.064E+01	
7.000E+02	1.777E+00	5.719E+01	5.897E+01	
8.000E+02	1.787E+00	6.551E+01	6.730E+01	
9.000E+02	1.795E+00	7.384E+01	7.563E+01	
1.000E+03	1.802E+00	8.217E+01	8.397E+01	
