ESTAR: Stopping Powers and Range Tables for Electrons

LEAD                                                                     

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	8.428E+00	2.045E-02	8.448E+00	
1.250E-02	7.356E+00	2.251E-02	7.379E+00	
1.500E-02	6.561E+00	2.421E-02	6.585E+00	
1.750E-02	5.945E+00	2.566E-02	5.971E+00	
2.000E-02	5.453E+00	2.693E-02	5.480E+00	
2.500E-02	4.714E+00	2.908E-02	4.743E+00	
3.000E-02	4.182E+00	3.086E-02	4.212E+00	
3.500E-02	3.779E+00	3.240E-02	3.812E+00	
4.000E-02	3.463E+00	3.376E-02	3.497E+00	
4.500E-02	3.208E+00	3.500E-02	3.243E+00	
5.000E-02	2.997E+00	3.613E-02	3.034E+00	
5.500E-02	2.821E+00	3.718E-02	2.858E+00	
6.000E-02	2.670E+00	3.817E-02	2.708E+00	
7.000E-02	2.426E+00	3.998E-02	2.466E+00	
8.000E-02	2.237E+00	4.162E-02	2.279E+00	
9.000E-02	2.087E+00	4.313E-02	2.130E+00	
1.000E-01	1.964E+00	4.454E-02	2.008E+00	
1.250E-01	1.737E+00	4.772E-02	1.785E+00	
1.500E-01	1.583E+00	5.054E-02	1.633E+00	
1.750E-01	1.471E+00	5.312E-02	1.524E+00	
2.000E-01	1.387E+00	5.555E-02	1.442E+00	
2.500E-01	1.269E+00	6.015E-02	1.329E+00	
3.000E-01	1.193E+00	6.460E-02	1.257E+00	
3.500E-01	1.140E+00	6.900E-02	1.209E+00	
4.000E-01	1.102E+00	7.340E-02	1.175E+00	
4.500E-01	1.074E+00	7.781E-02	1.152E+00	
5.000E-01	1.053E+00	8.228E-02	1.135E+00	
5.500E-01	1.037E+00	8.677E-02	1.124E+00	
6.000E-01	1.026E+00	9.132E-02	1.117E+00	
7.000E-01	1.009E+00	1.005E-01	1.110E+00	
8.000E-01	1.000E+00	1.098E-01	1.110E+00	
9.000E-01	9.957E-01	1.193E-01	1.115E+00	
1.000E+00	9.939E-01	1.290E-01	1.123E+00	
1.250E+00	9.966E-01	1.537E-01	1.150E+00	
1.500E+00	1.004E+00	1.792E-01	1.183E+00	
1.750E+00	1.014E+00	2.053E-01	1.219E+00	
2.000E+00	1.024E+00	2.319E-01	1.256E+00	
2.500E+00	1.044E+00	2.866E-01	1.331E+00	
3.000E+00	1.063E+00	3.427E-01	1.406E+00	
3.500E+00	1.080E+00	3.999E-01	1.480E+00	
4.000E+00	1.095E+00	4.582E-01	1.553E+00	
4.500E+00	1.108E+00	5.174E-01	1.626E+00	
5.000E+00	1.120E+00	5.773E-01	1.698E+00	
5.500E+00	1.132E+00	6.379E-01	1.769E+00	
6.000E+00	1.142E+00	6.991E-01	1.841E+00	
7.000E+00	1.160E+00	8.233E-01	1.983E+00	
8.000E+00	1.175E+00	9.495E-01	2.125E+00	
9.000E+00	1.189E+00	1.077E+00	2.266E+00	
1.000E+01	1.201E+00	1.206E+00	2.407E+00	
1.250E+01	1.226E+00	1.535E+00	2.761E+00	
1.500E+01	1.246E+00	1.870E+00	3.116E+00	
1.750E+01	1.262E+00	2.210E+00	3.472E+00	
2.000E+01	1.277E+00	2.554E+00	3.830E+00	
2.500E+01	1.299E+00	3.252E+00	4.551E+00	
3.000E+01	1.318E+00	3.961E+00	5.279E+00	
3.500E+01	1.332E+00	4.678E+00	6.011E+00	
4.000E+01	1.345E+00	5.402E+00	6.747E+00	
4.500E+01	1.356E+00	6.132E+00	7.488E+00	
5.000E+01	1.365E+00	6.865E+00	8.231E+00	
5.500E+01	1.374E+00	7.603E+00	8.977E+00	
6.000E+01	1.381E+00	8.345E+00	9.726E+00	
7.000E+01	1.395E+00	9.836E+00	1.123E+01	
8.000E+01	1.406E+00	1.134E+01	1.274E+01	
9.000E+01	1.415E+00	1.284E+01	1.426E+01	
1.000E+02	1.423E+00	1.436E+01	1.578E+01	
1.250E+02	1.441E+00	1.816E+01	1.960E+01	
1.500E+02	1.455E+00	2.198E+01	2.344E+01	
1.750E+02	1.466E+00	2.582E+01	2.729E+01	
2.000E+02	1.476E+00	2.966E+01	3.114E+01	
2.500E+02	1.491E+00	3.737E+01	3.886E+01	
3.000E+02	1.504E+00	4.509E+01	4.660E+01	
3.500E+02	1.514E+00	5.283E+01	5.435E+01	
4.000E+02	1.523E+00	6.058E+01	6.210E+01	
4.500E+02	1.531E+00	6.833E+01	6.986E+01	
5.000E+02	1.538E+00	7.609E+01	7.763E+01	
5.500E+02	1.544E+00	8.386E+01	8.540E+01	
6.000E+02	1.550E+00	9.163E+01	9.318E+01	
7.000E+02	1.560E+00	1.072E+02	1.087E+02	
8.000E+02	1.568E+00	1.227E+02	1.243E+02	
9.000E+02	1.576E+00	1.383E+02	1.399E+02	
1.000E+03	1.583E+00	1.539E+02	1.555E+02	
