ESTAR: Stopping Powers and Range Tables for Electrons

BORON                                                                    

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.875E+01	2.400E-03	1.875E+01	
1.250E-02	1.577E+01	2.406E-03	1.577E+01	
1.500E-02	1.368E+01	2.410E-03	1.369E+01	
1.750E-02	1.214E+01	2.414E-03	1.214E+01	
2.000E-02	1.095E+01	2.418E-03	1.095E+01	
2.500E-02	9.221E+00	2.427E-03	9.223E+00	
3.000E-02	8.023E+00	2.435E-03	8.025E+00	
3.500E-02	7.141E+00	2.446E-03	7.143E+00	
4.000E-02	6.463E+00	2.457E-03	6.465E+00	
4.500E-02	5.925E+00	2.468E-03	5.927E+00	
5.000E-02	5.486E+00	2.480E-03	5.489E+00	
5.500E-02	5.123E+00	2.493E-03	5.125E+00	
6.000E-02	4.815E+00	2.506E-03	4.818E+00	
7.000E-02	4.325E+00	2.533E-03	4.327E+00	
8.000E-02	3.950E+00	2.562E-03	3.952E+00	
9.000E-02	3.654E+00	2.593E-03	3.656E+00	
1.000E-01	3.414E+00	2.625E-03	3.417E+00	
1.250E-01	2.977E+00	2.712E-03	2.980E+00	
1.500E-01	2.681E+00	2.806E-03	2.684E+00	
1.750E-01	2.468E+00	2.906E-03	2.471E+00	
2.000E-01	2.307E+00	3.011E-03	2.310E+00	
2.500E-01	2.084E+00	3.237E-03	2.087E+00	
3.000E-01	1.936E+00	3.482E-03	1.940E+00	
3.500E-01	1.833E+00	3.746E-03	1.837E+00	
4.000E-01	1.757E+00	4.025E-03	1.761E+00	
4.500E-01	1.700E+00	4.321E-03	1.705E+00	
5.000E-01	1.657E+00	4.629E-03	1.661E+00	
5.500E-01	1.622E+00	4.950E-03	1.627E+00	
6.000E-01	1.594E+00	5.283E-03	1.600E+00	
7.000E-01	1.554E+00	5.978E-03	1.560E+00	
8.000E-01	1.527E+00	6.709E-03	1.534E+00	
9.000E-01	1.508E+00	7.475E-03	1.516E+00	
1.000E+00	1.496E+00	8.269E-03	1.504E+00	
1.250E+00	1.479E+00	1.038E-02	1.489E+00	
1.500E+00	1.474E+00	1.263E-02	1.486E+00	
1.750E+00	1.474E+00	1.501E-02	1.489E+00	
2.000E+00	1.478E+00	1.749E-02	1.495E+00	
2.500E+00	1.488E+00	2.270E-02	1.511E+00	
3.000E+00	1.501E+00	2.821E-02	1.529E+00	
3.500E+00	1.513E+00	3.394E-02	1.547E+00	
4.000E+00	1.525E+00	3.987E-02	1.564E+00	
4.500E+00	1.535E+00	4.598E-02	1.581E+00	
5.000E+00	1.545E+00	5.223E-02	1.597E+00	
5.500E+00	1.554E+00	5.862E-02	1.613E+00	
6.000E+00	1.563E+00	6.513E-02	1.628E+00	
7.000E+00	1.577E+00	7.847E-02	1.656E+00	
8.000E+00	1.590E+00	9.218E-02	1.682E+00	
9.000E+00	1.601E+00	1.062E-01	1.707E+00	
1.000E+01	1.610E+00	1.205E-01	1.731E+00	
1.250E+01	1.630E+00	1.572E-01	1.787E+00	
1.500E+01	1.645E+00	1.950E-01	1.840E+00	
1.750E+01	1.658E+00	2.336E-01	1.891E+00	
2.000E+01	1.668E+00	2.729E-01	1.941E+00	
2.500E+01	1.686E+00	3.530E-01	2.039E+00	
3.000E+01	1.700E+00	4.346E-01	2.134E+00	
3.500E+01	1.711E+00	5.173E-01	2.228E+00	
4.000E+01	1.721E+00	6.009E-01	2.322E+00	
4.500E+01	1.730E+00	6.853E-01	2.415E+00	
5.000E+01	1.737E+00	7.703E-01	2.508E+00	
5.500E+01	1.744E+00	8.558E-01	2.600E+00	
6.000E+01	1.751E+00	9.418E-01	2.692E+00	
7.000E+01	1.762E+00	1.115E+00	2.877E+00	
8.000E+01	1.771E+00	1.290E+00	3.061E+00	
9.000E+01	1.780E+00	1.465E+00	3.245E+00	
1.000E+02	1.788E+00	1.642E+00	3.429E+00	
1.250E+02	1.804E+00	2.086E+00	3.890E+00	
1.500E+02	1.817E+00	2.534E+00	4.351E+00	
1.750E+02	1.828E+00	2.984E+00	4.812E+00	
2.000E+02	1.837E+00	3.437E+00	5.274E+00	
2.500E+02	1.853E+00	4.347E+00	6.200E+00	
3.000E+02	1.866E+00	5.261E+00	7.127E+00	
3.500E+02	1.877E+00	6.179E+00	8.056E+00	
4.000E+02	1.887E+00	7.099E+00	8.985E+00	
4.500E+02	1.895E+00	8.021E+00	9.916E+00	
5.000E+02	1.902E+00	8.945E+00	1.085E+01	
5.500E+02	1.909E+00	9.870E+00	1.178E+01	
6.000E+02	1.915E+00	1.080E+01	1.271E+01	
7.000E+02	1.926E+00	1.265E+01	1.458E+01	
8.000E+02	1.936E+00	1.451E+01	1.645E+01	
9.000E+02	1.944E+00	1.637E+01	1.832E+01	
1.000E+03	1.952E+00	1.824E+01	2.019E+01	
