ESTAR: Stopping Powers and Range Tables for Electrons

BERYLLIUM                                                                  

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.862E+01	1.815E-03	1.863E+01	
1.250E-02	1.564E+01	1.819E-03	1.564E+01	
1.500E-02	1.356E+01	1.823E-03	1.356E+01	
1.750E-02	1.202E+01	1.827E-03	1.202E+01	
2.000E-02	1.083E+01	1.831E-03	1.084E+01	
2.500E-02	9.113E+00	1.840E-03	9.115E+00	
3.000E-02	7.923E+00	1.849E-03	7.925E+00	
3.500E-02	7.047E+00	1.859E-03	7.049E+00	
4.000E-02	6.375E+00	1.870E-03	6.376E+00	
4.500E-02	5.841E+00	1.880E-03	5.843E+00	
5.000E-02	5.407E+00	1.891E-03	5.409E+00	
5.500E-02	5.047E+00	1.902E-03	5.049E+00	
6.000E-02	4.743E+00	1.914E-03	4.744E+00	
7.000E-02	4.257E+00	1.937E-03	4.259E+00	
8.000E-02	3.887E+00	1.962E-03	3.889E+00	
9.000E-02	3.594E+00	1.987E-03	3.596E+00	
1.000E-01	3.358E+00	2.014E-03	3.360E+00	
1.250E-01	2.926E+00	2.085E-03	2.928E+00	
1.500E-01	2.634E+00	2.160E-03	2.636E+00	
1.750E-01	2.424E+00	2.241E-03	2.426E+00	
2.000E-01	2.266E+00	2.326E-03	2.269E+00	
2.500E-01	2.046E+00	2.507E-03	2.049E+00	
3.000E-01	1.901E+00	2.704E-03	1.904E+00	
3.500E-01	1.800E+00	2.914E-03	1.803E+00	
4.000E-01	1.726E+00	3.137E-03	1.729E+00	
4.500E-01	1.670E+00	3.372E-03	1.673E+00	
5.000E-01	1.627E+00	3.618E-03	1.631E+00	
5.500E-01	1.593E+00	3.875E-03	1.597E+00	
6.000E-01	1.566E+00	4.139E-03	1.571E+00	
7.000E-01	1.527E+00	4.693E-03	1.532E+00	
8.000E-01	1.501E+00	5.277E-03	1.506E+00	
9.000E-01	1.483E+00	5.886E-03	1.489E+00	
1.000E+00	1.471E+00	6.520E-03	1.477E+00	
1.250E+00	1.455E+00	8.201E-03	1.463E+00	
1.500E+00	1.450E+00	1.000E-02	1.460E+00	
1.750E+00	1.451E+00	1.190E-02	1.463E+00	
2.000E+00	1.455E+00	1.388E-02	1.469E+00	
2.500E+00	1.466E+00	1.806E-02	1.484E+00	
3.000E+00	1.477E+00	2.247E-02	1.500E+00	
3.500E+00	1.489E+00	2.707E-02	1.516E+00	
4.000E+00	1.499E+00	3.182E-02	1.531E+00	
4.500E+00	1.508E+00	3.672E-02	1.545E+00	
5.000E+00	1.517E+00	4.174E-02	1.559E+00	
5.500E+00	1.525E+00	4.687E-02	1.572E+00	
6.000E+00	1.532E+00	5.211E-02	1.584E+00	
7.000E+00	1.544E+00	6.283E-02	1.607E+00	
8.000E+00	1.555E+00	7.386E-02	1.628E+00	
9.000E+00	1.564E+00	8.514E-02	1.649E+00	
1.000E+01	1.572E+00	9.664E-02	1.669E+00	
1.250E+01	1.589E+00	1.262E-01	1.715E+00	
1.500E+01	1.602E+00	1.566E-01	1.759E+00	
1.750E+01	1.613E+00	1.878E-01	1.801E+00	
2.000E+01	1.623E+00	2.194E-01	1.842E+00	
2.500E+01	1.639E+00	2.840E-01	1.923E+00	
3.000E+01	1.652E+00	3.499E-01	2.002E+00	
3.500E+01	1.663E+00	4.166E-01	2.079E+00	
4.000E+01	1.672E+00	4.841E-01	2.156E+00	
4.500E+01	1.680E+00	5.523E-01	2.232E+00	
5.000E+01	1.687E+00	6.209E-01	2.308E+00	
5.500E+01	1.694E+00	6.900E-01	2.384E+00	
6.000E+01	1.700E+00	7.595E-01	2.460E+00	
7.000E+01	1.711E+00	8.995E-01	2.610E+00	
8.000E+01	1.720E+00	1.041E+00	2.761E+00	
9.000E+01	1.728E+00	1.183E+00	2.911E+00	
1.000E+02	1.735E+00	1.325E+00	3.061E+00	
1.250E+02	1.751E+00	1.685E+00	3.436E+00	
1.500E+02	1.763E+00	2.048E+00	3.811E+00	
1.750E+02	1.774E+00	2.412E+00	4.186E+00	
2.000E+02	1.783E+00	2.779E+00	4.561E+00	
2.500E+02	1.798E+00	3.516E+00	5.314E+00	
3.000E+02	1.811E+00	4.256E+00	6.067E+00	
3.500E+02	1.821E+00	5.000E+00	6.821E+00	
4.000E+02	1.830E+00	5.746E+00	7.576E+00	
4.500E+02	1.838E+00	6.494E+00	8.332E+00	
5.000E+02	1.845E+00	7.242E+00	9.088E+00	
5.500E+02	1.852E+00	7.993E+00	9.845E+00	
6.000E+02	1.858E+00	8.744E+00	1.060E+01	
7.000E+02	1.868E+00	1.025E+01	1.212E+01	
8.000E+02	1.878E+00	1.176E+01	1.364E+01	
9.000E+02	1.886E+00	1.327E+01	1.515E+01	
1.000E+03	1.893E+00	1.478E+01	1.667E+01	
