ESTAR: Stopping Powers and Range Tables for Electrons

AMORPHOUS CARBON                                                               

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.999E+01	3.150E-03	1.999E+01	
1.250E-02	1.682E+01	3.161E-03	1.682E+01	
1.500E-02	1.460E+01	3.168E-03	1.461E+01	
1.750E-02	1.296E+01	3.172E-03	1.296E+01	
2.000E-02	1.169E+01	3.176E-03	1.169E+01	
2.500E-02	9.849E+00	3.184E-03	9.852E+00	
3.000E-02	8.572E+00	3.194E-03	8.575E+00	
3.500E-02	7.631E+00	3.204E-03	7.635E+00	
4.000E-02	6.908E+00	3.215E-03	6.911E+00	
4.500E-02	6.334E+00	3.228E-03	6.337E+00	
5.000E-02	5.866E+00	3.241E-03	5.869E+00	
5.500E-02	5.478E+00	3.255E-03	5.481E+00	
6.000E-02	5.150E+00	3.270E-03	5.153E+00	
7.000E-02	4.626E+00	3.303E-03	4.629E+00	
8.000E-02	4.226E+00	3.337E-03	4.229E+00	
9.000E-02	3.910E+00	3.375E-03	3.913E+00	
1.000E-01	3.654E+00	3.414E-03	3.657E+00	
1.250E-01	3.187E+00	3.523E-03	3.190E+00	
1.500E-01	2.871E+00	3.640E-03	2.874E+00	
1.750E-01	2.643E+00	3.764E-03	2.647E+00	
2.000E-01	2.472E+00	3.896E-03	2.476E+00	
2.500E-01	2.234E+00	4.179E-03	2.238E+00	
3.000E-01	2.076E+00	4.489E-03	2.081E+00	
3.500E-01	1.966E+00	4.820E-03	1.971E+00	
4.000E-01	1.886E+00	5.173E-03	1.891E+00	
4.500E-01	1.826E+00	5.545E-03	1.831E+00	
5.000E-01	1.779E+00	5.935E-03	1.785E+00	
5.500E-01	1.742E+00	6.340E-03	1.749E+00	
6.000E-01	1.713E+00	6.759E-03	1.720E+00	
7.000E-01	1.670E+00	7.637E-03	1.678E+00	
8.000E-01	1.641E+00	8.559E-03	1.650E+00	
9.000E-01	1.622E+00	9.523E-03	1.631E+00	
1.000E+00	1.608E+00	1.053E-02	1.619E+00	
1.250E+00	1.590E+00	1.318E-02	1.603E+00	
1.500E+00	1.584E+00	1.602E-02	1.600E+00	
1.750E+00	1.585E+00	1.901E-02	1.604E+00	
2.000E+00	1.588E+00	2.213E-02	1.610E+00	
2.500E+00	1.599E+00	2.870E-02	1.628E+00	
3.000E+00	1.612E+00	3.561E-02	1.648E+00	
3.500E+00	1.625E+00	4.281E-02	1.668E+00	
4.000E+00	1.637E+00	5.026E-02	1.688E+00	
4.500E+00	1.649E+00	5.792E-02	1.707E+00	
5.000E+00	1.660E+00	6.576E-02	1.726E+00	
5.500E+00	1.670E+00	7.378E-02	1.744E+00	
6.000E+00	1.679E+00	8.193E-02	1.761E+00	
7.000E+00	1.696E+00	9.865E-02	1.795E+00	
8.000E+00	1.710E+00	1.158E-01	1.826E+00	
9.000E+00	1.723E+00	1.334E-01	1.857E+00	
1.000E+01	1.735E+00	1.513E-01	1.886E+00	
1.250E+01	1.758E+00	1.971E-01	1.955E+00	
1.500E+01	1.777E+00	2.444E-01	2.021E+00	
1.750E+01	1.792E+00	2.927E-01	2.084E+00	
2.000E+01	1.804E+00	3.417E-01	2.146E+00	
2.500E+01	1.824E+00	4.417E-01	2.266E+00	
3.000E+01	1.840E+00	5.435E-01	2.384E+00	
3.500E+01	1.853E+00	6.466E-01	2.500E+00	
4.000E+01	1.865E+00	7.508E-01	2.615E+00	
4.500E+01	1.874E+00	8.559E-01	2.730E+00	
5.000E+01	1.883E+00	9.617E-01	2.844E+00	
5.500E+01	1.890E+00	1.068E+00	2.959E+00	
6.000E+01	1.897E+00	1.175E+00	3.073E+00	
7.000E+01	1.910E+00	1.391E+00	3.300E+00	
8.000E+01	1.920E+00	1.608E+00	3.528E+00	
9.000E+01	1.929E+00	1.827E+00	3.756E+00	
1.000E+02	1.938E+00	2.046E+00	3.984E+00	
1.250E+02	1.955E+00	2.598E+00	4.553E+00	
1.500E+02	1.969E+00	3.155E+00	5.124E+00	
1.750E+02	1.981E+00	3.714E+00	5.695E+00	
2.000E+02	1.991E+00	4.276E+00	6.268E+00	
2.500E+02	2.009E+00	5.405E+00	7.414E+00	
3.000E+02	2.023E+00	6.540E+00	8.563E+00	
3.500E+02	2.034E+00	7.678E+00	9.713E+00	
4.000E+02	2.045E+00	8.820E+00	1.086E+01	
4.500E+02	2.054E+00	9.964E+00	1.202E+01	
5.000E+02	2.062E+00	1.111E+01	1.317E+01	
5.500E+02	2.069E+00	1.226E+01	1.433E+01	
6.000E+02	2.076E+00	1.340E+01	1.548E+01	
7.000E+02	2.088E+00	1.570E+01	1.779E+01	
8.000E+02	2.098E+00	1.801E+01	2.011E+01	
9.000E+02	2.107E+00	2.031E+01	2.242E+01	
1.000E+03	2.115E+00	2.262E+01	2.474E+01	
