ESTAR: Stopping Powers and Range Tables for Electrons

CALCIUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.651E+01	9.880E-03	1.652E+01	
1.250E-02	1.402E+01	1.026E-02	1.403E+01	
1.500E-02	1.225E+01	1.054E-02	1.227E+01	
1.750E-02	1.093E+01	1.075E-02	1.094E+01	
2.000E-02	9.905E+00	1.093E-02	9.916E+00	
2.500E-02	8.400E+00	1.118E-02	8.412E+00	
3.000E-02	7.348E+00	1.137E-02	7.360E+00	
3.500E-02	6.569E+00	1.151E-02	6.580E+00	
4.000E-02	5.966E+00	1.163E-02	5.978E+00	
4.500E-02	5.486E+00	1.173E-02	5.498E+00	
5.000E-02	5.094E+00	1.181E-02	5.105E+00	
5.500E-02	4.767E+00	1.189E-02	4.779E+00	
6.000E-02	4.490E+00	1.195E-02	4.502E+00	
7.000E-02	4.047E+00	1.208E-02	4.059E+00	
8.000E-02	3.707E+00	1.220E-02	3.719E+00	
9.000E-02	3.438E+00	1.232E-02	3.451E+00	
1.000E-01	3.221E+00	1.244E-02	3.233E+00	
1.250E-01	2.822E+00	1.276E-02	2.834E+00	
1.500E-01	2.551E+00	1.310E-02	2.564E+00	
1.750E-01	2.357E+00	1.346E-02	2.370E+00	
2.000E-01	2.210E+00	1.385E-02	2.224E+00	
2.500E-01	2.007E+00	1.470E-02	2.021E+00	
3.000E-01	1.873E+00	1.564E-02	1.889E+00	
3.500E-01	1.781E+00	1.664E-02	1.797E+00	
4.000E-01	1.714E+00	1.771E-02	1.732E+00	
4.500E-01	1.664E+00	1.885E-02	1.683E+00	
5.000E-01	1.626E+00	2.003E-02	1.647E+00	
5.500E-01	1.597E+00	2.126E-02	1.619E+00	
6.000E-01	1.575E+00	2.253E-02	1.597E+00	
7.000E-01	1.542E+00	2.519E-02	1.568E+00	
8.000E-01	1.522E+00	2.798E-02	1.550E+00	
9.000E-01	1.509E+00	3.089E-02	1.540E+00	
1.000E+00	1.502E+00	3.391E-02	1.536E+00	
1.250E+00	1.495E+00	4.188E-02	1.537E+00	
1.500E+00	1.498E+00	5.038E-02	1.548E+00	
1.750E+00	1.504E+00	5.930E-02	1.564E+00	
2.000E+00	1.513E+00	6.858E-02	1.582E+00	
2.500E+00	1.532E+00	8.797E-02	1.620E+00	
3.000E+00	1.551E+00	1.083E-01	1.659E+00	
3.500E+00	1.568E+00	1.294E-01	1.698E+00	
4.000E+00	1.585E+00	1.510E-01	1.736E+00	
4.500E+00	1.600E+00	1.732E-01	1.773E+00	
5.000E+00	1.613E+00	1.958E-01	1.809E+00	
5.500E+00	1.626E+00	2.188E-01	1.845E+00	
6.000E+00	1.637E+00	2.422E-01	1.880E+00	
7.000E+00	1.658E+00	2.900E-01	1.948E+00	
8.000E+00	1.676E+00	3.387E-01	2.015E+00	
9.000E+00	1.692E+00	3.883E-01	2.080E+00	
1.000E+01	1.705E+00	4.388E-01	2.144E+00	
1.250E+01	1.734E+00	5.674E-01	2.302E+00	
1.500E+01	1.757E+00	6.990E-01	2.456E+00	
1.750E+01	1.775E+00	8.329E-01	2.608E+00	
2.000E+01	1.790E+00	9.686E-01	2.759E+00	
2.500E+01	1.814E+00	1.244E+00	3.058E+00	
3.000E+01	1.833E+00	1.524E+00	3.357E+00	
3.500E+01	1.849E+00	1.806E+00	3.655E+00	
4.000E+01	1.862E+00	2.092E+00	3.954E+00	
4.500E+01	1.873E+00	2.379E+00	4.252E+00	
5.000E+01	1.884E+00	2.668E+00	4.551E+00	
5.500E+01	1.893E+00	2.958E+00	4.851E+00	
6.000E+01	1.901E+00	3.250E+00	5.150E+00	
7.000E+01	1.915E+00	3.837E+00	5.752E+00	
8.000E+01	1.927E+00	4.427E+00	6.354E+00	
9.000E+01	1.938E+00	5.020E+00	6.958E+00	
1.000E+02	1.947E+00	5.616E+00	7.563E+00	
1.250E+02	1.966E+00	7.114E+00	9.080E+00	
1.500E+02	1.982E+00	8.621E+00	1.060E+01	
1.750E+02	1.995E+00	1.013E+01	1.213E+01	
2.000E+02	2.006E+00	1.165E+01	1.366E+01	
2.500E+02	2.024E+00	1.470E+01	1.672E+01	
3.000E+02	2.039E+00	1.776E+01	1.980E+01	
3.500E+02	2.051E+00	2.083E+01	2.288E+01	
4.000E+02	2.061E+00	2.390E+01	2.596E+01	
4.500E+02	2.071E+00	2.697E+01	2.904E+01	
5.000E+02	2.079E+00	3.005E+01	3.213E+01	
5.500E+02	2.086E+00	3.314E+01	3.523E+01	
6.000E+02	2.093E+00	3.622E+01	3.832E+01	
7.000E+02	2.105E+00	4.240E+01	4.451E+01	
8.000E+02	2.115E+00	4.859E+01	5.070E+01	
9.000E+02	2.124E+00	5.477E+01	5.690E+01	
1.000E+03	2.132E+00	6.097E+01	6.310E+01	
