ESTAR: Stopping Powers and Range Tables for Electrons

CHLORINE                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.623E+01	8.276E-03	1.624E+01	
1.250E-02	1.376E+01	8.540E-03	1.377E+01	
1.500E-02	1.202E+01	8.730E-03	1.203E+01	
1.750E-02	1.072E+01	8.876E-03	1.073E+01	
2.000E-02	9.704E+00	8.990E-03	9.713E+00	
2.500E-02	8.224E+00	9.157E-03	8.233E+00	
3.000E-02	7.190E+00	9.275E-03	7.199E+00	
3.500E-02	6.424E+00	9.366E-03	6.433E+00	
4.000E-02	5.833E+00	9.438E-03	5.842E+00	
4.500E-02	5.361E+00	9.500E-03	5.371E+00	
5.000E-02	4.977E+00	9.553E-03	4.986E+00	
5.500E-02	4.656E+00	9.602E-03	4.666E+00	
6.000E-02	4.385E+00	9.647E-03	4.395E+00	
7.000E-02	3.951E+00	9.733E-03	3.961E+00	
8.000E-02	3.619E+00	9.816E-03	3.629E+00	
9.000E-02	3.356E+00	9.903E-03	3.366E+00	
1.000E-01	3.143E+00	9.993E-03	3.153E+00	
1.250E-01	2.753E+00	1.023E-02	2.763E+00	
1.500E-01	2.489E+00	1.051E-02	2.499E+00	
1.750E-01	2.299E+00	1.080E-02	2.310E+00	
2.000E-01	2.156E+00	1.112E-02	2.168E+00	
2.500E-01	1.958E+00	1.181E-02	1.970E+00	
3.000E-01	1.829E+00	1.258E-02	1.841E+00	
3.500E-01	1.739E+00	1.340E-02	1.753E+00	
4.000E-01	1.675E+00	1.428E-02	1.689E+00	
4.500E-01	1.627E+00	1.521E-02	1.642E+00	
5.000E-01	1.591E+00	1.618E-02	1.607E+00	
5.500E-01	1.563E+00	1.719E-02	1.580E+00	
6.000E-01	1.542E+00	1.824E-02	1.560E+00	
7.000E-01	1.512E+00	2.043E-02	1.532E+00	
8.000E-01	1.494E+00	2.272E-02	1.517E+00	
9.000E-01	1.483E+00	2.511E-02	1.508E+00	
1.000E+00	1.478E+00	2.759E-02	1.505E+00	
1.250E+00	1.476E+00	3.416E-02	1.510E+00	
1.500E+00	1.484E+00	4.115E-02	1.525E+00	
1.750E+00	1.496E+00	4.850E-02	1.544E+00	
2.000E+00	1.509E+00	5.614E-02	1.565E+00	
2.500E+00	1.538E+00	7.215E-02	1.610E+00	
3.000E+00	1.565E+00	8.894E-02	1.654E+00	
3.500E+00	1.590E+00	1.063E-01	1.697E+00	
4.000E+00	1.614E+00	1.242E-01	1.738E+00	
4.500E+00	1.636E+00	1.426E-01	1.778E+00	
5.000E+00	1.656E+00	1.613E-01	1.817E+00	
5.500E+00	1.674E+00	1.804E-01	1.855E+00	
6.000E+00	1.691E+00	1.998E-01	1.891E+00	
7.000E+00	1.722E+00	2.394E-01	1.962E+00	
8.000E+00	1.750E+00	2.799E-01	2.030E+00	
9.000E+00	1.774E+00	3.211E-01	2.096E+00	
1.000E+01	1.797E+00	3.629E-01	2.160E+00	
1.250E+01	1.844E+00	4.698E-01	2.314E+00	
1.500E+01	1.883E+00	5.792E-01	2.463E+00	
1.750E+01	1.917E+00	6.907E-01	2.607E+00	
2.000E+01	1.945E+00	8.036E-01	2.749E+00	
2.500E+01	1.990E+00	1.033E+00	3.023E+00	
3.000E+01	2.024E+00	1.266E+00	3.290E+00	
3.500E+01	2.052E+00	1.501E+00	3.553E+00	
4.000E+01	2.076E+00	1.738E+00	3.814E+00	
4.500E+01	2.096E+00	1.977E+00	4.073E+00	
5.000E+01	2.114E+00	2.218E+00	4.332E+00	
5.500E+01	2.130E+00	2.460E+00	4.589E+00	
6.000E+01	2.144E+00	2.703E+00	4.846E+00	
7.000E+01	2.169E+00	3.191E+00	5.360E+00	
8.000E+01	2.190E+00	3.682E+00	5.872E+00	
9.000E+01	2.209E+00	4.176E+00	6.385E+00	
1.000E+02	2.225E+00	4.672E+00	6.897E+00	
1.250E+02	2.259E+00	5.918E+00	8.177E+00	
1.500E+02	2.285E+00	7.172E+00	9.457E+00	
1.750E+02	2.307E+00	8.431E+00	1.074E+01	
2.000E+02	2.325E+00	9.694E+00	1.202E+01	
2.500E+02	2.353E+00	1.223E+01	1.458E+01	
3.000E+02	2.374E+00	1.478E+01	1.715E+01	
3.500E+02	2.392E+00	1.733E+01	1.972E+01	
4.000E+02	2.406E+00	1.988E+01	2.229E+01	
4.500E+02	2.418E+00	2.244E+01	2.486E+01	
5.000E+02	2.429E+00	2.501E+01	2.744E+01	
5.500E+02	2.438E+00	2.757E+01	3.001E+01	
6.000E+02	2.447E+00	3.014E+01	3.259E+01	
7.000E+02	2.461E+00	3.528E+01	3.774E+01	
8.000E+02	2.474E+00	4.043E+01	4.290E+01	
9.000E+02	2.485E+00	4.558E+01	4.806E+01	
1.000E+03	2.495E+00	5.073E+01	5.322E+01	
