ESTAR: Stopping Powers and Range Tables for Electrons

COBALT                                                                    

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.352E+01	1.153E-02	1.354E+01	
1.250E-02	1.155E+01	1.211E-02	1.156E+01	
1.500E-02	1.014E+01	1.255E-02	1.015E+01	
1.750E-02	9.080E+00	1.290E-02	9.093E+00	
2.000E-02	8.249E+00	1.319E-02	8.262E+00	
2.500E-02	7.026E+00	1.363E-02	7.040E+00	
3.000E-02	6.166E+00	1.397E-02	6.180E+00	
3.500E-02	5.525E+00	1.423E-02	5.539E+00	
4.000E-02	5.028E+00	1.444E-02	5.043E+00	
4.500E-02	4.631E+00	1.463E-02	4.646E+00	
5.000E-02	4.306E+00	1.479E-02	4.321E+00	
5.500E-02	4.034E+00	1.493E-02	4.049E+00	
6.000E-02	3.804E+00	1.506E-02	3.819E+00	
7.000E-02	3.434E+00	1.529E-02	3.449E+00	
8.000E-02	3.150E+00	1.549E-02	3.165E+00	
9.000E-02	2.924E+00	1.569E-02	2.940E+00	
1.000E-01	2.741E+00	1.588E-02	2.757E+00	
1.250E-01	2.405E+00	1.635E-02	2.421E+00	
1.500E-01	2.176E+00	1.683E-02	2.193E+00	
1.750E-01	2.011E+00	1.732E-02	2.029E+00	
2.000E-01	1.887E+00	1.783E-02	1.905E+00	
2.500E-01	1.714E+00	1.892E-02	1.733E+00	
3.000E-01	1.600E+00	2.010E-02	1.620E+00	
3.500E-01	1.521E+00	2.135E-02	1.542E+00	
4.000E-01	1.464E+00	2.268E-02	1.486E+00	
4.500E-01	1.421E+00	2.409E-02	1.445E+00	
5.000E-01	1.388E+00	2.555E-02	1.414E+00	
5.500E-01	1.363E+00	2.707E-02	1.390E+00	
6.000E-01	1.343E+00	2.864E-02	1.372E+00	
7.000E-01	1.315E+00	3.191E-02	1.347E+00	
8.000E-01	1.298E+00	3.534E-02	1.333E+00	
9.000E-01	1.286E+00	3.891E-02	1.325E+00	
1.000E+00	1.279E+00	4.261E-02	1.322E+00	
1.250E+00	1.273E+00	5.238E-02	1.325E+00	
1.500E+00	1.275E+00	6.278E-02	1.338E+00	
1.750E+00	1.280E+00	7.368E-02	1.354E+00	
2.000E+00	1.288E+00	8.500E-02	1.373E+00	
2.500E+00	1.304E+00	1.086E-01	1.412E+00	
3.000E+00	1.320E+00	1.333E-01	1.453E+00	
3.500E+00	1.334E+00	1.589E-01	1.493E+00	
4.000E+00	1.348E+00	1.851E-01	1.533E+00	
4.500E+00	1.361E+00	2.119E-01	1.573E+00	
5.000E+00	1.372E+00	2.393E-01	1.611E+00	
5.500E+00	1.383E+00	2.670E-01	1.650E+00	
6.000E+00	1.392E+00	2.952E-01	1.688E+00	
7.000E+00	1.410E+00	3.527E-01	1.763E+00	
8.000E+00	1.425E+00	4.113E-01	1.836E+00	
9.000E+00	1.439E+00	4.709E-01	1.909E+00	
1.000E+01	1.451E+00	5.313E-01	1.982E+00	
1.250E+01	1.476E+00	6.854E-01	2.161E+00	
1.500E+01	1.496E+00	8.428E-01	2.339E+00	
1.750E+01	1.512E+00	1.003E+00	2.515E+00	
2.000E+01	1.526E+00	1.165E+00	2.691E+00	
2.500E+01	1.549E+00	1.493E+00	3.042E+00	
3.000E+01	1.566E+00	1.826E+00	3.393E+00	
3.500E+01	1.581E+00	2.163E+00	3.743E+00	
4.000E+01	1.593E+00	2.502E+00	4.095E+00	
4.500E+01	1.603E+00	2.844E+00	4.447E+00	
5.000E+01	1.613E+00	3.187E+00	4.800E+00	
5.500E+01	1.621E+00	3.533E+00	5.153E+00	
6.000E+01	1.628E+00	3.879E+00	5.508E+00	
7.000E+01	1.641E+00	4.577E+00	6.218E+00	
8.000E+01	1.652E+00	5.279E+00	6.931E+00	
9.000E+01	1.662E+00	5.984E+00	7.646E+00	
1.000E+02	1.670E+00	6.692E+00	8.362E+00	
1.250E+02	1.688E+00	8.471E+00	1.016E+01	
1.500E+02	1.702E+00	1.026E+01	1.196E+01	
1.750E+02	1.714E+00	1.206E+01	1.377E+01	
2.000E+02	1.724E+00	1.386E+01	1.558E+01	
2.500E+02	1.741E+00	1.747E+01	1.922E+01	
3.000E+02	1.754E+00	2.110E+01	2.286E+01	
3.500E+02	1.766E+00	2.473E+01	2.650E+01	
4.000E+02	1.775E+00	2.838E+01	3.015E+01	
4.500E+02	1.784E+00	3.202E+01	3.380E+01	
5.000E+02	1.791E+00	3.567E+01	3.746E+01	
5.500E+02	1.798E+00	3.932E+01	4.112E+01	
6.000E+02	1.804E+00	4.297E+01	4.478E+01	
7.000E+02	1.815E+00	5.029E+01	5.210E+01	
8.000E+02	1.825E+00	5.761E+01	5.943E+01	
9.000E+02	1.833E+00	6.493E+01	6.677E+01	
1.000E+03	1.841E+00	7.227E+01	7.411E+01	
