ESTAR: Stopping Powers and Range Tables for Electrons

CHROMIUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.416E+01	1.059E-02	1.417E+01	
1.250E-02	1.207E+01	1.108E-02	1.208E+01	
1.500E-02	1.058E+01	1.144E-02	1.059E+01	
1.750E-02	9.462E+00	1.173E-02	9.474E+00	
2.000E-02	8.587E+00	1.196E-02	8.599E+00	
2.500E-02	7.303E+00	1.231E-02	7.315E+00	
3.000E-02	6.402E+00	1.257E-02	6.414E+00	
3.500E-02	5.731E+00	1.278E-02	5.744E+00	
4.000E-02	5.212E+00	1.294E-02	5.225E+00	
4.500E-02	4.797E+00	1.308E-02	4.810E+00	
5.000E-02	4.458E+00	1.321E-02	4.471E+00	
5.500E-02	4.175E+00	1.332E-02	4.188E+00	
6.000E-02	3.935E+00	1.341E-02	3.948E+00	
7.000E-02	3.550E+00	1.359E-02	3.564E+00	
8.000E-02	3.254E+00	1.375E-02	3.268E+00	
9.000E-02	3.020E+00	1.391E-02	3.034E+00	
1.000E-01	2.830E+00	1.406E-02	2.844E+00	
1.250E-01	2.481E+00	1.445E-02	2.496E+00	
1.500E-01	2.244E+00	1.485E-02	2.259E+00	
1.750E-01	2.073E+00	1.528E-02	2.089E+00	
2.000E-01	1.945E+00	1.572E-02	1.961E+00	
2.500E-01	1.766E+00	1.668E-02	1.782E+00	
3.000E-01	1.648E+00	1.772E-02	1.666E+00	
3.500E-01	1.566E+00	1.884E-02	1.585E+00	
4.000E-01	1.507E+00	2.003E-02	1.527E+00	
4.500E-01	1.463E+00	2.128E-02	1.484E+00	
5.000E-01	1.429E+00	2.259E-02	1.452E+00	
5.500E-01	1.403E+00	2.395E-02	1.427E+00	
6.000E-01	1.382E+00	2.536E-02	1.408E+00	
7.000E-01	1.353E+00	2.829E-02	1.382E+00	
8.000E-01	1.335E+00	3.137E-02	1.366E+00	
9.000E-01	1.323E+00	3.458E-02	1.357E+00	
1.000E+00	1.315E+00	3.790E-02	1.353E+00	
1.250E+00	1.308E+00	4.669E-02	1.355E+00	
1.500E+00	1.310E+00	5.605E-02	1.366E+00	
1.750E+00	1.315E+00	6.586E-02	1.381E+00	
2.000E+00	1.322E+00	7.606E-02	1.398E+00	
2.500E+00	1.338E+00	9.737E-02	1.435E+00	
3.000E+00	1.354E+00	1.197E-01	1.473E+00	
3.500E+00	1.369E+00	1.427E-01	1.511E+00	
4.000E+00	1.382E+00	1.664E-01	1.549E+00	
4.500E+00	1.395E+00	1.907E-01	1.586E+00	
5.000E+00	1.407E+00	2.154E-01	1.622E+00	
5.500E+00	1.417E+00	2.406E-01	1.658E+00	
6.000E+00	1.427E+00	2.661E-01	1.693E+00	
7.000E+00	1.445E+00	3.181E-01	1.763E+00	
8.000E+00	1.460E+00	3.713E-01	1.832E+00	
9.000E+00	1.474E+00	4.254E-01	1.899E+00	
1.000E+01	1.486E+00	4.802E-01	1.966E+00	
1.250E+01	1.510E+00	6.201E-01	2.130E+00	
1.500E+01	1.530E+00	7.631E-01	2.293E+00	
1.750E+01	1.546E+00	9.086E-01	2.454E+00	
2.000E+01	1.559E+00	1.056E+00	2.615E+00	
2.500E+01	1.581E+00	1.355E+00	2.936E+00	
3.000E+01	1.598E+00	1.658E+00	3.255E+00	
3.500E+01	1.611E+00	1.964E+00	3.576E+00	
4.000E+01	1.623E+00	2.273E+00	3.897E+00	
4.500E+01	1.633E+00	2.584E+00	4.218E+00	
5.000E+01	1.642E+00	2.897E+00	4.540E+00	
5.500E+01	1.651E+00	3.212E+00	4.863E+00	
6.000E+01	1.658E+00	3.528E+00	5.186E+00	
7.000E+01	1.671E+00	4.163E+00	5.834E+00	
8.000E+01	1.682E+00	4.803E+00	6.484E+00	
9.000E+01	1.691E+00	5.445E+00	7.136E+00	
1.000E+02	1.700E+00	6.090E+00	7.790E+00	
1.250E+02	1.717E+00	7.711E+00	9.428E+00	
1.500E+02	1.731E+00	9.342E+00	1.107E+01	
1.750E+02	1.743E+00	1.098E+01	1.272E+01	
2.000E+02	1.753E+00	1.262E+01	1.437E+01	
2.500E+02	1.770E+00	1.592E+01	1.769E+01	
3.000E+02	1.783E+00	1.922E+01	2.101E+01	
3.500E+02	1.794E+00	2.254E+01	2.433E+01	
4.000E+02	1.804E+00	2.586E+01	2.766E+01	
4.500E+02	1.812E+00	2.918E+01	3.099E+01	
5.000E+02	1.820E+00	3.251E+01	3.433E+01	
5.500E+02	1.827E+00	3.584E+01	3.767E+01	
6.000E+02	1.833E+00	3.917E+01	4.101E+01	
7.000E+02	1.844E+00	4.585E+01	4.769E+01	
8.000E+02	1.853E+00	5.252E+01	5.438E+01	
9.000E+02	1.862E+00	5.921E+01	6.107E+01	
1.000E+03	1.869E+00	6.589E+01	6.776E+01	
