ESTAR: Stopping Powers and Range Tables for Electrons

FLUORINE                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.762E+01	4.546E-03	1.762E+01	
1.250E-02	1.487E+01	4.591E-03	1.488E+01	
1.500E-02	1.295E+01	4.620E-03	1.295E+01	
1.750E-02	1.151E+01	4.640E-03	1.152E+01	
2.000E-02	1.040E+01	4.655E-03	1.041E+01	
2.500E-02	8.786E+00	4.674E-03	8.790E+00	
3.000E-02	7.662E+00	4.688E-03	7.666E+00	
3.500E-02	6.832E+00	4.701E-03	6.836E+00	
4.000E-02	6.193E+00	4.713E-03	6.197E+00	
4.500E-02	5.684E+00	4.726E-03	5.689E+00	
5.000E-02	5.270E+00	4.740E-03	5.275E+00	
5.500E-02	4.926E+00	4.755E-03	4.931E+00	
6.000E-02	4.635E+00	4.770E-03	4.640E+00	
7.000E-02	4.169E+00	4.805E-03	4.174E+00	
8.000E-02	3.814E+00	4.845E-03	3.819E+00	
9.000E-02	3.533E+00	4.889E-03	3.538E+00	
1.000E-01	3.305E+00	4.936E-03	3.310E+00	
1.250E-01	2.890E+00	5.072E-03	2.895E+00	
1.500E-01	2.609E+00	5.224E-03	2.614E+00	
1.750E-01	2.407E+00	5.391E-03	2.412E+00	
2.000E-01	2.255E+00	5.569E-03	2.261E+00	
2.500E-01	2.044E+00	5.958E-03	2.050E+00	
3.000E-01	1.907E+00	6.382E-03	1.913E+00	
3.500E-01	1.811E+00	6.837E-03	1.818E+00	
4.000E-01	1.742E+00	7.321E-03	1.750E+00	
4.500E-01	1.691E+00	7.827E-03	1.699E+00	
5.000E-01	1.652E+00	8.357E-03	1.661E+00	
5.500E-01	1.623E+00	8.907E-03	1.632E+00	
6.000E-01	1.599E+00	9.476E-03	1.609E+00	
7.000E-01	1.567E+00	1.066E-02	1.578E+00	
8.000E-01	1.547E+00	1.191E-02	1.559E+00	
9.000E-01	1.535E+00	1.322E-02	1.548E+00	
1.000E+00	1.528E+00	1.457E-02	1.542E+00	
1.250E+00	1.524E+00	1.817E-02	1.542E+00	
1.500E+00	1.530E+00	2.201E-02	1.552E+00	
1.750E+00	1.541E+00	2.607E-02	1.567E+00	
2.000E+00	1.554E+00	3.030E-02	1.584E+00	
2.500E+00	1.581E+00	3.919E-02	1.620E+00	
3.000E+00	1.608E+00	4.854E-02	1.656E+00	
3.500E+00	1.632E+00	5.828E-02	1.691E+00	
4.000E+00	1.655E+00	6.833E-02	1.724E+00	
4.500E+00	1.677E+00	7.865E-02	1.755E+00	
5.000E+00	1.696E+00	8.920E-02	1.786E+00	
5.500E+00	1.715E+00	9.996E-02	1.815E+00	
6.000E+00	1.732E+00	1.109E-01	1.842E+00	
7.000E+00	1.762E+00	1.333E-01	1.895E+00	
8.000E+00	1.789E+00	1.563E-01	1.946E+00	
9.000E+00	1.813E+00	1.797E-01	1.993E+00	
1.000E+01	1.835E+00	2.035E-01	2.039E+00	
1.250E+01	1.882E+00	2.644E-01	2.147E+00	
1.500E+01	1.921E+00	3.270E-01	2.248E+00	
1.750E+01	1.954E+00	3.907E-01	2.345E+00	
2.000E+01	1.983E+00	4.554E-01	2.438E+00	
2.500E+01	2.031E+00	5.870E-01	2.618E+00	
3.000E+01	2.070E+00	7.206E-01	2.791E+00	
3.500E+01	2.104E+00	8.559E-01	2.959E+00	
4.000E+01	2.131E+00	9.925E-01	3.124E+00	
4.500E+01	2.153E+00	1.130E+00	3.283E+00	
5.000E+01	2.172E+00	1.269E+00	3.440E+00	
5.500E+01	2.187E+00	1.408E+00	3.595E+00	
6.000E+01	2.201E+00	1.548E+00	3.749E+00	
7.000E+01	2.224E+00	1.829E+00	4.053E+00	
8.000E+01	2.242E+00	2.113E+00	4.355E+00	
9.000E+01	2.258E+00	2.397E+00	4.655E+00	
1.000E+02	2.271E+00	2.683E+00	4.954E+00	
1.250E+02	2.298E+00	3.402E+00	5.701E+00	
1.500E+02	2.319E+00	4.126E+00	6.446E+00	
1.750E+02	2.337E+00	4.854E+00	7.191E+00	
2.000E+02	2.352E+00	5.583E+00	7.935E+00	
2.500E+02	2.376E+00	7.049E+00	9.425E+00	
3.000E+02	2.395E+00	8.521E+00	1.092E+01	
3.500E+02	2.412E+00	9.997E+00	1.241E+01	
4.000E+02	2.426E+00	1.148E+01	1.390E+01	
4.500E+02	2.438E+00	1.296E+01	1.540E+01	
5.000E+02	2.448E+00	1.444E+01	1.689E+01	
5.500E+02	2.458E+00	1.593E+01	1.838E+01	
6.000E+02	2.467E+00	1.741E+01	1.988E+01	
7.000E+02	2.482E+00	2.039E+01	2.287E+01	
8.000E+02	2.495E+00	2.337E+01	2.586E+01	
9.000E+02	2.506E+00	2.635E+01	2.885E+01	
1.000E+03	2.516E+00	2.933E+01	3.185E+01	
