ESTAR: Stopping Powers and Range Tables for Electrons

IRON                                                                     

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.388E+01	1.138E-02	1.390E+01	
1.250E-02	1.185E+01	1.193E-02	1.186E+01	
1.500E-02	1.040E+01	1.235E-02	1.041E+01	
1.750E-02	9.310E+00	1.269E-02	9.323E+00	
2.000E-02	8.456E+00	1.296E-02	8.468E+00	
2.500E-02	7.199E+00	1.338E-02	7.213E+00	
3.000E-02	6.316E+00	1.369E-02	6.330E+00	
3.500E-02	5.658E+00	1.394E-02	5.672E+00	
4.000E-02	5.149E+00	1.414E-02	5.163E+00	
4.500E-02	4.741E+00	1.431E-02	4.756E+00	
5.000E-02	4.408E+00	1.446E-02	4.422E+00	
5.500E-02	4.129E+00	1.459E-02	4.144E+00	
6.000E-02	3.893E+00	1.471E-02	3.908E+00	
7.000E-02	3.514E+00	1.493E-02	3.529E+00	
8.000E-02	3.223E+00	1.512E-02	3.238E+00	
9.000E-02	2.992E+00	1.531E-02	3.007E+00	
1.000E-01	2.804E+00	1.548E-02	2.820E+00	
1.250E-01	2.460E+00	1.593E-02	2.476E+00	
1.500E-01	2.226E+00	1.639E-02	2.242E+00	
1.750E-01	2.057E+00	1.687E-02	2.074E+00	
2.000E-01	1.930E+00	1.736E-02	1.947E+00	
2.500E-01	1.753E+00	1.842E-02	1.771E+00	
3.000E-01	1.636E+00	1.956E-02	1.656E+00	
3.500E-01	1.556E+00	2.079E-02	1.576E+00	
4.000E-01	1.497E+00	2.209E-02	1.519E+00	
4.500E-01	1.453E+00	2.346E-02	1.477E+00	
5.000E-01	1.420E+00	2.489E-02	1.445E+00	
5.500E-01	1.394E+00	2.638E-02	1.421E+00	
6.000E-01	1.374E+00	2.791E-02	1.402E+00	
7.000E-01	1.345E+00	3.112E-02	1.376E+00	
8.000E-01	1.327E+00	3.448E-02	1.362E+00	
9.000E-01	1.316E+00	3.797E-02	1.354E+00	
1.000E+00	1.308E+00	4.160E-02	1.350E+00	
1.250E+00	1.302E+00	5.117E-02	1.353E+00	
1.500E+00	1.304E+00	6.137E-02	1.365E+00	
1.750E+00	1.310E+00	7.206E-02	1.382E+00	
2.000E+00	1.317E+00	8.315E-02	1.400E+00	
2.500E+00	1.333E+00	1.063E-01	1.440E+00	
3.000E+00	1.349E+00	1.306E-01	1.480E+00	
3.500E+00	1.365E+00	1.557E-01	1.520E+00	
4.000E+00	1.378E+00	1.814E-01	1.560E+00	
4.500E+00	1.391E+00	2.077E-01	1.599E+00	
5.000E+00	1.403E+00	2.346E-01	1.638E+00	
5.500E+00	1.414E+00	2.619E-01	1.676E+00	
6.000E+00	1.424E+00	2.896E-01	1.713E+00	
7.000E+00	1.442E+00	3.460E-01	1.788E+00	
8.000E+00	1.457E+00	4.036E-01	1.861E+00	
9.000E+00	1.471E+00	4.622E-01	1.933E+00	
1.000E+01	1.483E+00	5.216E-01	2.005E+00	
1.250E+01	1.509E+00	6.731E-01	2.182E+00	
1.500E+01	1.529E+00	8.279E-01	2.357E+00	
1.750E+01	1.546E+00	9.852E-01	2.531E+00	
2.000E+01	1.560E+00	1.145E+00	2.704E+00	
2.500E+01	1.583E+00	1.468E+00	3.050E+00	
3.000E+01	1.600E+00	1.795E+00	3.396E+00	
3.500E+01	1.615E+00	2.126E+00	3.741E+00	
4.000E+01	1.627E+00	2.460E+00	4.087E+00	
4.500E+01	1.638E+00	2.797E+00	4.434E+00	
5.000E+01	1.647E+00	3.135E+00	4.782E+00	
5.500E+01	1.655E+00	3.475E+00	5.130E+00	
6.000E+01	1.663E+00	3.816E+00	5.479E+00	
7.000E+01	1.676E+00	4.503E+00	6.178E+00	
8.000E+01	1.687E+00	5.193E+00	6.880E+00	
9.000E+01	1.697E+00	5.887E+00	7.584E+00	
1.000E+02	1.705E+00	6.584E+00	8.289E+00	
1.250E+02	1.723E+00	8.336E+00	1.006E+01	
1.500E+02	1.738E+00	1.010E+01	1.184E+01	
1.750E+02	1.750E+00	1.187E+01	1.362E+01	
2.000E+02	1.760E+00	1.364E+01	1.540E+01	
2.500E+02	1.777E+00	1.720E+01	1.898E+01	
3.000E+02	1.791E+00	2.077E+01	2.256E+01	
3.500E+02	1.802E+00	2.435E+01	2.615E+01	
4.000E+02	1.812E+00	2.793E+01	2.974E+01	
4.500E+02	1.820E+00	3.152E+01	3.334E+01	
5.000E+02	1.828E+00	3.512E+01	3.694E+01	
5.500E+02	1.835E+00	3.871E+01	4.055E+01	
6.000E+02	1.841E+00	4.231E+01	4.415E+01	
7.000E+02	1.852E+00	4.951E+01	5.137E+01	
8.000E+02	1.862E+00	5.673E+01	5.859E+01	
9.000E+02	1.871E+00	6.394E+01	6.581E+01	
1.000E+03	1.878E+00	7.116E+01	7.304E+01	
