ESTAR: Stopping Powers and Range Tables for Electrons

GALLIUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.271E+01	1.249E-02	1.272E+01	
1.250E-02	1.087E+01	1.318E-02	1.089E+01	
1.500E-02	9.561E+00	1.371E-02	9.574E+00	
1.750E-02	8.569E+00	1.414E-02	8.583E+00	
2.000E-02	7.792E+00	1.449E-02	7.806E+00	
2.500E-02	6.646E+00	1.503E-02	6.661E+00	
3.000E-02	5.839E+00	1.543E-02	5.854E+00	
3.500E-02	5.237E+00	1.576E-02	5.253E+00	
4.000E-02	4.770E+00	1.603E-02	4.786E+00	
4.500E-02	4.396E+00	1.626E-02	4.412E+00	
5.000E-02	4.089E+00	1.646E-02	4.106E+00	
5.500E-02	3.833E+00	1.665E-02	3.850E+00	
6.000E-02	3.616E+00	1.681E-02	3.633E+00	
7.000E-02	3.268E+00	1.712E-02	3.285E+00	
8.000E-02	3.000E+00	1.740E-02	3.017E+00	
9.000E-02	2.787E+00	1.765E-02	2.805E+00	
1.000E-01	2.614E+00	1.790E-02	2.632E+00	
1.250E-01	2.297E+00	1.849E-02	2.316E+00	
1.500E-01	2.082E+00	1.907E-02	2.101E+00	
1.750E-01	1.927E+00	1.965E-02	1.946E+00	
2.000E-01	1.810E+00	2.024E-02	1.830E+00	
2.500E-01	1.647E+00	2.148E-02	1.668E+00	
3.000E-01	1.540E+00	2.280E-02	1.563E+00	
3.500E-01	1.466E+00	2.421E-02	1.490E+00	
4.000E-01	1.412E+00	2.570E-02	1.438E+00	
4.500E-01	1.373E+00	2.727E-02	1.400E+00	
5.000E-01	1.342E+00	2.891E-02	1.371E+00	
5.500E-01	1.319E+00	3.062E-02	1.349E+00	
6.000E-01	1.301E+00	3.238E-02	1.333E+00	
7.000E-01	1.275E+00	3.605E-02	1.311E+00	
8.000E-01	1.258E+00	3.989E-02	1.298E+00	
9.000E-01	1.248E+00	4.388E-02	1.292E+00	
1.000E+00	1.242E+00	4.801E-02	1.290E+00	
1.250E+00	1.237E+00	5.887E-02	1.296E+00	
1.500E+00	1.240E+00	7.039E-02	1.311E+00	
1.750E+00	1.247E+00	8.241E-02	1.329E+00	
2.000E+00	1.254E+00	9.487E-02	1.349E+00	
2.500E+00	1.271E+00	1.208E-01	1.392E+00	
3.000E+00	1.288E+00	1.479E-01	1.436E+00	
3.500E+00	1.303E+00	1.758E-01	1.479E+00	
4.000E+00	1.317E+00	2.044E-01	1.522E+00	
4.500E+00	1.330E+00	2.336E-01	1.564E+00	
5.000E+00	1.342E+00	2.634E-01	1.605E+00	
5.500E+00	1.352E+00	2.937E-01	1.646E+00	
6.000E+00	1.362E+00	3.243E-01	1.686E+00	
7.000E+00	1.379E+00	3.868E-01	1.766E+00	
8.000E+00	1.395E+00	4.504E-01	1.845E+00	
9.000E+00	1.408E+00	5.152E-01	1.923E+00	
1.000E+01	1.420E+00	5.808E-01	2.001E+00	
1.250E+01	1.445E+00	7.481E-01	2.193E+00	
1.500E+01	1.465E+00	9.191E-01	2.384E+00	
1.750E+01	1.482E+00	1.093E+00	2.575E+00	
2.000E+01	1.496E+00	1.269E+00	2.765E+00	
2.500E+01	1.520E+00	1.627E+00	3.147E+00	
3.000E+01	1.538E+00	1.990E+00	3.529E+00	
3.500E+01	1.554E+00	2.358E+00	3.912E+00	
4.000E+01	1.566E+00	2.729E+00	4.296E+00	
4.500E+01	1.577E+00	3.103E+00	4.680E+00	
5.000E+01	1.587E+00	3.479E+00	5.066E+00	
5.500E+01	1.596E+00	3.857E+00	5.452E+00	
6.000E+01	1.603E+00	4.236E+00	5.839E+00	
7.000E+01	1.617E+00	4.998E+00	6.615E+00	
8.000E+01	1.628E+00	5.765E+00	7.393E+00	
9.000E+01	1.638E+00	6.534E+00	8.172E+00	
1.000E+02	1.646E+00	7.307E+00	8.953E+00	
1.250E+02	1.664E+00	9.246E+00	1.091E+01	
1.500E+02	1.678E+00	1.120E+01	1.287E+01	
1.750E+02	1.690E+00	1.315E+01	1.484E+01	
2.000E+02	1.700E+00	1.511E+01	1.681E+01	
2.500E+02	1.717E+00	1.904E+01	2.076E+01	
3.000E+02	1.731E+00	2.299E+01	2.472E+01	
3.500E+02	1.742E+00	2.694E+01	2.868E+01	
4.000E+02	1.752E+00	3.090E+01	3.265E+01	
4.500E+02	1.760E+00	3.487E+01	3.663E+01	
5.000E+02	1.768E+00	3.883E+01	4.060E+01	
5.500E+02	1.774E+00	4.280E+01	4.458E+01	
6.000E+02	1.781E+00	4.678E+01	4.856E+01	
7.000E+02	1.791E+00	5.474E+01	5.653E+01	
8.000E+02	1.801E+00	6.270E+01	6.450E+01	
9.000E+02	1.809E+00	7.067E+01	7.248E+01	
1.000E+03	1.816E+00	7.865E+01	8.046E+01	
