ESTAR: Stopping Powers and Range Tables for Electrons

GERMANIUM                                                                  

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.243E+01	1.267E-02	1.244E+01	
1.250E-02	1.064E+01	1.339E-02	1.066E+01	
1.500E-02	9.365E+00	1.395E-02	9.379E+00	
1.750E-02	8.397E+00	1.439E-02	8.412E+00	
2.000E-02	7.638E+00	1.475E-02	7.653E+00	
2.500E-02	6.519E+00	1.532E-02	6.534E+00	
3.000E-02	5.730E+00	1.575E-02	5.745E+00	
3.500E-02	5.141E+00	1.609E-02	5.157E+00	
4.000E-02	4.683E+00	1.638E-02	4.700E+00	
4.500E-02	4.317E+00	1.663E-02	4.334E+00	
5.000E-02	4.017E+00	1.684E-02	4.034E+00	
5.500E-02	3.766E+00	1.704E-02	3.784E+00	
6.000E-02	3.554E+00	1.722E-02	3.571E+00	
7.000E-02	3.212E+00	1.755E-02	3.230E+00	
8.000E-02	2.949E+00	1.784E-02	2.967E+00	
9.000E-02	2.741E+00	1.811E-02	2.759E+00	
1.000E-01	2.572E+00	1.837E-02	2.590E+00	
1.250E-01	2.261E+00	1.900E-02	2.280E+00	
1.500E-01	2.050E+00	1.960E-02	2.069E+00	
1.750E-01	1.898E+00	2.020E-02	1.918E+00	
2.000E-01	1.783E+00	2.081E-02	1.804E+00	
2.500E-01	1.623E+00	2.208E-02	1.646E+00	
3.000E-01	1.519E+00	2.344E-02	1.543E+00	
3.500E-01	1.447E+00	2.488E-02	1.472E+00	
4.000E-01	1.395E+00	2.641E-02	1.421E+00	
4.500E-01	1.356E+00	2.802E-02	1.384E+00	
5.000E-01	1.327E+00	2.971E-02	1.357E+00	
5.500E-01	1.305E+00	3.146E-02	1.336E+00	
6.000E-01	1.287E+00	3.326E-02	1.321E+00	
7.000E-01	1.263E+00	3.702E-02	1.300E+00	
8.000E-01	1.248E+00	4.095E-02	1.289E+00	
9.000E-01	1.239E+00	4.504E-02	1.284E+00	
1.000E+00	1.234E+00	4.926E-02	1.283E+00	
1.250E+00	1.231E+00	6.036E-02	1.291E+00	
1.500E+00	1.235E+00	7.213E-02	1.307E+00	
1.750E+00	1.242E+00	8.442E-02	1.326E+00	
2.000E+00	1.250E+00	9.714E-02	1.347E+00	
2.500E+00	1.267E+00	1.236E-01	1.391E+00	
3.000E+00	1.284E+00	1.512E-01	1.435E+00	
3.500E+00	1.300E+00	1.797E-01	1.479E+00	
4.000E+00	1.314E+00	2.089E-01	1.523E+00	
4.500E+00	1.326E+00	2.387E-01	1.565E+00	
5.000E+00	1.338E+00	2.691E-01	1.607E+00	
5.500E+00	1.349E+00	2.999E-01	1.649E+00	
6.000E+00	1.358E+00	3.312E-01	1.690E+00	
7.000E+00	1.376E+00	3.949E-01	1.771E+00	
8.000E+00	1.391E+00	4.598E-01	1.851E+00	
9.000E+00	1.404E+00	5.258E-01	1.930E+00	
1.000E+01	1.416E+00	5.926E-01	2.008E+00	
1.250E+01	1.441E+00	7.631E-01	2.204E+00	
1.500E+01	1.460E+00	9.373E-01	2.398E+00	
1.750E+01	1.477E+00	1.114E+00	2.591E+00	
2.000E+01	1.491E+00	1.294E+00	2.785E+00	
2.500E+01	1.514E+00	1.659E+00	3.173E+00	
3.000E+01	1.533E+00	2.029E+00	3.562E+00	
3.500E+01	1.548E+00	2.403E+00	3.951E+00	
4.000E+01	1.561E+00	2.781E+00	4.342E+00	
4.500E+01	1.571E+00	3.162E+00	4.734E+00	
5.000E+01	1.581E+00	3.545E+00	5.126E+00	
5.500E+01	1.589E+00	3.930E+00	5.519E+00	
6.000E+01	1.597E+00	4.316E+00	5.913E+00	
7.000E+01	1.610E+00	5.093E+00	6.703E+00	
8.000E+01	1.621E+00	5.874E+00	7.495E+00	
9.000E+01	1.631E+00	6.658E+00	8.289E+00	
1.000E+02	1.640E+00	7.445E+00	9.084E+00	
1.250E+02	1.657E+00	9.420E+00	1.108E+01	
1.500E+02	1.671E+00	1.141E+01	1.308E+01	
1.750E+02	1.683E+00	1.340E+01	1.508E+01	
2.000E+02	1.693E+00	1.540E+01	1.709E+01	
2.500E+02	1.710E+00	1.940E+01	2.111E+01	
3.000E+02	1.723E+00	2.342E+01	2.514E+01	
3.500E+02	1.734E+00	2.744E+01	2.918E+01	
4.000E+02	1.744E+00	3.148E+01	3.322E+01	
4.500E+02	1.752E+00	3.552E+01	3.727E+01	
5.000E+02	1.760E+00	3.956E+01	4.132E+01	
5.500E+02	1.766E+00	4.360E+01	4.537E+01	
6.000E+02	1.773E+00	4.765E+01	4.942E+01	
7.000E+02	1.783E+00	5.576E+01	5.754E+01	
8.000E+02	1.793E+00	6.387E+01	6.566E+01	
9.000E+02	1.801E+00	7.199E+01	7.379E+01	
1.000E+03	1.808E+00	8.011E+01	8.192E+01	
