ESTAR: Stopping Powers and Range Tables for Electrons

POTASSIUM                                                                  

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.610E+01	9.219E-03	1.611E+01	
1.250E-02	1.367E+01	9.552E-03	1.368E+01	
1.500E-02	1.195E+01	9.797E-03	1.196E+01	
1.750E-02	1.066E+01	9.987E-03	1.067E+01	
2.000E-02	9.657E+00	1.014E-02	9.667E+00	
2.500E-02	8.189E+00	1.036E-02	8.200E+00	
3.000E-02	7.164E+00	1.052E-02	7.174E+00	
3.500E-02	6.404E+00	1.064E-02	6.414E+00	
4.000E-02	5.816E+00	1.074E-02	5.827E+00	
4.500E-02	5.348E+00	1.082E-02	5.359E+00	
5.000E-02	4.966E+00	1.090E-02	4.976E+00	
5.500E-02	4.647E+00	1.096E-02	4.658E+00	
6.000E-02	4.377E+00	1.102E-02	4.388E+00	
7.000E-02	3.945E+00	1.113E-02	3.956E+00	
8.000E-02	3.614E+00	1.124E-02	3.625E+00	
9.000E-02	3.352E+00	1.134E-02	3.364E+00	
1.000E-01	3.140E+00	1.145E-02	3.151E+00	
1.250E-01	2.751E+00	1.173E-02	2.763E+00	
1.500E-01	2.488E+00	1.204E-02	2.500E+00	
1.750E-01	2.298E+00	1.238E-02	2.311E+00	
2.000E-01	2.156E+00	1.274E-02	2.169E+00	
2.500E-01	1.958E+00	1.353E-02	1.971E+00	
3.000E-01	1.828E+00	1.439E-02	1.843E+00	
3.500E-01	1.739E+00	1.532E-02	1.754E+00	
4.000E-01	1.674E+00	1.631E-02	1.690E+00	
4.500E-01	1.626E+00	1.736E-02	1.643E+00	
5.000E-01	1.589E+00	1.846E-02	1.608E+00	
5.500E-01	1.561E+00	1.960E-02	1.581E+00	
6.000E-01	1.540E+00	2.078E-02	1.560E+00	
7.000E-01	1.509E+00	2.324E-02	1.532E+00	
8.000E-01	1.490E+00	2.583E-02	1.516E+00	
9.000E-01	1.478E+00	2.853E-02	1.507E+00	
1.000E+00	1.472E+00	3.133E-02	1.503E+00	
1.250E+00	1.467E+00	3.872E-02	1.505E+00	
1.500E+00	1.471E+00	4.660E-02	1.517E+00	
1.750E+00	1.478E+00	5.487E-02	1.533E+00	
2.000E+00	1.488E+00	6.347E-02	1.551E+00	
2.500E+00	1.508E+00	8.147E-02	1.589E+00	
3.000E+00	1.527E+00	1.003E-01	1.627E+00	
3.500E+00	1.545E+00	1.199E-01	1.665E+00	
4.000E+00	1.562E+00	1.400E-01	1.702E+00	
4.500E+00	1.577E+00	1.606E-01	1.738E+00	
5.000E+00	1.591E+00	1.816E-01	1.773E+00	
5.500E+00	1.604E+00	2.030E-01	1.807E+00	
6.000E+00	1.616E+00	2.247E-01	1.841E+00	
7.000E+00	1.637E+00	2.690E-01	1.906E+00	
8.000E+00	1.656E+00	3.144E-01	1.970E+00	
9.000E+00	1.672E+00	3.605E-01	2.032E+00	
1.000E+01	1.686E+00	4.074E-01	2.094E+00	
1.250E+01	1.717E+00	5.269E-01	2.244E+00	
1.500E+01	1.741E+00	6.494E-01	2.390E+00	
1.750E+01	1.760E+00	7.739E-01	2.534E+00	
2.000E+01	1.776E+00	9.002E-01	2.676E+00	
2.500E+01	1.802E+00	1.156E+00	2.958E+00	
3.000E+01	1.822E+00	1.417E+00	3.238E+00	
3.500E+01	1.838E+00	1.680E+00	3.518E+00	
4.000E+01	1.852E+00	1.945E+00	3.796E+00	
4.500E+01	1.863E+00	2.212E+00	4.075E+00	
5.000E+01	1.874E+00	2.481E+00	4.354E+00	
5.500E+01	1.883E+00	2.751E+00	4.634E+00	
6.000E+01	1.891E+00	3.022E+00	4.913E+00	
7.000E+01	1.905E+00	3.568E+00	5.473E+00	
8.000E+01	1.918E+00	4.117E+00	6.035E+00	
9.000E+01	1.928E+00	4.669E+00	6.597E+00	
1.000E+02	1.938E+00	5.223E+00	7.160E+00	
1.250E+02	1.957E+00	6.616E+00	8.573E+00	
1.500E+02	1.973E+00	8.017E+00	9.990E+00	
1.750E+02	1.986E+00	9.424E+00	1.141E+01	
2.000E+02	1.997E+00	1.084E+01	1.283E+01	
2.500E+02	2.015E+00	1.367E+01	1.568E+01	
3.000E+02	2.030E+00	1.651E+01	1.854E+01	
3.500E+02	2.042E+00	1.936E+01	2.141E+01	
4.000E+02	2.052E+00	2.222E+01	2.427E+01	
4.500E+02	2.062E+00	2.508E+01	2.714E+01	
5.000E+02	2.070E+00	2.794E+01	3.001E+01	
5.500E+02	2.077E+00	3.081E+01	3.289E+01	
6.000E+02	2.084E+00	3.368E+01	3.576E+01	
7.000E+02	2.095E+00	3.942E+01	4.152E+01	
8.000E+02	2.105E+00	4.517E+01	4.728E+01	
9.000E+02	2.114E+00	5.093E+01	5.304E+01	
1.000E+03	2.122E+00	5.669E+01	5.881E+01	
