ESTAR: Stopping Powers and Range Tables for Electrons

LITHIUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.976E+01	1.303E-03	1.976E+01	
1.250E-02	1.654E+01	1.307E-03	1.654E+01	
1.500E-02	1.430E+01	1.312E-03	1.431E+01	
1.750E-02	1.266E+01	1.316E-03	1.266E+01	
2.000E-02	1.139E+01	1.321E-03	1.139E+01	
2.500E-02	9.553E+00	1.330E-03	9.554E+00	
3.000E-02	8.288E+00	1.339E-03	8.290E+00	
3.500E-02	7.361E+00	1.348E-03	7.362E+00	
4.000E-02	6.650E+00	1.358E-03	6.651E+00	
4.500E-02	6.086E+00	1.367E-03	6.088E+00	
5.000E-02	5.629E+00	1.377E-03	5.630E+00	
5.500E-02	5.249E+00	1.386E-03	5.251E+00	
6.000E-02	4.930E+00	1.396E-03	4.931E+00	
7.000E-02	4.420E+00	1.415E-03	4.421E+00	
8.000E-02	4.031E+00	1.435E-03	4.032E+00	
9.000E-02	3.725E+00	1.455E-03	3.726E+00	
1.000E-01	3.477E+00	1.477E-03	3.479E+00	
1.250E-01	3.026E+00	1.533E-03	3.028E+00	
1.500E-01	2.722E+00	1.593E-03	2.723E+00	
1.750E-01	2.503E+00	1.656E-03	2.504E+00	
2.000E-01	2.339E+00	1.723E-03	2.340E+00	
2.500E-01	2.110E+00	1.865E-03	2.112E+00	
3.000E-01	1.959E+00	2.019E-03	1.961E+00	
3.500E-01	1.854E+00	2.183E-03	1.857E+00	
4.000E-01	1.778E+00	2.357E-03	1.780E+00	
4.500E-01	1.720E+00	2.539E-03	1.723E+00	
5.000E-01	1.676E+00	2.731E-03	1.679E+00	
5.500E-01	1.641E+00	2.930E-03	1.644E+00	
6.000E-01	1.614E+00	3.135E-03	1.617E+00	
7.000E-01	1.574E+00	3.565E-03	1.577E+00	
8.000E-01	1.547E+00	4.018E-03	1.551E+00	
9.000E-01	1.529E+00	4.491E-03	1.534E+00	
1.000E+00	1.517E+00	4.983E-03	1.522E+00	
1.250E+00	1.501E+00	6.289E-03	1.508E+00	
1.500E+00	1.498E+00	7.687E-03	1.505E+00	
1.750E+00	1.499E+00	9.164E-03	1.508E+00	
2.000E+00	1.503E+00	1.071E-02	1.514E+00	
2.500E+00	1.515E+00	1.396E-02	1.529E+00	
3.000E+00	1.527E+00	1.740E-02	1.544E+00	
3.500E+00	1.538E+00	2.099E-02	1.559E+00	
4.000E+00	1.548E+00	2.471E-02	1.572E+00	
4.500E+00	1.557E+00	2.854E-02	1.585E+00	
5.000E+00	1.565E+00	3.248E-02	1.597E+00	
5.500E+00	1.572E+00	3.650E-02	1.608E+00	
6.000E+00	1.578E+00	4.060E-02	1.619E+00	
7.000E+00	1.590E+00	4.902E-02	1.639E+00	
8.000E+00	1.600E+00	5.767E-02	1.658E+00	
9.000E+00	1.608E+00	6.654E-02	1.675E+00	
1.000E+01	1.616E+00	7.558E-02	1.692E+00	
1.250E+01	1.632E+00	9.883E-02	1.731E+00	
1.500E+01	1.645E+00	1.228E-01	1.768E+00	
1.750E+01	1.656E+00	1.473E-01	1.803E+00	
2.000E+01	1.665E+00	1.723E-01	1.837E+00	
2.500E+01	1.680E+00	2.233E-01	1.904E+00	
3.000E+01	1.693E+00	2.752E-01	1.968E+00	
3.500E+01	1.703E+00	3.279E-01	2.031E+00	
4.000E+01	1.712E+00	3.812E-01	2.094E+00	
4.500E+01	1.720E+00	4.351E-01	2.155E+00	
5.000E+01	1.727E+00	4.893E-01	2.217E+00	
5.500E+01	1.734E+00	5.439E-01	2.278E+00	
6.000E+01	1.740E+00	5.989E-01	2.339E+00	
7.000E+01	1.750E+00	7.095E-01	2.460E+00	
8.000E+01	1.759E+00	8.211E-01	2.580E+00	
9.000E+01	1.767E+00	9.335E-01	2.700E+00	
1.000E+02	1.774E+00	1.046E+00	2.820E+00	
1.250E+02	1.789E+00	1.331E+00	3.120E+00	
1.500E+02	1.801E+00	1.618E+00	3.419E+00	
1.750E+02	1.811E+00	1.907E+00	3.718E+00	
2.000E+02	1.820E+00	2.197E+00	4.017E+00	
2.500E+02	1.835E+00	2.781E+00	4.616E+00	
3.000E+02	1.847E+00	3.368E+00	5.215E+00	
3.500E+02	1.858E+00	3.958E+00	5.815E+00	
4.000E+02	1.866E+00	4.549E+00	6.416E+00	
4.500E+02	1.874E+00	5.142E+00	7.016E+00	
5.000E+02	1.881E+00	5.736E+00	7.618E+00	
5.500E+02	1.888E+00	6.332E+00	8.220E+00	
6.000E+02	1.893E+00	6.928E+00	8.822E+00	
7.000E+02	1.904E+00	8.123E+00	1.003E+01	
8.000E+02	1.912E+00	9.320E+00	1.123E+01	
9.000E+02	1.920E+00	1.052E+01	1.244E+01	
1.000E+03	1.927E+00	1.172E+01	1.365E+01	
