ESTAR: Stopping Powers and Range Tables for Electrons

MAGNESIUM                                                                  

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.715E+01	6.245E-03	1.715E+01	
1.250E-02	1.452E+01	6.361E-03	1.453E+01	
1.500E-02	1.267E+01	6.441E-03	1.268E+01	
1.750E-02	1.129E+01	6.499E-03	1.130E+01	
2.000E-02	1.022E+01	6.543E-03	1.022E+01	
2.500E-02	8.648E+00	6.604E-03	8.655E+00	
3.000E-02	7.555E+00	6.647E-03	7.562E+00	
3.500E-02	6.746E+00	6.679E-03	6.753E+00	
4.000E-02	6.122E+00	6.706E-03	6.129E+00	
4.500E-02	5.625E+00	6.731E-03	5.632E+00	
5.000E-02	5.220E+00	6.754E-03	5.226E+00	
5.500E-02	4.882E+00	6.778E-03	4.889E+00	
6.000E-02	4.596E+00	6.801E-03	4.603E+00	
7.000E-02	4.139E+00	6.849E-03	4.146E+00	
8.000E-02	3.789E+00	6.901E-03	3.796E+00	
9.000E-02	3.512E+00	6.958E-03	3.519E+00	
1.000E-01	3.288E+00	7.019E-03	3.295E+00	
1.250E-01	2.878E+00	7.193E-03	2.885E+00	
1.500E-01	2.600E+00	7.392E-03	2.607E+00	
1.750E-01	2.400E+00	7.612E-03	2.407E+00	
2.000E-01	2.249E+00	7.849E-03	2.257E+00	
2.500E-01	2.040E+00	8.368E-03	2.048E+00	
3.000E-01	1.903E+00	8.939E-03	1.912E+00	
3.500E-01	1.808E+00	9.555E-03	1.817E+00	
4.000E-01	1.739E+00	1.021E-02	1.749E+00	
4.500E-01	1.687E+00	1.090E-02	1.698E+00	
5.000E-01	1.648E+00	1.162E-02	1.660E+00	
5.500E-01	1.618E+00	1.237E-02	1.631E+00	
6.000E-01	1.595E+00	1.314E-02	1.608E+00	
7.000E-01	1.561E+00	1.475E-02	1.576E+00	
8.000E-01	1.540E+00	1.645E-02	1.556E+00	
9.000E-01	1.527E+00	1.822E-02	1.545E+00	
1.000E+00	1.519E+00	2.006E-02	1.539E+00	
1.250E+00	1.512E+00	2.493E-02	1.537E+00	
1.500E+00	1.516E+00	3.013E-02	1.546E+00	
1.750E+00	1.523E+00	3.561E-02	1.559E+00	
2.000E+00	1.532E+00	4.131E-02	1.574E+00	
2.500E+00	1.552E+00	5.327E-02	1.606E+00	
3.000E+00	1.571E+00	6.584E-02	1.637E+00	
3.500E+00	1.587E+00	7.890E-02	1.666E+00	
4.000E+00	1.602E+00	9.235E-02	1.694E+00	
4.500E+00	1.615E+00	1.062E-01	1.721E+00	
5.000E+00	1.627E+00	1.203E-01	1.747E+00	
5.500E+00	1.637E+00	1.347E-01	1.772E+00	
6.000E+00	1.647E+00	1.493E-01	1.796E+00	
7.000E+00	1.664E+00	1.792E-01	1.843E+00	
8.000E+00	1.678E+00	2.098E-01	1.888E+00	
9.000E+00	1.691E+00	2.410E-01	1.931E+00	
1.000E+01	1.702E+00	2.726E-01	1.974E+00	
1.250E+01	1.725E+00	3.537E-01	2.079E+00	
1.500E+01	1.744E+00	4.367E-01	2.181E+00	
1.750E+01	1.760E+00	5.213E-01	2.281E+00	
2.000E+01	1.774E+00	6.071E-01	2.381E+00	
2.500E+01	1.796E+00	7.814E-01	2.577E+00	
3.000E+01	1.814E+00	9.584E-01	2.772E+00	
3.500E+01	1.829E+00	1.138E+00	2.966E+00	
4.000E+01	1.842E+00	1.318E+00	3.160E+00	
4.500E+01	1.853E+00	1.500E+00	3.353E+00	
5.000E+01	1.863E+00	1.683E+00	3.546E+00	
5.500E+01	1.871E+00	1.867E+00	3.739E+00	
6.000E+01	1.879E+00	2.052E+00	3.931E+00	
7.000E+01	1.893E+00	2.424E+00	4.317E+00	
8.000E+01	1.904E+00	2.798E+00	4.702E+00	
9.000E+01	1.914E+00	3.174E+00	5.088E+00	
1.000E+02	1.923E+00	3.551E+00	5.474E+00	
1.250E+02	1.941E+00	4.500E+00	6.442E+00	
1.500E+02	1.956E+00	5.455E+00	7.411E+00	
1.750E+02	1.968E+00	6.414E+00	8.382E+00	
2.000E+02	1.979E+00	7.376E+00	9.355E+00	
2.500E+02	1.996E+00	9.309E+00	1.130E+01	
3.000E+02	2.010E+00	1.125E+01	1.326E+01	
3.500E+02	2.022E+00	1.319E+01	1.522E+01	
4.000E+02	2.032E+00	1.514E+01	1.717E+01	
4.500E+02	2.041E+00	1.709E+01	1.913E+01	
5.000E+02	2.049E+00	1.905E+01	2.110E+01	
5.500E+02	2.056E+00	2.100E+01	2.306E+01	
6.000E+02	2.063E+00	2.296E+01	2.502E+01	
7.000E+02	2.075E+00	2.688E+01	2.895E+01	
8.000E+02	2.085E+00	3.080E+01	3.289E+01	
9.000E+02	2.094E+00	3.473E+01	3.682E+01	
1.000E+03	2.102E+00	3.866E+01	4.076E+01	
