ESTAR: Stopping Powers and Range Tables for Electrons

MANGANESE                                                                  

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.376E+01	1.079E-02	1.377E+01	
1.250E-02	1.173E+01	1.129E-02	1.175E+01	
1.500E-02	1.029E+01	1.168E-02	1.030E+01	
1.750E-02	9.208E+00	1.199E-02	9.220E+00	
2.000E-02	8.360E+00	1.223E-02	8.372E+00	
2.500E-02	7.114E+00	1.261E-02	7.126E+00	
3.000E-02	6.238E+00	1.289E-02	6.251E+00	
3.500E-02	5.587E+00	1.311E-02	5.600E+00	
4.000E-02	5.083E+00	1.329E-02	5.096E+00	
4.500E-02	4.680E+00	1.345E-02	4.693E+00	
5.000E-02	4.349E+00	1.358E-02	4.363E+00	
5.500E-02	4.074E+00	1.370E-02	4.088E+00	
6.000E-02	3.841E+00	1.380E-02	3.854E+00	
7.000E-02	3.466E+00	1.399E-02	3.480E+00	
8.000E-02	3.178E+00	1.417E-02	3.192E+00	
9.000E-02	2.950E+00	1.434E-02	2.964E+00	
1.000E-01	2.765E+00	1.450E-02	2.779E+00	
1.250E-01	2.425E+00	1.491E-02	2.440E+00	
1.500E-01	2.194E+00	1.533E-02	2.209E+00	
1.750E-01	2.027E+00	1.577E-02	2.043E+00	
2.000E-01	1.902E+00	1.623E-02	1.918E+00	
2.500E-01	1.727E+00	1.722E-02	1.744E+00	
3.000E-01	1.612E+00	1.829E-02	1.631E+00	
3.500E-01	1.532E+00	1.944E-02	1.552E+00	
4.000E-01	1.475E+00	2.066E-02	1.495E+00	
4.500E-01	1.432E+00	2.195E-02	1.454E+00	
5.000E-01	1.399E+00	2.330E-02	1.422E+00	
5.500E-01	1.373E+00	2.469E-02	1.398E+00	
6.000E-01	1.353E+00	2.614E-02	1.380E+00	
7.000E-01	1.325E+00	2.915E-02	1.354E+00	
8.000E-01	1.307E+00	3.231E-02	1.339E+00	
9.000E-01	1.296E+00	3.560E-02	1.331E+00	
1.000E+00	1.289E+00	3.902E-02	1.328E+00	
1.250E+00	1.282E+00	4.803E-02	1.330E+00	
1.500E+00	1.284E+00	5.762E-02	1.341E+00	
1.750E+00	1.289E+00	6.769E-02	1.357E+00	
2.000E+00	1.296E+00	7.813E-02	1.374E+00	
2.500E+00	1.312E+00	9.998E-02	1.412E+00	
3.000E+00	1.328E+00	1.228E-01	1.451E+00	
3.500E+00	1.343E+00	1.464E-01	1.489E+00	
4.000E+00	1.356E+00	1.707E-01	1.527E+00	
4.500E+00	1.369E+00	1.955E-01	1.564E+00	
5.000E+00	1.380E+00	2.208E-01	1.601E+00	
5.500E+00	1.391E+00	2.466E-01	1.637E+00	
6.000E+00	1.400E+00	2.727E-01	1.673E+00	
7.000E+00	1.418E+00	3.260E-01	1.744E+00	
8.000E+00	1.433E+00	3.803E-01	1.814E+00	
9.000E+00	1.447E+00	4.356E-01	1.882E+00	
1.000E+01	1.459E+00	4.917E-01	1.950E+00	
1.250E+01	1.483E+00	6.347E-01	2.118E+00	
1.500E+01	1.503E+00	7.809E-01	2.284E+00	
1.750E+01	1.519E+00	9.296E-01	2.449E+00	
2.000E+01	1.533E+00	1.080E+00	2.613E+00	
2.500E+01	1.554E+00	1.385E+00	2.940E+00	
3.000E+01	1.571E+00	1.695E+00	3.267E+00	
3.500E+01	1.585E+00	2.008E+00	3.593E+00	
4.000E+01	1.597E+00	2.324E+00	3.921E+00	
4.500E+01	1.607E+00	2.642E+00	4.249E+00	
5.000E+01	1.616E+00	2.961E+00	4.578E+00	
5.500E+01	1.624E+00	3.283E+00	4.907E+00	
6.000E+01	1.632E+00	3.605E+00	5.237E+00	
7.000E+01	1.644E+00	4.254E+00	5.899E+00	
8.000E+01	1.655E+00	4.907E+00	6.563E+00	
9.000E+01	1.665E+00	5.563E+00	7.228E+00	
1.000E+02	1.673E+00	6.223E+00	7.896E+00	
1.250E+02	1.691E+00	7.879E+00	9.569E+00	
1.500E+02	1.705E+00	9.544E+00	1.125E+01	
1.750E+02	1.716E+00	1.122E+01	1.293E+01	
2.000E+02	1.726E+00	1.289E+01	1.462E+01	
2.500E+02	1.743E+00	1.626E+01	1.800E+01	
3.000E+02	1.756E+00	1.964E+01	2.139E+01	
3.500E+02	1.767E+00	2.302E+01	2.479E+01	
4.000E+02	1.777E+00	2.641E+01	2.819E+01	
4.500E+02	1.785E+00	2.981E+01	3.159E+01	
5.000E+02	1.793E+00	3.321E+01	3.500E+01	
5.500E+02	1.799E+00	3.661E+01	3.841E+01	
6.000E+02	1.805E+00	4.001E+01	4.182E+01	
7.000E+02	1.816E+00	4.683E+01	4.864E+01	
8.000E+02	1.826E+00	5.365E+01	5.547E+01	
9.000E+02	1.834E+00	6.047E+01	6.231E+01	
1.000E+03	1.841E+00	6.731E+01	6.915E+01	
