ESTAR: Stopping Powers and Range Tables for Electrons

SODIUM                                                                    

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.679E+01	5.578E-03	1.680E+01	
1.250E-02	1.422E+01	5.665E-03	1.422E+01	
1.500E-02	1.240E+01	5.724E-03	1.241E+01	
1.750E-02	1.104E+01	5.767E-03	1.105E+01	
2.000E-02	9.991E+00	5.799E-03	9.997E+00	
2.500E-02	8.455E+00	5.842E-03	8.461E+00	
3.000E-02	7.385E+00	5.872E-03	7.391E+00	
3.500E-02	6.593E+00	5.896E-03	6.599E+00	
4.000E-02	5.982E+00	5.916E-03	5.988E+00	
4.500E-02	5.496E+00	5.935E-03	5.502E+00	
5.000E-02	5.099E+00	5.955E-03	5.105E+00	
5.500E-02	4.768E+00	5.974E-03	4.774E+00	
6.000E-02	4.489E+00	5.994E-03	4.495E+00	
7.000E-02	4.042E+00	6.036E-03	4.048E+00	
8.000E-02	3.700E+00	6.082E-03	3.706E+00	
9.000E-02	3.429E+00	6.133E-03	3.436E+00	
1.000E-01	3.210E+00	6.188E-03	3.216E+00	
1.250E-01	2.809E+00	6.346E-03	2.816E+00	
1.500E-01	2.538E+00	6.526E-03	2.544E+00	
1.750E-01	2.343E+00	6.723E-03	2.349E+00	
2.000E-01	2.196E+00	6.936E-03	2.203E+00	
2.500E-01	1.992E+00	7.404E-03	1.999E+00	
3.000E-01	1.859E+00	7.916E-03	1.866E+00	
3.500E-01	1.766E+00	8.466E-03	1.774E+00	
4.000E-01	1.699E+00	9.051E-03	1.708E+00	
4.500E-01	1.649E+00	9.668E-03	1.659E+00	
5.000E-01	1.612E+00	1.031E-02	1.622E+00	
5.500E-01	1.582E+00	1.098E-02	1.593E+00	
6.000E-01	1.560E+00	1.167E-02	1.571E+00	
7.000E-01	1.528E+00	1.311E-02	1.541E+00	
8.000E-01	1.508E+00	1.463E-02	1.523E+00	
9.000E-01	1.496E+00	1.621E-02	1.512E+00	
1.000E+00	1.489E+00	1.786E-02	1.506E+00	
1.250E+00	1.484E+00	2.221E-02	1.506E+00	
1.500E+00	1.489E+00	2.687E-02	1.515E+00	
1.750E+00	1.497E+00	3.177E-02	1.529E+00	
2.000E+00	1.508E+00	3.688E-02	1.545E+00	
2.500E+00	1.529E+00	4.759E-02	1.577E+00	
3.000E+00	1.549E+00	5.886E-02	1.608E+00	
3.500E+00	1.567E+00	7.057E-02	1.637E+00	
4.000E+00	1.582E+00	8.265E-02	1.665E+00	
4.500E+00	1.595E+00	9.504E-02	1.690E+00	
5.000E+00	1.607E+00	1.077E-01	1.715E+00	
5.500E+00	1.618E+00	1.206E-01	1.739E+00	
6.000E+00	1.628E+00	1.338E-01	1.761E+00	
7.000E+00	1.645E+00	1.606E-01	1.805E+00	
8.000E+00	1.659E+00	1.881E-01	1.847E+00	
9.000E+00	1.672E+00	2.161E-01	1.888E+00	
1.000E+01	1.683E+00	2.446E-01	1.928E+00	
1.250E+01	1.707E+00	3.175E-01	2.024E+00	
1.500E+01	1.726E+00	3.921E-01	2.118E+00	
1.750E+01	1.742E+00	4.682E-01	2.210E+00	
2.000E+01	1.755E+00	5.454E-01	2.301E+00	
2.500E+01	1.778E+00	7.022E-01	2.480E+00	
3.000E+01	1.796E+00	8.615E-01	2.657E+00	
3.500E+01	1.811E+00	1.023E+00	2.833E+00	
4.000E+01	1.824E+00	1.185E+00	3.009E+00	
4.500E+01	1.835E+00	1.349E+00	3.184E+00	
5.000E+01	1.845E+00	1.514E+00	3.359E+00	
5.500E+01	1.854E+00	1.679E+00	3.533E+00	
6.000E+01	1.862E+00	1.846E+00	3.708E+00	
7.000E+01	1.876E+00	2.180E+00	4.056E+00	
8.000E+01	1.887E+00	2.517E+00	4.404E+00	
9.000E+01	1.898E+00	2.855E+00	4.753E+00	
1.000E+02	1.907E+00	3.195E+00	5.101E+00	
1.250E+02	1.925E+00	4.049E+00	5.974E+00	
1.500E+02	1.940E+00	4.908E+00	6.848E+00	
1.750E+02	1.952E+00	5.771E+00	7.723E+00	
2.000E+02	1.962E+00	6.637E+00	8.599E+00	
2.500E+02	1.979E+00	8.377E+00	1.036E+01	
3.000E+02	1.993E+00	1.012E+01	1.211E+01	
3.500E+02	2.004E+00	1.187E+01	1.388E+01	
4.000E+02	2.014E+00	1.363E+01	1.564E+01	
4.500E+02	2.023E+00	1.538E+01	1.741E+01	
5.000E+02	2.031E+00	1.714E+01	1.917E+01	
5.500E+02	2.038E+00	1.890E+01	2.094E+01	
6.000E+02	2.044E+00	2.066E+01	2.271E+01	
7.000E+02	2.056E+00	2.419E+01	2.625E+01	
8.000E+02	2.066E+00	2.772E+01	2.979E+01	
9.000E+02	2.074E+00	3.126E+01	3.333E+01	
1.000E+03	2.082E+00	3.479E+01	3.687E+01	
