ESTAR: Stopping Powers and Range Tables for Electrons

NEON                                                                     

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.773E+01	5.273E-03	1.774E+01	
1.250E-02	1.499E+01	5.340E-03	1.500E+01	
1.500E-02	1.307E+01	5.384E-03	1.307E+01	
1.750E-02	1.163E+01	5.416E-03	1.164E+01	
2.000E-02	1.052E+01	5.439E-03	1.053E+01	
2.500E-02	8.898E+00	5.470E-03	8.903E+00	
3.000E-02	7.767E+00	5.492E-03	7.773E+00	
3.500E-02	6.932E+00	5.510E-03	6.937E+00	
4.000E-02	6.288E+00	5.526E-03	6.293E+00	
4.500E-02	5.775E+00	5.543E-03	5.780E+00	
5.000E-02	5.357E+00	5.559E-03	5.362E+00	
5.500E-02	5.009E+00	5.577E-03	5.014E+00	
6.000E-02	4.715E+00	5.595E-03	4.720E+00	
7.000E-02	4.244E+00	5.634E-03	4.250E+00	
8.000E-02	3.884E+00	5.679E-03	3.890E+00	
9.000E-02	3.599E+00	5.727E-03	3.605E+00	
1.000E-01	3.369E+00	5.781E-03	3.375E+00	
1.250E-01	2.948E+00	5.934E-03	2.953E+00	
1.500E-01	2.663E+00	6.106E-03	2.669E+00	
1.750E-01	2.458E+00	6.296E-03	2.464E+00	
2.000E-01	2.304E+00	6.500E-03	2.310E+00	
2.500E-01	2.090E+00	6.945E-03	2.097E+00	
3.000E-01	1.950E+00	7.432E-03	1.958E+00	
3.500E-01	1.853E+00	7.956E-03	1.861E+00	
4.000E-01	1.784E+00	8.511E-03	1.792E+00	
4.500E-01	1.732E+00	9.096E-03	1.741E+00	
5.000E-01	1.693E+00	9.707E-03	1.703E+00	
5.500E-01	1.663E+00	1.034E-02	1.673E+00	
6.000E-01	1.639E+00	1.100E-02	1.650E+00	
7.000E-01	1.607E+00	1.236E-02	1.619E+00	
8.000E-01	1.587E+00	1.380E-02	1.601E+00	
9.000E-01	1.575E+00	1.530E-02	1.590E+00	
1.000E+00	1.568E+00	1.686E-02	1.585E+00	
1.250E+00	1.565E+00	2.100E-02	1.586E+00	
1.500E+00	1.572E+00	2.542E-02	1.598E+00	
1.750E+00	1.584E+00	3.008E-02	1.614E+00	
2.000E+00	1.598E+00	3.493E-02	1.633E+00	
2.500E+00	1.626E+00	4.513E-02	1.672E+00	
3.000E+00	1.654E+00	5.586E-02	1.710E+00	
3.500E+00	1.681E+00	6.701E-02	1.748E+00	
4.000E+00	1.705E+00	7.852E-02	1.783E+00	
4.500E+00	1.727E+00	9.033E-02	1.817E+00	
5.000E+00	1.748E+00	1.024E-01	1.850E+00	
5.500E+00	1.767E+00	1.147E-01	1.881E+00	
6.000E+00	1.784E+00	1.273E-01	1.912E+00	
7.000E+00	1.817E+00	1.529E-01	1.969E+00	
8.000E+00	1.845E+00	1.791E-01	2.024E+00	
9.000E+00	1.870E+00	2.058E-01	2.076E+00	
1.000E+01	1.893E+00	2.330E-01	2.126E+00	
1.250E+01	1.942E+00	3.026E-01	2.245E+00	
1.500E+01	1.983E+00	3.739E-01	2.357E+00	
1.750E+01	2.017E+00	4.466E-01	2.464E+00	
2.000E+01	2.047E+00	5.204E-01	2.568E+00	
2.500E+01	2.098E+00	6.703E-01	2.768E+00	
3.000E+01	2.139E+00	8.226E-01	2.961E+00	
3.500E+01	2.174E+00	9.766E-01	3.150E+00	
4.000E+01	2.204E+00	1.132E+00	3.336E+00	
4.500E+01	2.231E+00	1.289E+00	3.520E+00	
5.000E+01	2.255E+00	1.446E+00	3.701E+00	
5.500E+01	2.277E+00	1.605E+00	3.881E+00	
6.000E+01	2.296E+00	1.764E+00	4.060E+00	
7.000E+01	2.329E+00	2.084E+00	4.413E+00	
8.000E+01	2.355E+00	2.406E+00	4.761E+00	
9.000E+01	2.376E+00	2.729E+00	5.105E+00	
1.000E+02	2.393E+00	3.054E+00	5.447E+00	
1.250E+02	2.427E+00	3.871E+00	6.298E+00	
1.500E+02	2.452E+00	4.693E+00	7.144E+00	
1.750E+02	2.472E+00	5.518E+00	7.990E+00	
2.000E+02	2.488E+00	6.347E+00	8.835E+00	
2.500E+02	2.515E+00	8.010E+00	1.052E+01	
3.000E+02	2.536E+00	9.680E+00	1.222E+01	
3.500E+02	2.553E+00	1.135E+01	1.391E+01	
4.000E+02	2.568E+00	1.303E+01	1.560E+01	
4.500E+02	2.581E+00	1.471E+01	1.729E+01	
5.000E+02	2.593E+00	1.639E+01	1.899E+01	
5.500E+02	2.603E+00	1.808E+01	2.068E+01	
6.000E+02	2.612E+00	1.976E+01	2.237E+01	
7.000E+02	2.628E+00	2.313E+01	2.576E+01	
8.000E+02	2.642E+00	2.651E+01	2.915E+01	
9.000E+02	2.654E+00	2.989E+01	3.254E+01	
1.000E+03	2.665E+00	3.327E+01	3.594E+01	
