ESTAR: Stopping Powers and Range Tables for Electrons

NICKEL                                                                    

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.391E+01	1.234E-02	1.392E+01	
1.250E-02	1.189E+01	1.298E-02	1.190E+01	
1.500E-02	1.044E+01	1.347E-02	1.045E+01	
1.750E-02	9.352E+00	1.386E-02	9.366E+00	
2.000E-02	8.498E+00	1.418E-02	8.513E+00	
2.500E-02	7.242E+00	1.468E-02	7.257E+00	
3.000E-02	6.358E+00	1.505E-02	6.373E+00	
3.500E-02	5.699E+00	1.534E-02	5.715E+00	
4.000E-02	5.188E+00	1.559E-02	5.204E+00	
4.500E-02	4.779E+00	1.579E-02	4.795E+00	
5.000E-02	4.444E+00	1.597E-02	4.460E+00	
5.500E-02	4.165E+00	1.614E-02	4.181E+00	
6.000E-02	3.927E+00	1.628E-02	3.944E+00	
7.000E-02	3.546E+00	1.654E-02	3.563E+00	
8.000E-02	3.254E+00	1.677E-02	3.270E+00	
9.000E-02	3.021E+00	1.699E-02	3.038E+00	
1.000E-01	2.832E+00	1.721E-02	2.850E+00	
1.250E-01	2.485E+00	1.773E-02	2.503E+00	
1.500E-01	2.249E+00	1.825E-02	2.268E+00	
1.750E-01	2.079E+00	1.879E-02	2.098E+00	
2.000E-01	1.950E+00	1.935E-02	1.970E+00	
2.500E-01	1.771E+00	2.053E-02	1.791E+00	
3.000E-01	1.653E+00	2.181E-02	1.675E+00	
3.500E-01	1.571E+00	2.317E-02	1.594E+00	
4.000E-01	1.512E+00	2.461E-02	1.537E+00	
4.500E-01	1.468E+00	2.612E-02	1.494E+00	
5.000E-01	1.434E+00	2.771E-02	1.462E+00	
5.500E-01	1.408E+00	2.935E-02	1.437E+00	
6.000E-01	1.388E+00	3.104E-02	1.419E+00	
7.000E-01	1.359E+00	3.457E-02	1.393E+00	
8.000E-01	1.340E+00	3.828E-02	1.379E+00	
9.000E-01	1.329E+00	4.213E-02	1.371E+00	
1.000E+00	1.322E+00	4.612E-02	1.368E+00	
1.250E+00	1.315E+00	5.666E-02	1.372E+00	
1.500E+00	1.317E+00	6.788E-02	1.385E+00	
1.750E+00	1.323E+00	7.963E-02	1.403E+00	
2.000E+00	1.331E+00	9.183E-02	1.423E+00	
2.500E+00	1.348E+00	1.173E-01	1.466E+00	
3.000E+00	1.365E+00	1.439E-01	1.509E+00	
3.500E+00	1.381E+00	1.714E-01	1.552E+00	
4.000E+00	1.395E+00	1.996E-01	1.595E+00	
4.500E+00	1.408E+00	2.285E-01	1.637E+00	
5.000E+00	1.420E+00	2.579E-01	1.678E+00	
5.500E+00	1.431E+00	2.878E-01	1.719E+00	
6.000E+00	1.441E+00	3.181E-01	1.760E+00	
7.000E+00	1.460E+00	3.799E-01	1.840E+00	
8.000E+00	1.476E+00	4.429E-01	1.919E+00	
9.000E+00	1.490E+00	5.070E-01	1.997E+00	
1.000E+01	1.502E+00	5.720E-01	2.074E+00	
1.250E+01	1.529E+00	7.375E-01	2.266E+00	
1.500E+01	1.550E+00	9.066E-01	2.456E+00	
1.750E+01	1.567E+00	1.078E+00	2.646E+00	
2.000E+01	1.582E+00	1.252E+00	2.835E+00	
2.500E+01	1.606E+00	1.605E+00	3.212E+00	
3.000E+01	1.625E+00	1.963E+00	3.588E+00	
3.500E+01	1.640E+00	2.324E+00	3.965E+00	
4.000E+01	1.653E+00	2.689E+00	4.342E+00	
4.500E+01	1.664E+00	3.056E+00	4.720E+00	
5.000E+01	1.674E+00	3.425E+00	5.099E+00	
5.500E+01	1.683E+00	3.796E+00	5.479E+00	
6.000E+01	1.691E+00	4.168E+00	5.859E+00	
7.000E+01	1.704E+00	4.917E+00	6.621E+00	
8.000E+01	1.716E+00	5.670E+00	7.386E+00	
9.000E+01	1.726E+00	6.427E+00	8.153E+00	
1.000E+02	1.735E+00	7.187E+00	8.922E+00	
1.250E+02	1.754E+00	9.097E+00	1.085E+01	
1.500E+02	1.769E+00	1.102E+01	1.279E+01	
1.750E+02	1.781E+00	1.295E+01	1.473E+01	
2.000E+02	1.792E+00	1.488E+01	1.667E+01	
2.500E+02	1.809E+00	1.876E+01	2.057E+01	
3.000E+02	1.824E+00	2.265E+01	2.448E+01	
3.500E+02	1.835E+00	2.655E+01	2.839E+01	
4.000E+02	1.846E+00	3.046E+01	3.230E+01	
4.500E+02	1.854E+00	3.437E+01	3.622E+01	
5.000E+02	1.862E+00	3.828E+01	4.015E+01	
5.500E+02	1.869E+00	4.221E+01	4.407E+01	
6.000E+02	1.876E+00	4.613E+01	4.800E+01	
7.000E+02	1.887E+00	5.397E+01	5.586E+01	
8.000E+02	1.897E+00	6.183E+01	6.373E+01	
9.000E+02	1.906E+00	6.969E+01	7.160E+01	
1.000E+03	1.914E+00	7.755E+01	7.947E+01	
