ESTAR: Stopping Powers and Range Tables for Electrons

OXYGEN                                                                    

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.937E+01	4.267E-03	1.937E+01	
1.250E-02	1.632E+01	4.298E-03	1.633E+01	
1.500E-02	1.419E+01	4.316E-03	1.419E+01	
1.750E-02	1.260E+01	4.328E-03	1.261E+01	
2.000E-02	1.138E+01	4.336E-03	1.138E+01	
2.500E-02	9.595E+00	4.347E-03	9.600E+00	
3.000E-02	8.359E+00	4.356E-03	8.363E+00	
3.500E-02	7.447E+00	4.365E-03	7.452E+00	
4.000E-02	6.746E+00	4.376E-03	6.750E+00	
4.500E-02	6.189E+00	4.388E-03	6.193E+00	
5.000E-02	5.735E+00	4.402E-03	5.739E+00	
5.500E-02	5.358E+00	4.417E-03	5.362E+00	
6.000E-02	5.039E+00	4.434E-03	5.044E+00	
7.000E-02	4.530E+00	4.471E-03	4.535E+00	
8.000E-02	4.142E+00	4.512E-03	4.146E+00	
9.000E-02	3.835E+00	4.558E-03	3.839E+00	
1.000E-01	3.586E+00	4.607E-03	3.591E+00	
1.250E-01	3.133E+00	4.741E-03	3.137E+00	
1.500E-01	2.826E+00	4.889E-03	2.831E+00	
1.750E-01	2.606E+00	5.048E-03	2.611E+00	
2.000E-01	2.441E+00	5.215E-03	2.446E+00	
2.500E-01	2.211E+00	5.578E-03	2.217E+00	
3.000E-01	2.061E+00	5.975E-03	2.067E+00	
3.500E-01	1.957E+00	6.402E-03	1.963E+00	
4.000E-01	1.882E+00	6.856E-03	1.889E+00	
4.500E-01	1.826E+00	7.335E-03	1.833E+00	
5.000E-01	1.784E+00	7.838E-03	1.791E+00	
5.500E-01	1.751E+00	8.362E-03	1.759E+00	
6.000E-01	1.725E+00	8.904E-03	1.734E+00	
7.000E-01	1.690E+00	1.004E-02	1.700E+00	
8.000E-01	1.667E+00	1.122E-02	1.679E+00	
9.000E-01	1.654E+00	1.247E-02	1.666E+00	
1.000E+00	1.646E+00	1.376E-02	1.659E+00	
1.250E+00	1.641E+00	1.718E-02	1.658E+00	
1.500E+00	1.647E+00	2.084E-02	1.667E+00	
1.750E+00	1.658E+00	2.468E-02	1.682E+00	
2.000E+00	1.671E+00	2.869E-02	1.699E+00	
2.500E+00	1.699E+00	3.711E-02	1.736E+00	
3.000E+00	1.727E+00	4.598E-02	1.773E+00	
3.500E+00	1.753E+00	5.519E-02	1.808E+00	
4.000E+00	1.777E+00	6.471E-02	1.842E+00	
4.500E+00	1.799E+00	7.448E-02	1.874E+00	
5.000E+00	1.820E+00	8.449E-02	1.905E+00	
5.500E+00	1.839E+00	9.470E-02	1.934E+00	
6.000E+00	1.857E+00	1.051E-01	1.962E+00	
7.000E+00	1.889E+00	1.264E-01	2.016E+00	
8.000E+00	1.918E+00	1.482E-01	2.066E+00	
9.000E+00	1.944E+00	1.705E-01	2.114E+00	
1.000E+01	1.967E+00	1.932E-01	2.160E+00	
1.250E+01	2.016E+00	2.514E-01	2.267E+00	
1.500E+01	2.057E+00	3.112E-01	2.368E+00	
1.750E+01	2.092E+00	3.723E-01	2.464E+00	
2.000E+01	2.122E+00	4.343E-01	2.556E+00	
2.500E+01	2.173E+00	5.606E-01	2.733E+00	
3.000E+01	2.214E+00	6.890E-01	2.903E+00	
3.500E+01	2.246E+00	8.189E-01	3.065E+00	
4.000E+01	2.272E+00	9.502E-01	3.222E+00	
4.500E+01	2.292E+00	1.083E+00	3.375E+00	
5.000E+01	2.310E+00	1.216E+00	3.526E+00	
5.500E+01	2.325E+00	1.350E+00	3.675E+00	
6.000E+01	2.338E+00	1.484E+00	3.823E+00	
7.000E+01	2.361E+00	1.755E+00	4.116E+00	
8.000E+01	2.379E+00	2.028E+00	4.407E+00	
9.000E+01	2.395E+00	2.302E+00	4.697E+00	
1.000E+02	2.409E+00	2.577E+00	4.986E+00	
1.250E+02	2.437E+00	3.270E+00	5.707E+00	
1.500E+02	2.460E+00	3.967E+00	6.427E+00	
1.750E+02	2.478E+00	4.668E+00	7.146E+00	
2.000E+02	2.494E+00	5.371E+00	7.865E+00	
2.500E+02	2.520E+00	6.784E+00	9.303E+00	
3.000E+02	2.541E+00	8.202E+00	1.074E+01	
3.500E+02	2.558E+00	9.625E+00	1.218E+01	
4.000E+02	2.573E+00	1.105E+01	1.362E+01	
4.500E+02	2.586E+00	1.248E+01	1.507E+01	
5.000E+02	2.597E+00	1.391E+01	1.651E+01	
5.500E+02	2.608E+00	1.534E+01	1.795E+01	
6.000E+02	2.617E+00	1.678E+01	1.939E+01	
7.000E+02	2.633E+00	1.965E+01	2.228E+01	
8.000E+02	2.646E+00	2.252E+01	2.517E+01	
9.000E+02	2.657E+00	2.540E+01	2.805E+01	
1.000E+03	2.668E+00	2.827E+01	3.094E+01	
