ESTAR: Stopping Powers and Range Tables for Electrons

PHOSPHORUS                                                                  

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.641E+01	7.495E-03	1.642E+01	
1.250E-02	1.392E+01	7.696E-03	1.392E+01	
1.500E-02	1.215E+01	7.840E-03	1.216E+01	
1.750E-02	1.084E+01	7.948E-03	1.084E+01	
2.000E-02	9.810E+00	8.032E-03	9.818E+00	
2.500E-02	8.312E+00	8.153E-03	8.321E+00	
3.000E-02	7.266E+00	8.236E-03	7.275E+00	
3.500E-02	6.492E+00	8.301E-03	6.500E+00	
4.000E-02	5.894E+00	8.352E-03	5.902E+00	
4.500E-02	5.417E+00	8.396E-03	5.425E+00	
5.000E-02	5.028E+00	8.436E-03	5.036E+00	
5.500E-02	4.704E+00	8.473E-03	4.712E+00	
6.000E-02	4.429E+00	8.508E-03	4.438E+00	
7.000E-02	3.990E+00	8.575E-03	3.999E+00	
8.000E-02	3.654E+00	8.643E-03	3.662E+00	
9.000E-02	3.388E+00	8.715E-03	3.396E+00	
1.000E-01	3.172E+00	8.792E-03	3.181E+00	
1.250E-01	2.777E+00	9.004E-03	2.786E+00	
1.500E-01	2.509E+00	9.243E-03	2.518E+00	
1.750E-01	2.316E+00	9.506E-03	2.326E+00	
2.000E-01	2.171E+00	9.790E-03	2.181E+00	
2.500E-01	1.969E+00	1.041E-02	1.979E+00	
3.000E-01	1.836E+00	1.110E-02	1.848E+00	
3.500E-01	1.744E+00	1.184E-02	1.756E+00	
4.000E-01	1.677E+00	1.263E-02	1.690E+00	
4.500E-01	1.628E+00	1.347E-02	1.641E+00	
5.000E-01	1.589E+00	1.434E-02	1.604E+00	
5.500E-01	1.560E+00	1.524E-02	1.575E+00	
6.000E-01	1.537E+00	1.618E-02	1.553E+00	
7.000E-01	1.504E+00	1.814E-02	1.522E+00	
8.000E-01	1.483E+00	2.019E-02	1.503E+00	
9.000E-01	1.469E+00	2.233E-02	1.491E+00	
1.000E+00	1.461E+00	2.456E-02	1.485E+00	
1.250E+00	1.453E+00	3.045E-02	1.483E+00	
1.500E+00	1.455E+00	3.672E-02	1.492E+00	
1.750E+00	1.461E+00	4.332E-02	1.505E+00	
2.000E+00	1.470E+00	5.019E-02	1.520E+00	
2.500E+00	1.489E+00	6.457E-02	1.554E+00	
3.000E+00	1.508E+00	7.967E-02	1.588E+00	
3.500E+00	1.525E+00	9.534E-02	1.621E+00	
4.000E+00	1.541E+00	1.115E-01	1.653E+00	
4.500E+00	1.556E+00	1.280E-01	1.684E+00	
5.000E+00	1.569E+00	1.449E-01	1.714E+00	
5.500E+00	1.581E+00	1.621E-01	1.743E+00	
6.000E+00	1.591E+00	1.796E-01	1.771E+00	
7.000E+00	1.610E+00	2.153E-01	1.825E+00	
8.000E+00	1.625E+00	2.519E-01	1.877E+00	
9.000E+00	1.639E+00	2.891E-01	1.928E+00	
1.000E+01	1.651E+00	3.269E-01	1.977E+00	
1.250E+01	1.675E+00	4.235E-01	2.098E+00	
1.500E+01	1.694E+00	5.225E-01	2.216E+00	
1.750E+01	1.709E+00	6.233E-01	2.333E+00	
2.000E+01	1.723E+00	7.255E-01	2.448E+00	
2.500E+01	1.745E+00	9.331E-01	2.678E+00	
3.000E+01	1.762E+00	1.144E+00	2.906E+00	
3.500E+01	1.777E+00	1.357E+00	3.134E+00	
4.000E+01	1.789E+00	1.572E+00	3.361E+00	
4.500E+01	1.800E+00	1.788E+00	3.588E+00	
5.000E+01	1.809E+00	2.006E+00	3.816E+00	
5.500E+01	1.818E+00	2.225E+00	4.043E+00	
6.000E+01	1.826E+00	2.445E+00	4.271E+00	
7.000E+01	1.839E+00	2.888E+00	4.727E+00	
8.000E+01	1.851E+00	3.333E+00	5.183E+00	
9.000E+01	1.861E+00	3.780E+00	5.640E+00	
1.000E+02	1.869E+00	4.229E+00	6.098E+00	
1.250E+02	1.888E+00	5.358E+00	7.246E+00	
1.500E+02	1.902E+00	6.494E+00	8.396E+00	
1.750E+02	1.914E+00	7.635E+00	9.549E+00	
2.000E+02	1.924E+00	8.779E+00	1.070E+01	
2.500E+02	1.942E+00	1.108E+01	1.302E+01	
3.000E+02	1.955E+00	1.338E+01	1.534E+01	
3.500E+02	1.967E+00	1.570E+01	1.766E+01	
4.000E+02	1.977E+00	1.802E+01	1.999E+01	
4.500E+02	1.986E+00	2.034E+01	2.232E+01	
5.000E+02	1.994E+00	2.266E+01	2.465E+01	
5.500E+02	2.001E+00	2.499E+01	2.699E+01	
6.000E+02	2.008E+00	2.731E+01	2.932E+01	
7.000E+02	2.019E+00	3.197E+01	3.399E+01	
8.000E+02	2.029E+00	3.664E+01	3.867E+01	
9.000E+02	2.038E+00	4.131E+01	4.335E+01	
1.000E+03	2.046E+00	4.598E+01	4.803E+01	
