ESTAR: Stopping Powers and Range Tables for Electrons

SULFUR                                                                    

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.675E+01	8.174E-03	1.676E+01	
1.250E-02	1.421E+01	8.414E-03	1.422E+01	
1.500E-02	1.241E+01	8.587E-03	1.242E+01	
1.750E-02	1.107E+01	8.718E-03	1.108E+01	
2.000E-02	1.003E+01	8.821E-03	1.003E+01	
2.500E-02	8.498E+00	8.970E-03	8.507E+00	
3.000E-02	7.431E+00	9.073E-03	7.440E+00	
3.500E-02	6.640E+00	9.152E-03	6.649E+00	
4.000E-02	6.029E+00	9.216E-03	6.039E+00	
4.500E-02	5.542E+00	9.270E-03	5.552E+00	
5.000E-02	5.145E+00	9.318E-03	5.154E+00	
5.500E-02	4.814E+00	9.362E-03	4.823E+00	
6.000E-02	4.533E+00	9.403E-03	4.543E+00	
7.000E-02	4.085E+00	9.482E-03	4.094E+00	
8.000E-02	3.741E+00	9.561E-03	3.750E+00	
9.000E-02	3.468E+00	9.643E-03	3.478E+00	
1.000E-01	3.248E+00	9.728E-03	3.257E+00	
1.250E-01	2.844E+00	9.963E-03	2.854E+00	
1.500E-01	2.570E+00	1.023E-02	2.580E+00	
1.750E-01	2.372E+00	1.051E-02	2.383E+00	
2.000E-01	2.224E+00	1.083E-02	2.235E+00	
2.500E-01	2.017E+00	1.151E-02	2.029E+00	
3.000E-01	1.881E+00	1.226E-02	1.894E+00	
3.500E-01	1.787E+00	1.307E-02	1.800E+00	
4.000E-01	1.719E+00	1.394E-02	1.732E+00	
4.500E-01	1.667E+00	1.485E-02	1.682E+00	
5.000E-01	1.628E+00	1.580E-02	1.644E+00	
5.500E-01	1.598E+00	1.680E-02	1.615E+00	
6.000E-01	1.574E+00	1.782E-02	1.592E+00	
7.000E-01	1.540E+00	1.997E-02	1.560E+00	
8.000E-01	1.519E+00	2.222E-02	1.541E+00	
9.000E-01	1.505E+00	2.457E-02	1.529E+00	
1.000E+00	1.496E+00	2.701E-02	1.523E+00	
1.250E+00	1.488E+00	3.346E-02	1.521E+00	
1.500E+00	1.490E+00	4.033E-02	1.530E+00	
1.750E+00	1.496E+00	4.756E-02	1.544E+00	
2.000E+00	1.505E+00	5.507E-02	1.560E+00	
2.500E+00	1.524E+00	7.083E-02	1.595E+00	
3.000E+00	1.544E+00	8.734E-02	1.631E+00	
3.500E+00	1.562E+00	1.045E-01	1.667E+00	
4.000E+00	1.579E+00	1.221E-01	1.701E+00	
4.500E+00	1.594E+00	1.402E-01	1.735E+00	
5.000E+00	1.608E+00	1.587E-01	1.767E+00	
5.500E+00	1.621E+00	1.775E-01	1.799E+00	
6.000E+00	1.633E+00	1.966E-01	1.829E+00	
7.000E+00	1.653E+00	2.356E-01	1.889E+00	
8.000E+00	1.670E+00	2.755E-01	1.946E+00	
9.000E+00	1.685E+00	3.161E-01	2.001E+00	
1.000E+01	1.698E+00	3.574E-01	2.056E+00	
1.250E+01	1.725E+00	4.628E-01	2.187E+00	
1.500E+01	1.745E+00	5.708E-01	2.316E+00	
1.750E+01	1.762E+00	6.807E-01	2.443E+00	
2.000E+01	1.776E+00	7.922E-01	2.568E+00	
2.500E+01	1.799E+00	1.018E+00	2.818E+00	
3.000E+01	1.817E+00	1.248E+00	3.066E+00	
3.500E+01	1.833E+00	1.480E+00	3.313E+00	
4.000E+01	1.846E+00	1.715E+00	3.560E+00	
4.500E+01	1.857E+00	1.951E+00	3.808E+00	
5.000E+01	1.867E+00	2.188E+00	4.055E+00	
5.500E+01	1.876E+00	2.427E+00	4.303E+00	
6.000E+01	1.884E+00	2.667E+00	4.550E+00	
7.000E+01	1.898E+00	3.149E+00	5.047E+00	
8.000E+01	1.910E+00	3.634E+00	5.544E+00	
9.000E+01	1.920E+00	4.121E+00	6.042E+00	
1.000E+02	1.930E+00	4.611E+00	6.541E+00	
1.250E+02	1.949E+00	5.842E+00	7.790E+00	
1.500E+02	1.964E+00	7.080E+00	9.044E+00	
1.750E+02	1.976E+00	8.323E+00	1.030E+01	
2.000E+02	1.987E+00	9.571E+00	1.156E+01	
2.500E+02	2.005E+00	1.208E+01	1.408E+01	
3.000E+02	2.020E+00	1.459E+01	1.661E+01	
3.500E+02	2.032E+00	1.711E+01	1.914E+01	
4.000E+02	2.042E+00	1.964E+01	2.168E+01	
4.500E+02	2.051E+00	2.216E+01	2.421E+01	
5.000E+02	2.059E+00	2.470E+01	2.675E+01	
5.500E+02	2.067E+00	2.723E+01	2.930E+01	
6.000E+02	2.073E+00	2.977E+01	3.184E+01	
7.000E+02	2.085E+00	3.484E+01	3.693E+01	
8.000E+02	2.096E+00	3.993E+01	4.202E+01	
9.000E+02	2.105E+00	4.502E+01	4.712E+01	
1.000E+03	2.113E+00	5.011E+01	5.222E+01	
