ESTAR: Stopping Powers and Range Tables for Electrons

SCANDIUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.499E+01	9.628E-03	1.500E+01	
1.250E-02	1.275E+01	1.001E-02	1.276E+01	
1.500E-02	1.116E+01	1.030E-02	1.117E+01	
1.750E-02	9.963E+00	1.053E-02	9.974E+00	
2.000E-02	9.032E+00	1.071E-02	9.043E+00	
2.500E-02	7.669E+00	1.098E-02	7.680E+00	
3.000E-02	6.715E+00	1.117E-02	6.726E+00	
3.500E-02	6.006E+00	1.132E-02	6.017E+00	
4.000E-02	5.458E+00	1.144E-02	5.470E+00	
4.500E-02	5.021E+00	1.155E-02	5.033E+00	
5.000E-02	4.664E+00	1.164E-02	4.675E+00	
5.500E-02	4.366E+00	1.172E-02	4.378E+00	
6.000E-02	4.114E+00	1.179E-02	4.125E+00	
7.000E-02	3.709E+00	1.192E-02	3.721E+00	
8.000E-02	3.399E+00	1.205E-02	3.411E+00	
9.000E-02	3.154E+00	1.217E-02	3.166E+00	
1.000E-01	2.955E+00	1.229E-02	2.967E+00	
1.250E-01	2.590E+00	1.261E-02	2.603E+00	
1.500E-01	2.343E+00	1.295E-02	2.356E+00	
1.750E-01	2.165E+00	1.331E-02	2.178E+00	
2.000E-01	2.031E+00	1.369E-02	2.044E+00	
2.500E-01	1.844E+00	1.453E-02	1.859E+00	
3.000E-01	1.722E+00	1.545E-02	1.737E+00	
3.500E-01	1.637E+00	1.644E-02	1.653E+00	
4.000E-01	1.575E+00	1.749E-02	1.593E+00	
4.500E-01	1.530E+00	1.860E-02	1.548E+00	
5.000E-01	1.495E+00	1.976E-02	1.515E+00	
5.500E-01	1.468E+00	2.097E-02	1.489E+00	
6.000E-01	1.447E+00	2.222E-02	1.469E+00	
7.000E-01	1.417E+00	2.483E-02	1.442E+00	
8.000E-01	1.398E+00	2.757E-02	1.426E+00	
9.000E-01	1.386E+00	3.042E-02	1.416E+00	
1.000E+00	1.379E+00	3.338E-02	1.412E+00	
1.250E+00	1.372E+00	4.120E-02	1.413E+00	
1.500E+00	1.374E+00	4.954E-02	1.423E+00	
1.750E+00	1.380E+00	5.828E-02	1.438E+00	
2.000E+00	1.387E+00	6.737E-02	1.455E+00	
2.500E+00	1.404E+00	8.639E-02	1.491E+00	
3.000E+00	1.421E+00	1.063E-01	1.528E+00	
3.500E+00	1.437E+00	1.269E-01	1.564E+00	
4.000E+00	1.452E+00	1.481E-01	1.600E+00	
4.500E+00	1.465E+00	1.698E-01	1.635E+00	
5.000E+00	1.478E+00	1.920E-01	1.670E+00	
5.500E+00	1.489E+00	2.145E-01	1.704E+00	
6.000E+00	1.500E+00	2.374E-01	1.737E+00	
7.000E+00	1.518E+00	2.841E-01	1.802E+00	
8.000E+00	1.535E+00	3.318E-01	1.866E+00	
9.000E+00	1.549E+00	3.804E-01	1.929E+00	
1.000E+01	1.561E+00	4.296E-01	1.991E+00	
1.250E+01	1.587E+00	5.554E-01	2.142E+00	
1.500E+01	1.607E+00	6.841E-01	2.291E+00	
1.750E+01	1.624E+00	8.150E-01	2.439E+00	
2.000E+01	1.637E+00	9.477E-01	2.585E+00	
2.500E+01	1.660E+00	1.217E+00	2.876E+00	
3.000E+01	1.677E+00	1.490E+00	3.167E+00	
3.500E+01	1.691E+00	1.766E+00	3.457E+00	
4.000E+01	1.703E+00	2.045E+00	3.748E+00	
4.500E+01	1.714E+00	2.326E+00	4.039E+00	
5.000E+01	1.723E+00	2.608E+00	4.331E+00	
5.500E+01	1.731E+00	2.892E+00	4.623E+00	
6.000E+01	1.739E+00	3.177E+00	4.915E+00	
7.000E+01	1.752E+00	3.750E+00	5.502E+00	
8.000E+01	1.763E+00	4.327E+00	6.090E+00	
9.000E+01	1.773E+00	4.906E+00	6.679E+00	
1.000E+02	1.781E+00	5.488E+00	7.270E+00	
1.250E+02	1.799E+00	6.952E+00	8.751E+00	
1.500E+02	1.814E+00	8.424E+00	1.024E+01	
1.750E+02	1.826E+00	9.902E+00	1.173E+01	
2.000E+02	1.836E+00	1.139E+01	1.322E+01	
2.500E+02	1.853E+00	1.436E+01	1.622E+01	
3.000E+02	1.866E+00	1.735E+01	1.922E+01	
3.500E+02	1.878E+00	2.035E+01	2.222E+01	
4.000E+02	1.887E+00	2.335E+01	2.523E+01	
4.500E+02	1.896E+00	2.635E+01	2.825E+01	
5.000E+02	1.904E+00	2.936E+01	3.126E+01	
5.500E+02	1.911E+00	3.237E+01	3.428E+01	
6.000E+02	1.917E+00	3.538E+01	3.730E+01	
7.000E+02	1.928E+00	4.142E+01	4.334E+01	
8.000E+02	1.938E+00	4.745E+01	4.939E+01	
9.000E+02	1.946E+00	5.350E+01	5.544E+01	
1.000E+03	1.954E+00	5.955E+01	6.150E+01	
