ESTAR: Stopping Powers and Range Tables for Electrons

SELENIUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.216E+01	1.293E-02	1.218E+01	
1.250E-02	1.042E+01	1.370E-02	1.043E+01	
1.500E-02	9.163E+00	1.429E-02	9.178E+00	
1.750E-02	8.216E+00	1.477E-02	8.231E+00	
2.000E-02	7.473E+00	1.516E-02	7.489E+00	
2.500E-02	6.378E+00	1.578E-02	6.394E+00	
3.000E-02	5.605E+00	1.625E-02	5.621E+00	
3.500E-02	5.029E+00	1.664E-02	5.045E+00	
4.000E-02	4.581E+00	1.695E-02	4.598E+00	
4.500E-02	4.223E+00	1.723E-02	4.240E+00	
5.000E-02	3.929E+00	1.747E-02	3.947E+00	
5.500E-02	3.684E+00	1.769E-02	3.702E+00	
6.000E-02	3.476E+00	1.789E-02	3.494E+00	
7.000E-02	3.141E+00	1.825E-02	3.160E+00	
8.000E-02	2.884E+00	1.858E-02	2.903E+00	
9.000E-02	2.680E+00	1.888E-02	2.699E+00	
1.000E-01	2.515E+00	1.917E-02	2.534E+00	
1.250E-01	2.211E+00	1.985E-02	2.230E+00	
1.500E-01	2.004E+00	2.050E-02	2.024E+00	
1.750E-01	1.855E+00	2.114E-02	1.876E+00	
2.000E-01	1.743E+00	2.179E-02	1.765E+00	
2.500E-01	1.587E+00	2.313E-02	1.610E+00	
3.000E-01	1.484E+00	2.455E-02	1.509E+00	
3.500E-01	1.414E+00	2.606E-02	1.440E+00	
4.000E-01	1.363E+00	2.765E-02	1.390E+00	
4.500E-01	1.325E+00	2.933E-02	1.354E+00	
5.000E-01	1.296E+00	3.109E-02	1.327E+00	
5.500E-01	1.274E+00	3.291E-02	1.307E+00	
6.000E-01	1.257E+00	3.479E-02	1.292E+00	
7.000E-01	1.234E+00	3.869E-02	1.272E+00	
8.000E-01	1.219E+00	4.277E-02	1.262E+00	
9.000E-01	1.211E+00	4.701E-02	1.258E+00	
1.000E+00	1.206E+00	5.139E-02	1.258E+00	
1.250E+00	1.204E+00	6.290E-02	1.267E+00	
1.500E+00	1.209E+00	7.509E-02	1.284E+00	
1.750E+00	1.217E+00	8.779E-02	1.305E+00	
2.000E+00	1.227E+00	1.010E-01	1.327E+00	
2.500E+00	1.245E+00	1.283E-01	1.374E+00	
3.000E+00	1.263E+00	1.569E-01	1.420E+00	
3.500E+00	1.279E+00	1.863E-01	1.465E+00	
4.000E+00	1.293E+00	2.164E-01	1.510E+00	
4.500E+00	1.306E+00	2.471E-01	1.553E+00	
5.000E+00	1.318E+00	2.785E-01	1.597E+00	
5.500E+00	1.329E+00	3.102E-01	1.639E+00	
6.000E+00	1.339E+00	3.425E-01	1.681E+00	
7.000E+00	1.356E+00	4.081E-01	1.764E+00	
8.000E+00	1.371E+00	4.749E-01	1.846E+00	
9.000E+00	1.384E+00	5.429E-01	1.927E+00	
1.000E+01	1.395E+00	6.118E-01	2.007E+00	
1.250E+01	1.420E+00	7.873E-01	2.207E+00	
1.500E+01	1.439E+00	9.667E-01	2.406E+00	
1.750E+01	1.455E+00	1.149E+00	2.604E+00	
2.000E+01	1.469E+00	1.334E+00	2.803E+00	
2.500E+01	1.492E+00	1.709E+00	3.200E+00	
3.000E+01	1.510E+00	2.090E+00	3.599E+00	
3.500E+01	1.524E+00	2.475E+00	3.999E+00	
4.000E+01	1.537E+00	2.864E+00	4.401E+00	
4.500E+01	1.548E+00	3.256E+00	4.803E+00	
5.000E+01	1.557E+00	3.649E+00	5.206E+00	
5.500E+01	1.565E+00	4.045E+00	5.610E+00	
6.000E+01	1.573E+00	4.443E+00	6.015E+00	
7.000E+01	1.586E+00	5.242E+00	6.827E+00	
8.000E+01	1.597E+00	6.045E+00	7.641E+00	
9.000E+01	1.606E+00	6.851E+00	8.457E+00	
1.000E+02	1.614E+00	7.660E+00	9.274E+00	
1.250E+02	1.632E+00	9.693E+00	1.132E+01	
1.500E+02	1.645E+00	1.173E+01	1.338E+01	
1.750E+02	1.657E+00	1.378E+01	1.544E+01	
2.000E+02	1.667E+00	1.584E+01	1.751E+01	
2.500E+02	1.683E+00	1.996E+01	2.164E+01	
3.000E+02	1.696E+00	2.409E+01	2.579E+01	
3.500E+02	1.707E+00	2.823E+01	2.994E+01	
4.000E+02	1.716E+00	3.238E+01	3.410E+01	
4.500E+02	1.725E+00	3.654E+01	3.826E+01	
5.000E+02	1.732E+00	4.069E+01	4.242E+01	
5.500E+02	1.738E+00	4.485E+01	4.659E+01	
6.000E+02	1.744E+00	4.902E+01	5.076E+01	
7.000E+02	1.755E+00	5.735E+01	5.911E+01	
8.000E+02	1.764E+00	6.569E+01	6.746E+01	
9.000E+02	1.772E+00	7.404E+01	7.581E+01	
1.000E+03	1.779E+00	8.240E+01	8.417E+01	
