ESTAR: Stopping Powers and Range Tables for Electrons

TITANIUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.446E+01	9.835E-03	1.447E+01	
1.250E-02	1.231E+01	1.025E-02	1.232E+01	
1.500E-02	1.078E+01	1.056E-02	1.079E+01	
1.750E-02	9.634E+00	1.080E-02	9.644E+00	
2.000E-02	8.737E+00	1.099E-02	8.748E+00	
2.500E-02	7.424E+00	1.129E-02	7.435E+00	
3.000E-02	6.503E+00	1.150E-02	6.514E+00	
3.500E-02	5.819E+00	1.167E-02	5.831E+00	
4.000E-02	5.290E+00	1.180E-02	5.301E+00	
4.500E-02	4.867E+00	1.192E-02	4.879E+00	
5.000E-02	4.522E+00	1.202E-02	4.534E+00	
5.500E-02	4.234E+00	1.210E-02	4.246E+00	
6.000E-02	3.990E+00	1.218E-02	4.002E+00	
7.000E-02	3.598E+00	1.233E-02	3.611E+00	
8.000E-02	3.298E+00	1.246E-02	3.311E+00	
9.000E-02	3.060E+00	1.259E-02	3.073E+00	
1.000E-01	2.867E+00	1.272E-02	2.880E+00	
1.250E-01	2.514E+00	1.306E-02	2.527E+00	
1.500E-01	2.274E+00	1.341E-02	2.287E+00	
1.750E-01	2.101E+00	1.379E-02	2.115E+00	
2.000E-01	1.971E+00	1.419E-02	1.985E+00	
2.500E-01	1.789E+00	1.506E-02	1.804E+00	
3.000E-01	1.670E+00	1.600E-02	1.686E+00	
3.500E-01	1.588E+00	1.702E-02	1.605E+00	
4.000E-01	1.528E+00	1.811E-02	1.546E+00	
4.500E-01	1.483E+00	1.925E-02	1.502E+00	
5.000E-01	1.449E+00	2.044E-02	1.470E+00	
5.500E-01	1.423E+00	2.169E-02	1.445E+00	
6.000E-01	1.402E+00	2.297E-02	1.425E+00	
7.000E-01	1.373E+00	2.566E-02	1.399E+00	
8.000E-01	1.355E+00	2.848E-02	1.383E+00	
9.000E-01	1.343E+00	3.141E-02	1.374E+00	
1.000E+00	1.335E+00	3.446E-02	1.370E+00	
1.250E+00	1.328E+00	4.250E-02	1.371E+00	
1.500E+00	1.330E+00	5.107E-02	1.381E+00	
1.750E+00	1.336E+00	6.006E-02	1.396E+00	
2.000E+00	1.343E+00	6.940E-02	1.412E+00	
2.500E+00	1.359E+00	8.894E-02	1.448E+00	
3.000E+00	1.376E+00	1.094E-01	1.485E+00	
3.500E+00	1.391E+00	1.306E-01	1.521E+00	
4.000E+00	1.405E+00	1.523E-01	1.557E+00	
4.500E+00	1.418E+00	1.746E-01	1.593E+00	
5.000E+00	1.430E+00	1.974E-01	1.627E+00	
5.500E+00	1.441E+00	2.205E-01	1.661E+00	
6.000E+00	1.451E+00	2.440E-01	1.695E+00	
7.000E+00	1.469E+00	2.919E-01	1.761E+00	
8.000E+00	1.485E+00	3.408E-01	1.825E+00	
9.000E+00	1.498E+00	3.906E-01	1.889E+00	
1.000E+01	1.510E+00	4.411E-01	1.952E+00	
1.250E+01	1.535E+00	5.701E-01	2.105E+00	
1.500E+01	1.555E+00	7.019E-01	2.257E+00	
1.750E+01	1.571E+00	8.361E-01	2.407E+00	
2.000E+01	1.584E+00	9.721E-01	2.556E+00	
2.500E+01	1.606E+00	1.248E+00	2.854E+00	
3.000E+01	1.622E+00	1.528E+00	3.150E+00	
3.500E+01	1.636E+00	1.811E+00	3.447E+00	
4.000E+01	1.648E+00	2.096E+00	3.744E+00	
4.500E+01	1.658E+00	2.384E+00	4.042E+00	
5.000E+01	1.667E+00	2.673E+00	4.340E+00	
5.500E+01	1.675E+00	2.963E+00	4.639E+00	
6.000E+01	1.683E+00	3.255E+00	4.938E+00	
7.000E+01	1.696E+00	3.843E+00	5.538E+00	
8.000E+01	1.707E+00	4.433E+00	6.140E+00	
9.000E+01	1.716E+00	5.027E+00	6.743E+00	
1.000E+02	1.724E+00	5.623E+00	7.348E+00	
1.250E+02	1.742E+00	7.122E+00	8.864E+00	
1.500E+02	1.756E+00	8.629E+00	1.039E+01	
1.750E+02	1.768E+00	1.014E+01	1.191E+01	
2.000E+02	1.778E+00	1.166E+01	1.344E+01	
2.500E+02	1.794E+00	1.471E+01	1.651E+01	
3.000E+02	1.808E+00	1.777E+01	1.958E+01	
3.500E+02	1.819E+00	2.084E+01	2.266E+01	
4.000E+02	1.828E+00	2.391E+01	2.574E+01	
4.500E+02	1.837E+00	2.698E+01	2.882E+01	
5.000E+02	1.844E+00	3.006E+01	3.191E+01	
5.500E+02	1.851E+00	3.315E+01	3.500E+01	
6.000E+02	1.857E+00	3.623E+01	3.809E+01	
7.000E+02	1.868E+00	4.241E+01	4.428E+01	
8.000E+02	1.878E+00	4.859E+01	5.047E+01	
9.000E+02	1.886E+00	5.478E+01	5.666E+01	
1.000E+03	1.893E+00	6.097E+01	6.286E+01	
