ESTAR: Stopping Powers and Range Tables for Electrons

VANADIUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.403E+01	1.002E-02	1.404E+01	
1.250E-02	1.195E+01	1.046E-02	1.196E+01	
1.500E-02	1.047E+01	1.078E-02	1.048E+01	
1.750E-02	9.358E+00	1.104E-02	9.369E+00	
2.000E-02	8.490E+00	1.125E-02	8.501E+00	
2.500E-02	7.217E+00	1.157E-02	7.229E+00	
3.000E-02	6.324E+00	1.180E-02	6.336E+00	
3.500E-02	5.660E+00	1.198E-02	5.672E+00	
4.000E-02	5.146E+00	1.213E-02	5.159E+00	
4.500E-02	4.736E+00	1.226E-02	4.748E+00	
5.000E-02	4.400E+00	1.236E-02	4.413E+00	
5.500E-02	4.121E+00	1.246E-02	4.133E+00	
6.000E-02	3.883E+00	1.255E-02	3.896E+00	
7.000E-02	3.503E+00	1.271E-02	3.516E+00	
8.000E-02	3.211E+00	1.285E-02	3.224E+00	
9.000E-02	2.980E+00	1.299E-02	2.993E+00	
1.000E-01	2.792E+00	1.313E-02	2.805E+00	
1.250E-01	2.448E+00	1.348E-02	2.461E+00	
1.500E-01	2.214E+00	1.385E-02	2.228E+00	
1.750E-01	2.045E+00	1.425E-02	2.059E+00	
2.000E-01	1.918E+00	1.466E-02	1.933E+00	
2.500E-01	1.742E+00	1.555E-02	1.757E+00	
3.000E-01	1.626E+00	1.653E-02	1.642E+00	
3.500E-01	1.545E+00	1.757E-02	1.563E+00	
4.000E-01	1.487E+00	1.869E-02	1.505E+00	
4.500E-01	1.443E+00	1.986E-02	1.463E+00	
5.000E-01	1.410E+00	2.109E-02	1.431E+00	
5.500E-01	1.384E+00	2.236E-02	1.407E+00	
6.000E-01	1.364E+00	2.368E-02	1.388E+00	
7.000E-01	1.335E+00	2.643E-02	1.362E+00	
8.000E-01	1.317E+00	2.932E-02	1.346E+00	
9.000E-01	1.305E+00	3.234E-02	1.338E+00	
1.000E+00	1.298E+00	3.546E-02	1.334E+00	
1.250E+00	1.291E+00	4.371E-02	1.335E+00	
1.500E+00	1.293E+00	5.250E-02	1.345E+00	
1.750E+00	1.298E+00	6.172E-02	1.360E+00	
2.000E+00	1.305E+00	7.130E-02	1.376E+00	
2.500E+00	1.320E+00	9.132E-02	1.412E+00	
3.000E+00	1.336E+00	1.123E-01	1.448E+00	
3.500E+00	1.351E+00	1.340E-01	1.485E+00	
4.000E+00	1.365E+00	1.563E-01	1.521E+00	
4.500E+00	1.377E+00	1.791E-01	1.556E+00	
5.000E+00	1.389E+00	2.024E-01	1.591E+00	
5.500E+00	1.399E+00	2.260E-01	1.625E+00	
6.000E+00	1.409E+00	2.501E-01	1.659E+00	
7.000E+00	1.426E+00	2.991E-01	1.725E+00	
8.000E+00	1.441E+00	3.491E-01	1.791E+00	
9.000E+00	1.455E+00	4.001E-01	1.855E+00	
1.000E+01	1.466E+00	4.517E-01	1.918E+00	
1.250E+01	1.491E+00	5.836E-01	2.074E+00	
1.500E+01	1.510E+00	7.183E-01	2.228E+00	
1.750E+01	1.525E+00	8.554E-01	2.381E+00	
2.000E+01	1.538E+00	9.944E-01	2.533E+00	
2.500E+01	1.559E+00	1.276E+00	2.835E+00	
3.000E+01	1.576E+00	1.562E+00	3.138E+00	
3.500E+01	1.589E+00	1.851E+00	3.440E+00	
4.000E+01	1.601E+00	2.143E+00	3.743E+00	
4.500E+01	1.611E+00	2.436E+00	4.047E+00	
5.000E+01	1.620E+00	2.731E+00	4.351E+00	
5.500E+01	1.627E+00	3.028E+00	4.656E+00	
6.000E+01	1.635E+00	3.326E+00	4.961E+00	
7.000E+01	1.647E+00	3.926E+00	5.573E+00	
8.000E+01	1.658E+00	4.529E+00	6.187E+00	
9.000E+01	1.667E+00	5.135E+00	6.802E+00	
1.000E+02	1.675E+00	5.744E+00	7.419E+00	
1.250E+02	1.693E+00	7.274E+00	8.967E+00	
1.500E+02	1.706E+00	8.814E+00	1.052E+01	
1.750E+02	1.718E+00	1.036E+01	1.208E+01	
2.000E+02	1.728E+00	1.191E+01	1.364E+01	
2.500E+02	1.744E+00	1.502E+01	1.677E+01	
3.000E+02	1.757E+00	1.814E+01	1.990E+01	
3.500E+02	1.768E+00	2.127E+01	2.304E+01	
4.000E+02	1.777E+00	2.441E+01	2.619E+01	
4.500E+02	1.785E+00	2.755E+01	2.933E+01	
5.000E+02	1.793E+00	3.069E+01	3.248E+01	
5.500E+02	1.800E+00	3.384E+01	3.564E+01	
6.000E+02	1.806E+00	3.699E+01	3.879E+01	
7.000E+02	1.816E+00	4.329E+01	4.511E+01	
8.000E+02	1.826E+00	4.960E+01	5.142E+01	
9.000E+02	1.834E+00	5.591E+01	5.774E+01	
1.000E+03	1.841E+00	6.223E+01	6.407E+01	
