ESTAR: Stopping Powers and Range Tables for Electrons

ZINC                                                                     

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	1.315E+01	1.251E-02	1.317E+01	
1.250E-02	1.125E+01	1.319E-02	1.127E+01	
1.500E-02	9.894E+00	1.371E-02	9.908E+00	
1.750E-02	8.867E+00	1.414E-02	8.881E+00	
2.000E-02	8.062E+00	1.449E-02	8.076E+00	
2.500E-02	6.875E+00	1.503E-02	6.890E+00	
3.000E-02	6.039E+00	1.544E-02	6.055E+00	
3.500E-02	5.416E+00	1.576E-02	5.432E+00	
4.000E-02	4.932E+00	1.603E-02	4.948E+00	
4.500E-02	4.545E+00	1.627E-02	4.561E+00	
5.000E-02	4.228E+00	1.647E-02	4.244E+00	
5.500E-02	3.963E+00	1.665E-02	3.980E+00	
6.000E-02	3.738E+00	1.681E-02	3.755E+00	
7.000E-02	3.377E+00	1.710E-02	3.394E+00	
8.000E-02	3.100E+00	1.736E-02	3.117E+00	
9.000E-02	2.880E+00	1.761E-02	2.897E+00	
1.000E-01	2.701E+00	1.784E-02	2.719E+00	
1.250E-01	2.373E+00	1.841E-02	2.391E+00	
1.500E-01	2.149E+00	1.897E-02	2.168E+00	
1.750E-01	1.988E+00	1.954E-02	2.007E+00	
2.000E-01	1.866E+00	2.013E-02	1.886E+00	
2.500E-01	1.696E+00	2.137E-02	1.718E+00	
3.000E-01	1.585E+00	2.270E-02	1.607E+00	
3.500E-01	1.507E+00	2.411E-02	1.531E+00	
4.000E-01	1.451E+00	2.560E-02	1.476E+00	
4.500E-01	1.409E+00	2.716E-02	1.436E+00	
5.000E-01	1.377E+00	2.879E-02	1.405E+00	
5.500E-01	1.352E+00	3.049E-02	1.382E+00	
6.000E-01	1.332E+00	3.223E-02	1.365E+00	
7.000E-01	1.305E+00	3.587E-02	1.341E+00	
8.000E-01	1.287E+00	3.968E-02	1.327E+00	
9.000E-01	1.276E+00	4.364E-02	1.320E+00	
1.000E+00	1.270E+00	4.775E-02	1.317E+00	
1.250E+00	1.264E+00	5.859E-02	1.323E+00	
1.500E+00	1.266E+00	7.012E-02	1.337E+00	
1.750E+00	1.273E+00	8.219E-02	1.355E+00	
2.000E+00	1.281E+00	9.473E-02	1.375E+00	
2.500E+00	1.298E+00	1.209E-01	1.419E+00	
3.000E+00	1.315E+00	1.482E-01	1.463E+00	
3.500E+00	1.330E+00	1.764E-01	1.507E+00	
4.000E+00	1.345E+00	2.053E-01	1.550E+00	
4.500E+00	1.358E+00	2.349E-01	1.592E+00	
5.000E+00	1.369E+00	2.650E-01	1.634E+00	
5.500E+00	1.380E+00	2.956E-01	1.676E+00	
6.000E+00	1.390E+00	3.266E-01	1.717E+00	
7.000E+00	1.408E+00	3.898E-01	1.798E+00	
8.000E+00	1.424E+00	4.542E-01	1.878E+00	
9.000E+00	1.438E+00	5.197E-01	1.957E+00	
1.000E+01	1.450E+00	5.860E-01	2.036E+00	
1.250E+01	1.476E+00	7.550E-01	2.231E+00	
1.500E+01	1.497E+00	9.276E-01	2.424E+00	
1.750E+01	1.514E+00	1.103E+00	2.617E+00	
2.000E+01	1.529E+00	1.280E+00	2.809E+00	
2.500E+01	1.553E+00	1.640E+00	3.193E+00	
3.000E+01	1.572E+00	2.005E+00	3.577E+00	
3.500E+01	1.588E+00	2.373E+00	3.961E+00	
4.000E+01	1.601E+00	2.744E+00	4.346E+00	
4.500E+01	1.613E+00	3.118E+00	4.731E+00	
5.000E+01	1.623E+00	3.494E+00	5.117E+00	
5.500E+01	1.631E+00	3.872E+00	5.503E+00	
6.000E+01	1.639E+00	4.251E+00	5.891E+00	
7.000E+01	1.653E+00	5.014E+00	6.667E+00	
8.000E+01	1.665E+00	5.782E+00	7.446E+00	
9.000E+01	1.675E+00	6.553E+00	8.227E+00	
1.000E+02	1.683E+00	7.326E+00	9.010E+00	
1.250E+02	1.702E+00	9.272E+00	1.097E+01	
1.500E+02	1.717E+00	1.123E+01	1.294E+01	
1.750E+02	1.729E+00	1.319E+01	1.492E+01	
2.000E+02	1.739E+00	1.516E+01	1.690E+01	
2.500E+02	1.757E+00	1.911E+01	2.087E+01	
3.000E+02	1.771E+00	2.307E+01	2.484E+01	
3.500E+02	1.782E+00	2.704E+01	2.882E+01	
4.000E+02	1.792E+00	3.102E+01	3.281E+01	
4.500E+02	1.801E+00	3.500E+01	3.680E+01	
5.000E+02	1.809E+00	3.898E+01	4.079E+01	
5.500E+02	1.816E+00	4.297E+01	4.478E+01	
6.000E+02	1.822E+00	4.696E+01	4.878E+01	
7.000E+02	1.833E+00	5.495E+01	5.678E+01	
8.000E+02	1.843E+00	6.294E+01	6.478E+01	
9.000E+02	1.851E+00	7.093E+01	7.278E+01	
1.000E+03	1.859E+00	7.893E+01	8.079E+01	
