 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silver.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.991E-02  2.077E-03      70 A       115 A        84 A   
   1.10 keV   3.137E-02  2.091E-03      75 A       122 A        90 A   
   1.20 keV   3.277E-02  2.101E-03      81 A       128 A        95 A   
   1.30 keV   3.411E-02  2.108E-03      87 A       135 A        99 A   
   1.40 keV   3.539E-02  2.113E-03      93 A       141 A       104 A   
   1.50 keV   3.664E-02  2.116E-03      98 A       147 A       109 A   
   1.60 keV   3.784E-02  2.117E-03     104 A       153 A       113 A   
   1.70 keV   3.900E-02  2.117E-03     109 A       158 A       118 A   
   1.80 keV   4.013E-02  2.116E-03     115 A       164 A       122 A   
   2.00 keV   4.231E-02  2.110E-03     126 A       175 A       130 A   
   2.25 keV   4.487E-02  2.099E-03     140 A       188 A       141 A   
   2.50 keV   4.729E-02  2.085E-03     154 A       200 A       150 A   
   2.75 keV   4.958E-02  2.068E-03     168 A       212 A       160 A   
   3.00 keV   5.177E-02  2.050E-03     181 A       224 A       169 A   
   3.25 keV   5.387E-02  2.031E-03     195 A       235 A       178 A   
   3.50 keV   5.588E-02  2.011E-03     209 A       246 A       186 A   
   3.75 keV   5.781E-02  1.991E-03     222 A       256 A       195 A   
   4.00 keV   5.968E-02  1.971E-03     236 A       266 A       203 A   
   4.50 keV   6.324E-02  1.930E-03     263 A       285 A       219 A   
   5.00 keV   6.658E-02  1.890E-03     291 A       304 A       234 A   
