 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Aluminum.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.443E-02  1.023E-02     161 A       156 A       120 A   
   1.10 keV   9.904E-02  1.004E-02     176 A       165 A       128 A   
   1.20 keV   1.034E-01  9.863E-03     190 A       174 A       135 A   
   1.30 keV   1.077E-01  9.687E-03     205 A       182 A       142 A   
   1.40 keV   1.117E-01  9.516E-03     219 A       190 A       149 A   
   1.50 keV   1.157E-01  9.351E-03     234 A       198 A       156 A   
   1.60 keV   1.194E-01  9.190E-03     248 A       205 A       163 A   
   1.70 keV   1.231E-01  9.035E-03     262 A       213 A       169 A   
   1.80 keV   1.267E-01  8.885E-03     276 A       220 A       175 A   
   2.00 keV   1.335E-01  8.601E-03     304 A       233 A       187 A   
   2.25 keV   1.408E-01  8.272E-03     339 A       249 A       201 A   
   2.50 keV   1.475E-01  7.970E-03     373 A       263 A       215 A   
   2.75 keV   1.539E-01  7.692E-03     408 A       277 A       228 A   
   3.00 keV   1.600E-01  7.436E-03     441 A       290 A       240 A   
   3.25 keV   1.657E-01  7.199E-03     475 A       302 A       252 A   
   3.50 keV   1.713E-01  6.979E-03     508 A       314 A       264 A   
   3.75 keV   1.767E-01  6.775E-03     541 A       325 A       275 A   
   4.00 keV   1.819E-01  6.584E-03     574 A       336 A       285 A   
   4.50 keV   1.918E-01  6.237E-03     639 A       356 A       306 A   
   5.00 keV   2.013E-01  5.931E-03     702 A       374 A       325 A   
