 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Argon (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7800E-03 g/cm3 = 2.6833E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ar     18    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.000E-02  6.557E-03   27.49 um    29.02 um    22.21 um  
   1.10 keV   8.391E-02  6.484E-03   29.90 um    30.71 um    23.58 um  
   1.20 keV   8.764E-02  6.408E-03   32.29 um    32.32 um    24.90 um  
   1.30 keV   9.122E-02  6.331E-03   34.67 um    33.88 um    26.18 um  
   1.40 keV   9.466E-02  6.253E-03   37.04 um    35.37 um    27.42 um  
   1.50 keV   9.798E-02  6.175E-03   39.39 um    36.81 um    28.62 um  
   1.60 keV   1.012E-01  6.098E-03   41.73 um    38.20 um    29.79 um  
   1.70 keV   1.043E-01  6.022E-03   44.06 um    39.55 um    30.94 um  
   1.80 keV   1.073E-01  5.947E-03   46.38 um    40.86 um    32.05 um  
   2.00 keV   1.131E-01  5.801E-03   50.98 um    43.34 um    34.20 um  
   2.25 keV   1.193E-01  5.627E-03   56.70 um    46.25 um    36.77 um  
   2.50 keV   1.250E-01  5.463E-03   62.37 um    49.01 um    39.21 um  
   2.75 keV   1.306E-01  5.308E-03   68.01 um    51.61 um    41.56 um  
   3.00 keV   1.359E-01  5.163E-03   73.59 um    54.08 um    43.81 um  
   3.25 keV   1.410E-01  5.026E-03   79.13 um    56.43 um    45.98 um  
   3.50 keV   1.460E-01  4.897E-03   84.62 um    58.67 um    48.07 um  
