 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Arsenic.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.7270E+00 g/cm3 = 4.6032E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     As     33    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.910E-02  3.247E-03     107 A       142 A       106 A   
   1.10 keV   5.150E-02  3.249E-03     116 A       151 A       113 A   
   1.20 keV   5.379E-02  3.246E-03     124 A       159 A       119 A   
   1.30 keV   5.599E-02  3.240E-03     133 A       166 A       125 A   
   1.40 keV   5.810E-02  3.231E-03     142 A       174 A       131 A   
   1.50 keV   6.014E-02  3.220E-03     151 A       181 A       137 A   
   1.60 keV   6.211E-02  3.208E-03     159 A       188 A       142 A   
   1.70 keV   6.402E-02  3.193E-03     168 A       195 A       148 A   
   1.80 keV   6.588E-02  3.178E-03     177 A       202 A       153 A   
   2.00 keV   6.944E-02  3.145E-03     194 A       214 A       163 A   
   2.25 keV   7.317E-02  3.101E-03     215 A       230 A       176 A   
   2.50 keV   7.669E-02  3.055E-03     237 A       244 A       188 A   
   2.75 keV   8.006E-02  3.008E-03     258 A       258 A       200 A   
   3.00 keV   8.332E-02  2.961E-03     279 A       272 A       211 A   
   3.25 keV   8.647E-02  2.914E-03     300 A       285 A       222 A   
   3.50 keV   8.953E-02  2.869E-03     321 A       297 A       232 A   
   3.75 keV   9.250E-02  2.824E-03     342 A       309 A       242 A   
   4.00 keV   9.539E-02  2.781E-03     363 A       321 A       252 A   
   4.50 keV   1.010E-01  2.697E-03     404 A       342 A       272 A   
   5.00 keV   1.063E-01  2.618E-03     445 A       363 A       290 A   
