 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Gold.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.647E-02  8.991E-04      51 A       104 A        75 A   
   1.10 keV   1.727E-02  9.121E-04      55 A       110 A        80 A   
   1.20 keV   1.804E-02  9.232E-04      59 A       116 A        84 A   
   1.30 keV   1.878E-02  9.327E-04      63 A       121 A        88 A   
   1.40 keV   1.949E-02  9.409E-04      67 A       127 A        92 A   
   1.50 keV   2.017E-02  9.480E-04      71 A       132 A        96 A   
   1.60 keV   2.083E-02  9.541E-04      75 A       138 A       100 A   
   1.70 keV   2.147E-02  9.593E-04      79 A       143 A       104 A   
   1.80 keV   2.209E-02  9.639E-04      82 A       148 A       108 A   
   2.00 keV   2.329E-02  9.711E-04      90 A       157 A       115 A   
   2.25 keV   2.448E-02  9.772E-04     100 A       169 A       124 A   
   2.50 keV   2.559E-02  9.810E-04     109 A       180 A       133 A   
   2.75 keV   2.664E-02  9.830E-04     119 A       191 A       141 A   
   3.00 keV   2.763E-02  9.835E-04     128 A       202 A       149 A   
   3.25 keV   2.858E-02  9.829E-04     138 A       213 A       157 A   
   3.50 keV   2.949E-02  9.814E-04     147 A       223 A       165 A   
   3.75 keV   3.037E-02  9.791E-04     157 A       233 A       173 A   
   4.00 keV   3.121E-02  9.763E-04     166 A       243 A       181 A   
   4.50 keV   3.280E-02  9.692E-04     185 A       262 A       196 A   
   5.00 keV   3.430E-02  9.609E-04     205 A       281 A       210 A   
