 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Boron.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.440E-01  1.982E-02     166 A       108 A        88 A   
   1.10 keV   1.511E-01  1.909E-02     182 A       114 A        94 A   
   1.20 keV   1.578E-01  1.842E-02     197 A       120 A       100 A   
   1.30 keV   1.642E-01  1.780E-02     212 A       126 A       105 A   
   1.40 keV   1.704E-01  1.723E-02     227 A       131 A       110 A   
   1.50 keV   1.764E-01  1.670E-02     242 A       136 A       115 A   
   1.60 keV   1.822E-01  1.620E-02     257 A       141 A       120 A   
   1.70 keV   1.878E-01  1.575E-02     271 A       145 A       124 A   
   1.80 keV   1.932E-01  1.532E-02     286 A       149 A       129 A   
   2.00 keV   2.037E-01  1.453E-02     314 A       157 A       137 A   
   2.25 keV   2.146E-01  1.368E-02     349 A       166 A       147 A   
   2.50 keV   2.250E-01  1.293E-02     383 A       175 A       156 A   
   2.75 keV   2.351E-01  1.228E-02     417 A       182 A       165 A   
   3.00 keV   2.448E-01  1.170E-02     449 A       190 A       173 A   
   3.25 keV   2.542E-01  1.118E-02     482 A       196 A       180 A   
   3.50 keV   2.633E-01  1.071E-02     513 A       202 A       188 A   
   3.75 keV   2.721E-01  1.028E-02     544 A       208 A       195 A   
   4.00 keV   2.806E-01  9.892E-03     575 A       213 A       201 A   
   4.50 keV   2.968E-01  9.209E-03     634 A       223 A       214 A   
   5.00 keV   3.119E-01  8.626E-03     692 A       232 A       225 A   
