 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Barium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.5100E+00 g/cm3 = 1.5392E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ba     56    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.058E-02  1.460E-03     216 A       301 A       224 A   
   1.10 keV   4.256E-02  1.474E-03     233 A       318 A       237 A   
   1.20 keV   4.445E-02  1.485E-03     249 A       334 A       249 A   
   1.30 keV   4.626E-02  1.493E-03     266 A       350 A       261 A   
   1.40 keV   4.801E-02  1.500E-03     282 A       365 A       273 A   
   1.50 keV   4.970E-02  1.505E-03     298 A       379 A       284 A   
   1.60 keV   5.133E-02  1.509E-03     314 A       393 A       295 A   
   1.70 keV   5.291E-02  1.512E-03     330 A       407 A       306 A   
   1.80 keV   5.444E-02  1.514E-03     346 A       421 A       317 A   
   2.00 keV   5.738E-02  1.516E-03     377 A       446 A       337 A   
   2.25 keV   6.042E-02  1.514E-03     415 A       477 A       362 A   
   2.50 keV   6.327E-02  1.509E-03     454 A       507 A       385 A   
   2.75 keV   6.598E-02  1.502E-03     492 A       535 A       408 A   
   3.00 keV   6.857E-02  1.494E-03     530 A       562 A       430 A   
   3.25 keV   7.105E-02  1.485E-03     568 A       589 A       452 A   
   3.50 keV   7.344E-02  1.475E-03     605 A       614 A       473 A   
   3.75 keV   7.575E-02  1.464E-03     642 A       639 A       493 A   
   4.00 keV   7.798E-02  1.453E-03     679 A       663 A       513 A   
   4.50 keV   8.223E-02  1.429E-03     753 A       708 A       552 A   
   5.00 keV   8.626E-02  1.406E-03     826 A       752 A       588 A   
