 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Be.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.494E-01  2.100E-02     216 A       129 A       107 A   
   1.10 keV   1.567E-01  2.014E-02     236 A       136 A       114 A   
   1.20 keV   1.637E-01  1.936E-02     256 A       143 A       120 A   
   1.30 keV   1.704E-01  1.865E-02     276 A       149 A       127 A   
   1.40 keV   1.768E-01  1.800E-02     296 A       155 A       133 A   
   1.50 keV   1.830E-01  1.740E-02     315 A       161 A       139 A   
   1.60 keV   1.890E-01  1.684E-02     334 A       166 A       144 A   
   1.70 keV   1.949E-01  1.633E-02     353 A       171 A       150 A   
   1.80 keV   2.005E-01  1.585E-02     371 A       176 A       155 A   
   2.00 keV   2.113E-01  1.498E-02     408 A       185 A       165 A   
   2.25 keV   2.234E-01  1.404E-02     452 A       195 A       176 A   
   2.50 keV   2.347E-01  1.323E-02     496 A       205 A       187 A   
   2.75 keV   2.454E-01  1.252E-02     539 A       213 A       197 A   
   3.00 keV   2.556E-01  1.190E-02     580 A       221 A       207 A   
   3.25 keV   2.654E-01  1.134E-02     621 A       228 A       216 A   
   3.50 keV   2.748E-01  1.084E-02     661 A       235 A       224 A   
   3.75 keV   2.838E-01  1.039E-02     700 A       241 A       232 A   
   4.00 keV   2.925E-01  9.980E-03     738 A       247 A       240 A   
   4.50 keV   3.091E-01  9.262E-03     813 A       258 A       254 A   
   5.00 keV   3.246E-01  8.653E-03     885 A       267 A       267 A   
