 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Bismuth.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.8000E+00 g/cm3 = 2.8240E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Bi     83    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.765E-02  8.248E-04      96 A       152 A       112 A   
   1.10 keV   2.900E-02  8.373E-04     103 A       160 A       118 A   
   1.20 keV   3.029E-02  8.480E-04     110 A       169 A       124 A   
   1.30 keV   3.152E-02  8.573E-04     117 A       176 A       130 A   
   1.40 keV   3.271E-02  8.653E-04     124 A       184 A       136 A   
   1.50 keV   3.386E-02  8.723E-04     131 A       191 A       141 A   
   1.60 keV   3.497E-02  8.784E-04     137 A       198 A       147 A   
   1.70 keV   3.605E-02  8.836E-04     144 A       205 A       152 A   
   1.80 keV   3.709E-02  8.882E-04     151 A       212 A       157 A   
   2.00 keV   3.910E-02  8.956E-04     164 A       225 A       168 A   
   2.25 keV   4.141E-02  9.022E-04     180 A       241 A       180 A   
   2.50 keV   4.358E-02  9.066E-04     196 A       256 A       191 A   
   2.75 keV   4.564E-02  9.092E-04     212 A       270 A       203 A   
   3.00 keV   4.761E-02  9.104E-04     228 A       284 A       213 A   
   3.25 keV   4.949E-02  9.106E-04     244 A       297 A       224 A   
   3.50 keV   5.130E-02  9.098E-04     259 A       310 A       234 A   
   3.75 keV   5.303E-02  9.084E-04     275 A       323 A       244 A   
   4.00 keV   5.471E-02  9.063E-04     290 A       335 A       254 A   
   4.50 keV   5.789E-02  9.009E-04     321 A       358 A       273 A   
   5.00 keV   6.088E-02  8.941E-04     351 A       380 A       291 A   
