 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Bromine (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.1990E+00 g/cm3 = 2.4109E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Br     35    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.191E-02  2.998E-03     200 A       286 A       212 A   
   1.10 keV   4.396E-02  3.003E-03     217 A       303 A       225 A   
   1.20 keV   4.591E-02  3.003E-03     234 A       319 A       238 A   
   1.30 keV   4.778E-02  3.001E-03     251 A       335 A       250 A   
   1.40 keV   4.959E-02  2.995E-03     268 A       350 A       262 A   
   1.50 keV   5.133E-02  2.987E-03     284 A       365 A       274 A   
   1.60 keV   5.301E-02  2.978E-03     301 A       380 A       285 A   
   1.70 keV   5.464E-02  2.967E-03     317 A       394 A       296 A   
   1.80 keV   5.623E-02  2.955E-03     334 A       407 A       307 A   
   2.00 keV   5.927E-02  2.928E-03     366 A       434 A       328 A   
   2.25 keV   6.254E-02  2.891E-03     407 A       465 A       354 A   
   2.50 keV   6.563E-02  2.852E-03     448 A       496 A       378 A   
   2.75 keV   6.859E-02  2.812E-03     489 A       525 A       402 A   
   3.00 keV   7.143E-02  2.771E-03     529 A       552 A       425 A   
   3.25 keV   7.417E-02  2.731E-03     570 A       579 A       447 A   
   3.50 keV   7.681E-02  2.691E-03     610 A       605 A       469 A   
   3.75 keV   7.938E-02  2.651E-03     650 A       630 A       490 A   
   4.00 keV   8.187E-02  2.613E-03     690 A       655 A       510 A   
   4.50 keV   8.665E-02  2.538E-03     770 A       701 A       550 A   
