 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Calcium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5400E+00 g/cm3 = 2.3138E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.729E-02  7.207E-03     291 A       310 A       237 A   
   1.10 keV   9.155E-02  7.143E-03     316 A       328 A       251 A   
   1.20 keV   9.562E-02  7.074E-03     341 A       345 A       265 A   
   1.30 keV   9.953E-02  7.001E-03     365 A       362 A       279 A   
   1.40 keV   1.033E-01  6.928E-03     390 A       377 A       292 A   
   1.50 keV   1.069E-01  6.853E-03     415 A       393 A       305 A   
   1.60 keV   1.104E-01  6.778E-03     439 A       408 A       317 A   
   1.70 keV   1.138E-01  6.703E-03     463 A       422 A       329 A   
   1.80 keV   1.171E-01  6.629E-03     487 A       436 A       341 A   
   2.00 keV   1.234E-01  6.483E-03     535 A       462 A       364 A   
   2.25 keV   1.304E-01  6.307E-03     594 A       493 A       391 A   
   2.50 keV   1.370E-01  6.139E-03     653 A       523 A       416 A   
   2.75 keV   1.432E-01  5.979E-03     711 A       550 A       441 A   
   3.00 keV   1.491E-01  5.828E-03     769 A       577 A       465 A   
   3.25 keV   1.547E-01  5.684E-03     826 A       602 A       488 A   
   3.50 keV   1.602E-01  5.548E-03     883 A       626 A       510 A   
   3.75 keV   1.654E-01  5.419E-03     939 A       649 A       531 A   
   4.00 keV   1.704E-01  5.296E-03     995 A       670 A       552 A   
   4.50 keV   1.800E-01  5.070E-03    1105 A       711 A       591 A   
