 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Cadmium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  8.6420E+00 g/cm3 = 4.6301E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cd     48    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.148E-02  1.944E-03      86 A       137 A       101 A   
   1.10 keV   3.302E-02  1.958E-03      93 A       145 A       107 A   
   1.20 keV   3.448E-02  1.968E-03     100 A       153 A       113 A   
   1.30 keV   3.589E-02  1.975E-03     106 A       160 A       118 A   
   1.40 keV   3.725E-02  1.980E-03     113 A       167 A       124 A   
   1.50 keV   3.855E-02  1.984E-03     120 A       174 A       129 A   
   1.60 keV   3.982E-02  1.985E-03     127 A       181 A       135 A   
   1.70 keV   4.104E-02  1.985E-03     134 A       188 A       140 A   
   1.80 keV   4.223E-02  1.985E-03     140 A       195 A       145 A   
   2.00 keV   4.452E-02  1.980E-03     154 A       207 A       155 A   
   2.25 keV   4.705E-02  1.971E-03     171 A       222 A       167 A   
   2.50 keV   4.941E-02  1.958E-03     187 A       237 A       178 A   
   2.75 keV   5.165E-02  1.943E-03     204 A       251 A       190 A   
   3.00 keV   5.378E-02  1.927E-03     221 A       265 A       200 A   
   3.25 keV   5.582E-02  1.910E-03     237 A       278 A       211 A   
   3.50 keV   5.776E-02  1.892E-03     254 A       291 A       221 A   
   3.75 keV   5.964E-02  1.874E-03     271 A       303 A       231 A   
   4.00 keV   6.144E-02  1.855E-03     287 A       315 A       241 A   
   4.50 keV   6.486E-02  1.818E-03     320 A       338 A       260 A   
   5.00 keV   6.807E-02  1.781E-03     353 A       360 A       278 A   
