 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Cerium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  6.6724E+00 g/cm3 = 2.8676E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ce     58    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.437E-02  1.438E-03     117 A       177 A       131 A   
   1.10 keV   3.605E-02  1.452E-03     127 A       187 A       138 A   
   1.20 keV   3.766E-02  1.464E-03     136 A       197 A       146 A   
   1.30 keV   3.919E-02  1.473E-03     145 A       206 A       153 A   
   1.40 keV   4.067E-02  1.480E-03     154 A       215 A       160 A   
   1.50 keV   4.210E-02  1.486E-03     162 A       224 A       166 A   
   1.60 keV   4.348E-02  1.491E-03     171 A       232 A       173 A   
   1.70 keV   4.482E-02  1.494E-03     180 A       241 A       179 A   
   1.80 keV   4.612E-02  1.497E-03     189 A       249 A       186 A   
   2.00 keV   4.861E-02  1.499E-03     206 A       264 A       198 A   
   2.25 keV   5.105E-02  1.498E-03     227 A       283 A       213 A   
   2.50 keV   5.333E-02  1.495E-03     249 A       301 A       227 A   
   2.75 keV   5.550E-02  1.489E-03     270 A       318 A       241 A   
   3.00 keV   5.758E-02  1.482E-03     292 A       335 A       254 A   
   3.25 keV   5.958E-02  1.474E-03     313 A       351 A       267 A   
   3.50 keV   6.151E-02  1.464E-03     334 A       367 A       280 A   
   3.75 keV   6.337E-02  1.455E-03     355 A       383 A       293 A   
   4.00 keV   6.518E-02  1.444E-03     376 A       398 A       305 A   
   4.50 keV   6.863E-02  1.422E-03     418 A       426 A       329 A   
   5.00 keV   7.191E-02  1.400E-03     460 A       454 A       352 A   
