 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Chlorine (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.8956E+00 g/cm3 = 3.2198E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cl     17    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.992E-02  7.850E-03     237 A       243 A       186 A   
   1.10 keV   9.430E-02  7.753E-03     258 A       257 A       198 A   
   1.20 keV   9.850E-02  7.655E-03     279 A       270 A       209 A   
   1.30 keV   1.025E-01  7.555E-03     300 A       283 A       220 A   
   1.40 keV   1.064E-01  7.455E-03     320 A       295 A       230 A   
   1.50 keV   1.101E-01  7.356E-03     340 A       307 A       240 A   
   1.60 keV   1.137E-01  7.258E-03     361 A       319 A       250 A   
   1.70 keV   1.172E-01  7.162E-03     381 A       330 A       259 A   
   1.80 keV   1.206E-01  7.067E-03     401 A       341 A       269 A   
   2.00 keV   1.272E-01  6.885E-03     440 A       362 A       287 A   
   2.25 keV   1.342E-01  6.668E-03     490 A       386 A       308 A   
   2.50 keV   1.409E-01  6.465E-03     538 A       408 A       328 A   
   2.75 keV   1.472E-01  6.275E-03     587 A       430 A       348 A   
   3.00 keV   1.533E-01  6.096E-03     634 A       450 A       367 A   
   3.25 keV   1.591E-01  5.929E-03     682 A       469 A       385 A   
   3.50 keV   1.646E-01  5.771E-03     729 A       488 A       402 A   
   3.75 keV   1.700E-01  5.624E-03     775 A       505 A       419 A   
   4.00 keV   1.752E-01  5.484E-03     822 A       522 A       435 A   
   4.50 keV   1.851E-01  5.228E-03     913 A       553 A       465 A   
