 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Cobalt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  8.9000E+00 g/cm3 = 9.0944E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Co     27    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.816E-02  4.411E-03      68 A       101 A        75 A   
   1.10 keV   4.002E-02  4.397E-03      74 A       107 A        79 A   
   1.20 keV   4.180E-02  4.378E-03      80 A       113 A        84 A   
   1.30 keV   4.350E-02  4.356E-03      86 A       119 A        89 A   
   1.40 keV   4.515E-02  4.331E-03      92 A       125 A        93 A   
   1.50 keV   4.673E-02  4.303E-03      98 A       130 A        98 A   
   1.60 keV   4.826E-02  4.275E-03     104 A       136 A       102 A   
   1.70 keV   4.975E-02  4.245E-03     110 A       141 A       106 A   
   1.80 keV   5.119E-02  4.214E-03     116 A       146 A       110 A   
   2.00 keV   5.396E-02  4.151E-03     128 A       156 A       118 A   
   2.25 keV   5.725E-02  4.070E-03     144 A       168 A       128 A   
   2.50 keV   6.036E-02  3.991E-03     159 A       180 A       137 A   
   2.75 keV   6.333E-02  3.912E-03     174 A       191 A       146 A   
   3.00 keV   6.617E-02  3.836E-03     189 A       201 A       155 A   
   3.25 keV   6.889E-02  3.762E-03     204 A       212 A       163 A   
   3.50 keV   7.152E-02  3.690E-03     219 A       221 A       171 A   
   3.75 keV   7.406E-02  3.621E-03     234 A       231 A       179 A   
   4.00 keV   7.652E-02  3.555E-03     250 A       240 A       187 A   
   4.50 keV   8.123E-02  3.429E-03     280 A       257 A       202 A   
   5.00 keV   8.569E-02  3.313E-03     309 A       273 A       216 A   
