 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Cesium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.8785E+00 g/cm3 = 8.5113E+21 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cs     55    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.270E-02  1.538E-03     393 A       539 A       401 A   
   1.10 keV   4.479E-02  1.552E-03     424 A       569 A       424 A   
   1.20 keV   4.678E-02  1.563E-03     454 A       598 A       446 A   
   1.30 keV   4.869E-02  1.572E-03     483 A       626 A       468 A   
   1.40 keV   5.053E-02  1.579E-03     513 A       653 A       489 A   
   1.50 keV   5.230E-02  1.584E-03     542 A       679 A       509 A   
   1.60 keV   5.402E-02  1.588E-03     571 A       704 A       529 A   
   1.70 keV   5.568E-02  1.591E-03     600 A       728 A       548 A   
   1.80 keV   5.729E-02  1.592E-03     628 A       752 A       567 A   
   2.00 keV   6.039E-02  1.593E-03     685 A       798 A       604 A   
   2.25 keV   6.369E-02  1.591E-03     755 A       853 A       648 A   
   2.50 keV   6.684E-02  1.585E-03     824 A       905 A       690 A   
   2.75 keV   6.987E-02  1.578E-03     893 A       955 A       730 A   
   3.00 keV   7.280E-02  1.569E-03     962 A      1003 A       770 A   
   3.25 keV   7.564E-02  1.558E-03    1029 A      1050 A       807 A   
   3.50 keV   7.837E-02  1.547E-03    1097 A      1094 A       844 A   
   3.75 keV   8.102E-02  1.535E-03    1163 A      1137 A       880 A   
   4.00 keV   8.357E-02  1.523E-03    1230 A      1179 A       915 A   
   4.50 keV   8.843E-02  1.498E-03    1361 A      1258 A       982 A   
