 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Dysprosium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  8.5510E+00 g/cm3 = 3.1689E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Dy     66    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.212E-02  1.171E-03     104 A       188 A       137 A   
   1.10 keV   2.320E-02  1.185E-03     112 A       199 A       145 A   
   1.20 keV   2.423E-02  1.196E-03     120 A       209 A       153 A   
   1.30 keV   2.522E-02  1.206E-03     128 A       220 A       161 A   
   1.40 keV   2.617E-02  1.214E-03     136 A       230 A       168 A   
   1.50 keV   2.709E-02  1.220E-03     144 A       239 A       176 A   
   1.60 keV   2.798E-02  1.226E-03     152 A       249 A       183 A   
   1.70 keV   2.884E-02  1.230E-03     160 A       258 A       190 A   
   1.80 keV   2.967E-02  1.234E-03     168 A       267 A       197 A   
   2.00 keV   3.128E-02  1.239E-03     184 A       284 A       210 A   
   2.25 keV   3.290E-02  1.242E-03     204 A       305 A       226 A   
   2.50 keV   3.442E-02  1.243E-03     223 A       325 A       242 A   
   2.75 keV   3.586E-02  1.241E-03     243 A       345 A       257 A   
   3.00 keV   3.723E-02  1.238E-03     262 A       364 A       272 A   
   3.25 keV   3.855E-02  1.234E-03     282 A       383 A       286 A   
   3.50 keV   3.981E-02  1.228E-03     301 A       401 A       300 A   
   3.75 keV   4.102E-02  1.222E-03     321 A       419 A       314 A   
   4.00 keV   4.220E-02  1.216E-03     340 A       436 A       328 A   
   4.50 keV   4.444E-02  1.201E-03     380 A       469 A       355 A   
