 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Erbium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.0660E+00 g/cm3 = 3.2641E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Er     68    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.273E-02  1.128E-03      98 A       176 A       128 A   
   1.10 keV   2.384E-02  1.142E-03     106 A       186 A       136 A   
   1.20 keV   2.490E-02  1.153E-03     114 A       196 A       143 A   
   1.30 keV   2.591E-02  1.163E-03     121 A       205 A       150 A   
   1.40 keV   2.689E-02  1.171E-03     129 A       214 A       157 A   
   1.50 keV   2.784E-02  1.178E-03     136 A       223 A       164 A   
   1.60 keV   2.875E-02  1.184E-03     144 A       232 A       171 A   
   1.70 keV   2.963E-02  1.188E-03     151 A       241 A       177 A   
   1.80 keV   3.049E-02  1.192E-03     159 A       249 A       183 A   
   2.00 keV   3.214E-02  1.198E-03     173 A       265 A       196 A   
   2.25 keV   3.386E-02  1.202E-03     192 A       284 A       211 A   
   2.50 keV   3.547E-02  1.203E-03     210 A       303 A       225 A   
   2.75 keV   3.701E-02  1.202E-03     228 A       321 A       239 A   
   3.00 keV   3.849E-02  1.200E-03     247 A       339 A       253 A   
   3.25 keV   3.991E-02  1.196E-03     265 A       356 A       266 A   
   3.50 keV   4.127E-02  1.191E-03     283 A       372 A       279 A   
   3.75 keV   4.260E-02  1.186E-03     301 A       388 A       292 A   
   4.00 keV   4.388E-02  1.180E-03     319 A       404 A       304 A   
   4.50 keV   4.633E-02  1.167E-03     355 A       434 A       328 A   
   5.00 keV   4.866E-02  1.153E-03     391 A       463 A       352 A   
