 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Europium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.2440E+00 g/cm3 = 2.0780E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Eu     63    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.796E-02  1.296E-03     158 A       261 A       192 A   
   1.10 keV   2.933E-02  1.310E-03     171 A       276 A       203 A   
   1.20 keV   3.063E-02  1.322E-03     183 A       290 A       214 A   
   1.30 keV   3.188E-02  1.332E-03     195 A       304 A       224 A   
   1.40 keV   3.309E-02  1.340E-03     207 A       318 A       234 A   
   1.50 keV   3.425E-02  1.347E-03     220 A       331 A       245 A   
   1.60 keV   3.537E-02  1.352E-03     231 A       344 A       254 A   
   1.70 keV   3.646E-02  1.357E-03     243 A       356 A       264 A   
   1.80 keV   3.752E-02  1.360E-03     255 A       368 A       273 A   
   2.00 keV   3.954E-02  1.364E-03     279 A       392 A       292 A   
   2.25 keV   4.166E-02  1.366E-03     308 A       420 A       314 A   
   2.50 keV   4.364E-02  1.366E-03     337 A       447 A       335 A   
   2.75 keV   4.553E-02  1.363E-03     366 A       473 A       355 A   
   3.00 keV   4.733E-02  1.358E-03     395 A       499 A       375 A   
   3.25 keV   4.905E-02  1.352E-03     424 A       523 A       395 A   
   3.50 keV   5.071E-02  1.345E-03     453 A       547 A       414 A   
   3.75 keV   5.230E-02  1.338E-03     482 A       571 A       432 A   
   4.00 keV   5.385E-02  1.330E-03     511 A       593 A       450 A   
   4.50 keV   5.678E-02  1.313E-03     568 A       637 A       486 A   
   5.00 keV   5.955E-02  1.294E-03     625 A       679 A       520 A   
