 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Fluorine (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1111E+00 g/cm3 = 3.5220E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      F      9    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.088E-02  1.357E-02     496 A       575 A       436 A   
   1.10 keV   4.287E-02  1.322E-02     549 A       618 A       471 A   
   1.20 keV   4.478E-02  1.289E-02     602 A       661 A       505 A   
   1.30 keV   4.661E-02  1.258E-02     656 A       702 A       538 A   
   1.40 keV   4.837E-02  1.228E-02     711 A       742 A       571 A   
   1.50 keV   5.007E-02  1.200E-02     765 A       782 A       604 A   
   1.60 keV   5.171E-02  1.173E-02     820 A       820 A       635 A   
   1.70 keV   5.330E-02  1.148E-02     876 A       858 A       667 A   
   1.80 keV   5.484E-02  1.124E-02     931 A       894 A       697 A   
   2.00 keV   5.781E-02  1.079E-02    1043 A       965 A       758 A   
   2.25 keV   6.144E-02  1.028E-02    1184 A      1048 A       831 A   
   2.50 keV   6.506E-02  9.829E-03    1326 A      1128 A       901 A   
   2.75 keV   6.866E-02  9.420E-03    1467 A      1204 A       968 A   
   3.00 keV   7.226E-02  9.049E-03    1607 A      1276 A      1033 A   
   3.25 keV   7.585E-02  8.711E-03    1746 A      1343 A      1095 A   
   3.50 keV   7.943E-02  8.402E-03    1885 A      1408 A      1155 A   
   3.75 keV   8.300E-02  8.117E-03    2022 A      1469 A      1212 A   
   4.00 keV   8.656E-02  7.854E-03    2157 A      1527 A      1268 A   
