 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Iron.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.8658E+00 g/cm3 = 8.4817E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.930E-02  4.748E-03      75 A       110 A        82 A   
   1.10 keV   4.122E-02  4.729E-03      82 A       117 A        87 A   
   1.20 keV   4.305E-02  4.706E-03      88 A       124 A        92 A   
   1.30 keV   4.481E-02  4.679E-03      95 A       130 A        97 A   
   1.40 keV   4.650E-02  4.649E-03     102 A       136 A       102 A   
   1.50 keV   4.813E-02  4.618E-03     109 A       143 A       107 A   
   1.60 keV   4.971E-02  4.584E-03     115 A       149 A       112 A   
   1.70 keV   5.124E-02  4.550E-03     122 A       155 A       116 A   
   1.80 keV   5.272E-02  4.515E-03     129 A       160 A       121 A   
   2.00 keV   5.558E-02  4.443E-03     142 A       171 A       130 A   
   2.25 keV   5.922E-02  4.353E-03     159 A       184 A       140 A   
   2.50 keV   6.264E-02  4.263E-03     176 A       197 A       150 A   
   2.75 keV   6.583E-02  4.176E-03     193 A       209 A       160 A   
   3.00 keV   6.879E-02  4.092E-03     210 A       220 A       170 A   
   3.25 keV   7.151E-02  4.010E-03     226 A       231 A       179 A   
   3.50 keV   7.399E-02  3.931E-03     243 A       242 A       188 A   
   3.75 keV   7.624E-02  3.855E-03     260 A       252 A       197 A   
   4.00 keV   7.825E-02  3.782E-03     277 A       262 A       205 A   
   4.50 keV   8.164E-02  3.645E-03     311 A       281 A       222 A   
   5.00 keV   8.442E-02  3.518E-03     345 A       300 A       238 A   
