 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Gallium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.9040E+00 g/cm3 = 5.0995E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ga     31    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.512E-02  3.556E-03     109 A       167 A       123 A   
   1.10 keV   3.683E-02  3.554E-03     118 A       177 A       131 A   
   1.20 keV   3.847E-02  3.547E-03     128 A       187 A       139 A   
   1.30 keV   4.004E-02  3.537E-03     137 A       197 A       146 A   
   1.40 keV   4.155E-02  3.524E-03     147 A       206 A       154 A   
   1.50 keV   4.301E-02  3.509E-03     156 A       215 A       161 A   
   1.60 keV   4.442E-02  3.492E-03     166 A       224 A       168 A   
   1.70 keV   4.579E-02  3.474E-03     175 A       233 A       174 A   
   1.80 keV   4.712E-02  3.455E-03     185 A       242 A       181 A   
   2.00 keV   4.966E-02  3.414E-03     204 A       258 A       194 A   
   2.25 keV   5.200E-02  3.360E-03     227 A       278 A       210 A   
   2.50 keV   5.425E-02  3.305E-03     251 A       297 A       225 A   
   2.75 keV   5.645E-02  3.250E-03     276 A       315 A       240 A   
   3.00 keV   5.862E-02  3.196E-03     300 A       333 A       255 A   
   3.25 keV   6.075E-02  3.142E-03     324 A       351 A       269 A   
   3.50 keV   6.284E-02  3.089E-03     348 A       368 A       283 A   
   3.75 keV   6.488E-02  3.038E-03     373 A       384 A       297 A   
   4.00 keV   6.688E-02  2.989E-03     397 A       400 A       310 A   
   4.50 keV   7.074E-02  2.894E-03     445 A       430 A       336 A   
   5.00 keV   7.442E-02  2.805E-03     494 A       459 A       361 A   
