 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Gadolinium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.9010E+00 g/cm3 = 3.0257E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Gd     64    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.919E-02  1.224E-03     106 A       170 A       125 A   
   1.10 keV   3.061E-02  1.238E-03     115 A       180 A       133 A   
   1.20 keV   3.197E-02  1.249E-03     123 A       189 A       140 A   
   1.30 keV   3.328E-02  1.259E-03     131 A       198 A       147 A   
   1.40 keV   3.454E-02  1.267E-03     139 A       207 A       153 A   
   1.50 keV   3.575E-02  1.273E-03     147 A       216 A       160 A   
   1.60 keV   3.692E-02  1.279E-03     155 A       224 A       166 A   
   1.70 keV   3.806E-02  1.283E-03     163 A       232 A       172 A   
   1.80 keV   3.916E-02  1.286E-03     171 A       240 A       178 A   
   2.00 keV   4.128E-02  1.291E-03     186 A       255 A       190 A   
   2.25 keV   4.336E-02  1.293E-03     206 A       273 A       204 A   
   2.50 keV   4.529E-02  1.293E-03     225 A       291 A       218 A   
   2.75 keV   4.712E-02  1.290E-03     245 A       308 A       232 A   
   3.00 keV   4.885E-02  1.286E-03     264 A       324 A       245 A   
   3.25 keV   5.051E-02  1.281E-03     283 A       340 A       257 A   
   3.50 keV   5.209E-02  1.275E-03     302 A       356 A       270 A   
   3.75 keV   5.361E-02  1.268E-03     322 A       371 A       282 A   
   4.00 keV   5.507E-02  1.261E-03     341 A       386 A       294 A   
   4.50 keV   5.785E-02  1.245E-03     379 A       415 A       317 A   
