 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Germanium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.3500E+00 g/cm3 = 4.4371E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ge     32    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.878E-02  3.369E-03     114 A       152 A       113 A   
   1.10 keV   5.116E-02  3.369E-03     123 A       161 A       120 A   
   1.20 keV   5.343E-02  3.364E-03     133 A       169 A       127 A   
   1.30 keV   5.562E-02  3.356E-03     142 A       178 A       134 A   
   1.40 keV   5.772E-02  3.346E-03     152 A       186 A       140 A   
   1.50 keV   5.974E-02  3.333E-03     161 A       194 A       146 A   
   1.60 keV   6.170E-02  3.318E-03     170 A       201 A       152 A   
   1.70 keV   6.360E-02  3.302E-03     180 A       208 A       158 A   
   1.80 keV   6.544E-02  3.285E-03     189 A       216 A       164 A   
   2.00 keV   6.898E-02  3.249E-03     207 A       229 A       175 A   
   2.25 keV   7.286E-02  3.200E-03     230 A       246 A       188 A   
   2.50 keV   7.650E-02  3.150E-03     253 A       261 A       201 A   
   2.75 keV   7.996E-02  3.100E-03     276 A       276 A       214 A   
   3.00 keV   8.326E-02  3.050E-03     299 A       291 A       226 A   
   3.25 keV   8.643E-02  3.000E-03     322 A       304 A       237 A   
   3.50 keV   8.947E-02  2.952E-03     344 A       318 A       248 A   
   3.75 keV   9.240E-02  2.904E-03     367 A       331 A       259 A   
   4.00 keV   9.522E-02  2.858E-03     389 A       343 A       270 A   
   4.50 keV   1.006E-01  2.770E-03     433 A       366 A       291 A   
   5.00 keV   1.057E-01  2.687E-03     478 A       388 A       310 A   
