 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_H.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.0000E-05 g/cm3 = 5.3768E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.504E-01  1.692E-01  124.65 um    28.79 um    25.98 um  
   1.10 keV   7.871E-01  1.600E-01  135.55 um    30.19 um    27.68 um  
   1.20 keV   8.221E-01  1.519E-01  146.19 um    31.49 um    29.29 um  
   1.30 keV   8.556E-01  1.447E-01  156.59 um    32.68 um    30.81 um  
   1.40 keV   8.879E-01  1.383E-01  166.77 um    33.78 um    32.25 um  
   1.50 keV   9.191E-01  1.325E-01  176.74 um    34.81 um    33.61 um  
   1.60 keV   9.492E-01  1.272E-01  186.51 um    35.77 um    34.92 um  
   1.70 keV   9.785E-01  1.224E-01  196.09 um    36.67 um    36.16 um  
   1.80 keV   1.007E+00  1.180E-01  205.49 um    37.52 um    37.34 um  
   2.00 keV   1.061E+00  1.101E-01  223.78 um    39.10 um    39.56 um  
   2.25 keV   1.124E+00  1.019E-01  245.79 um    40.86 um    42.09 um  
   2.50 keV   1.183E+00  9.491E-02  266.96 um    42.41 um    44.39 um  
   2.75 keV   1.239E+00  8.894E-02  287.38 um    43.79 um    46.50 um  
   3.00 keV   1.293E+00  8.377E-02  307.12 um    45.03 um    48.44 um  
   3.25 keV   1.344E+00  7.923E-02  326.25 um    46.16 um    50.23 um  
   3.50 keV   1.393E+00  7.521E-02  344.82 um    47.18 um    51.90 um  
   3.75 keV   1.440E+00  7.162E-02  362.88 um    48.11 um    53.45 um  
