 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_He.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.8000E-04 g/cm3 = 2.7079E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.865E-02  3.746E-02  368.20 um   231.79 um   186.69 um  
   1.10 keV   3.005E-02  3.557E-02  415.88 um   256.22 um   208.13 um  
   1.20 keV   3.138E-02  3.389E-02  464.64 um   280.49 um   229.69 um  
   1.30 keV   3.267E-02  3.238E-02  514.37 um   304.56 um   251.31 um  
   1.40 keV   3.390E-02  3.103E-02  564.95 um   328.39 um   272.94 um  
   1.50 keV   3.509E-02  2.980E-02  616.28 um   351.95 um   294.56 um  
   1.60 keV   3.624E-02  2.867E-02  668.29 um   375.22 um   316.12 um  
   1.70 keV   3.735E-02  2.765E-02  720.88 um   398.17 um   337.60 um  
   1.80 keV   3.844E-02  2.670E-02  774.00 um   420.81 um   358.98 um  
   2.00 keV   4.052E-02  2.502E-02  881.66 um   464.78 um   401.54 um  
   2.25 keV   4.786E-02  2.322E-02    1.01 mm   515.22 um   452.67 um  
   2.50 keV   5.596E-02  2.170E-02    1.14 mm   559.34 um   499.45 um  
   2.75 keV   6.449E-02  2.039E-02    1.25 mm   597.83 um   541.50 um  
   3.00 keV   7.343E-02  1.925E-02    1.36 mm   631.34 um   579.09 um  
   3.25 keV   8.275E-02  1.825E-02    1.46 mm   660.52 um   612.63 um  
   3.50 keV   9.245E-02  1.736E-02    1.56 mm   685.94 um   642.56 um  
