 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Hafnium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3310E+01 g/cm3 = 4.4906E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Hf     72    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.935E-02  1.030E-03      70 A       134 A        97 A   
   1.10 keV   2.029E-02  1.043E-03      76 A       142 A       103 A   
   1.20 keV   2.119E-02  1.054E-03      81 A       149 A       109 A   
   1.30 keV   2.206E-02  1.064E-03      87 A       156 A       114 A   
   1.40 keV   2.289E-02  1.072E-03      92 A       164 A       120 A   
   1.50 keV   2.369E-02  1.079E-03      97 A       170 A       125 A   
   1.60 keV   2.447E-02  1.085E-03     103 A       177 A       130 A   
   1.70 keV   2.523E-02  1.090E-03     108 A       184 A       135 A   
   1.80 keV   2.596E-02  1.094E-03     113 A       190 A       140 A   
   2.00 keV   2.736E-02  1.101E-03     124 A       203 A       149 A   
   2.25 keV   2.886E-02  1.105E-03     137 A       217 A       161 A   
   2.50 keV   3.026E-02  1.108E-03     150 A       232 A       172 A   
   2.75 keV   3.160E-02  1.108E-03     163 A       246 A       182 A   
   3.00 keV   3.287E-02  1.107E-03     176 A       260 A       193 A   
   3.25 keV   3.409E-02  1.105E-03     189 A       273 A       203 A   
   3.50 keV   3.526E-02  1.101E-03     203 A       286 A       213 A   
   3.75 keV   3.639E-02  1.097E-03     216 A       298 A       223 A   
   4.00 keV   3.747E-02  1.093E-03     229 A       310 A       232 A   
   4.50 keV   3.955E-02  1.082E-03     255 A       334 A       251 A   
   5.00 keV   4.150E-02  1.071E-03     281 A       357 A       269 A   
