 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Mercury.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3546E+01 g/cm3 = 4.0668E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Hg     80    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.659E-02  8.741E-04      74 A       148 A       108 A   
   1.10 keV   1.740E-02  8.869E-04      79 A       157 A       114 A   
   1.20 keV   1.817E-02  8.978E-04      85 A       165 A       120 A   
   1.30 keV   1.892E-02  9.072E-04      91 A       173 A       126 A   
   1.40 keV   1.963E-02  9.153E-04      96 A       181 A       132 A   
   1.50 keV   2.032E-02  9.224E-04     102 A       189 A       138 A   
   1.60 keV   2.098E-02  9.284E-04     107 A       196 A       143 A   
   1.70 keV   2.163E-02  9.336E-04     113 A       204 A       149 A   
   1.80 keV   2.226E-02  9.382E-04     118 A       211 A       154 A   
   2.00 keV   2.346E-02  9.454E-04     129 A       224 A       165 A   
   2.25 keV   2.469E-02  9.516E-04     143 A       241 A       177 A   
   2.50 keV   2.583E-02  9.556E-04     156 A       257 A       189 A   
   2.75 keV   2.691E-02  9.577E-04     170 A       273 A       201 A   
   3.00 keV   2.793E-02  9.584E-04     184 A       288 A       213 A   
   3.25 keV   2.891E-02  9.580E-04     197 A       303 A       224 A   
   3.50 keV   2.985E-02  9.567E-04     211 A       318 A       235 A   
   3.75 keV   3.075E-02  9.547E-04     224 A       332 A       246 A   
   4.00 keV   3.162E-02  9.520E-04     238 A       346 A       257 A   
   4.50 keV   3.327E-02  9.455E-04     265 A       373 A       278 A   
   5.00 keV   3.481E-02  9.376E-04     292 A       399 A       299 A   
