 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Holmium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  8.7950E+00 g/cm3 = 3.2113E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ho     67    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.070E-02  1.148E-03     102 A       191 A       139 A   
   1.10 keV   2.171E-02  1.162E-03     111 A       202 A       147 A   
   1.20 keV   2.267E-02  1.174E-03     119 A       213 A       155 A   
   1.30 keV   2.360E-02  1.183E-03     127 A       223 A       163 A   
   1.40 keV   2.449E-02  1.191E-03     135 A       233 A       171 A   
   1.50 keV   2.535E-02  1.198E-03     143 A       243 A       178 A   
   1.60 keV   2.618E-02  1.204E-03     150 A       253 A       185 A   
   1.70 keV   2.698E-02  1.208E-03     158 A       262 A       193 A   
   1.80 keV   2.777E-02  1.212E-03     166 A       271 A       200 A   
   2.00 keV   2.927E-02  1.217E-03     182 A       289 A       213 A   
   2.25 keV   3.100E-02  1.221E-03     201 A       310 A       230 A   
   2.50 keV   3.264E-02  1.222E-03     220 A       331 A       245 A   
   2.75 keV   3.420E-02  1.221E-03     239 A       351 A       261 A   
   3.00 keV   3.569E-02  1.218E-03     259 A       370 A       275 A   
   3.25 keV   3.712E-02  1.214E-03     278 A       388 A       290 A   
   3.50 keV   3.849E-02  1.209E-03     297 A       406 A       304 A   
   3.75 keV   3.981E-02  1.203E-03     316 A       424 A       317 A   
   4.00 keV   4.110E-02  1.197E-03     335 A       441 A       331 A   
   4.50 keV   4.354E-02  1.183E-03     373 A       473 A       357 A   
   5.00 keV   4.585E-02  1.169E-03     411 A       505 A       382 A   
