 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Iodine (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.9373E+00 g/cm3 = 2.3430E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      I     53    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.751E-02  1.642E-03     151 A       221 A       164 A   
   1.10 keV   3.934E-02  1.656E-03     163 A       234 A       173 A   
   1.20 keV   4.109E-02  1.667E-03     175 A       246 A       182 A   
   1.30 keV   4.277E-02  1.676E-03     187 A       257 A       191 A   
   1.40 keV   4.438E-02  1.682E-03     198 A       269 A       200 A   
   1.50 keV   4.594E-02  1.687E-03     210 A       280 A       209 A   
   1.60 keV   4.745E-02  1.690E-03     221 A       290 A       217 A   
   1.70 keV   4.891E-02  1.693E-03     233 A       301 A       225 A   
   1.80 keV   5.032E-02  1.694E-03     244 A       311 A       233 A   
   2.00 keV   5.305E-02  1.693E-03     266 A       330 A       248 A   
   2.25 keV   5.586E-02  1.689E-03     294 A       353 A       267 A   
   2.50 keV   5.848E-02  1.682E-03     322 A       376 A       285 A   
   2.75 keV   6.097E-02  1.673E-03     350 A       397 A       302 A   
   3.00 keV   6.334E-02  1.662E-03     377 A       418 A       319 A   
   3.25 keV   6.561E-02  1.650E-03     405 A       438 A       335 A   
   3.50 keV   6.780E-02  1.637E-03     432 A       457 A       351 A   
   3.75 keV   6.990E-02  1.624E-03     460 A       476 A       366 A   
   4.00 keV   7.193E-02  1.610E-03     487 A       495 A       381 A   
   4.50 keV   7.580E-02  1.582E-03     541 A       530 A       411 A   
