 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Indium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.3000E+00 g/cm3 = 3.8287E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     In     49    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.179E-02  1.892E-03     102 A       162 A       119 A   
   1.10 keV   3.334E-02  1.906E-03     110 A       171 A       126 A   
   1.20 keV   3.482E-02  1.916E-03     118 A       180 A       133 A   
   1.30 keV   3.624E-02  1.924E-03     126 A       189 A       140 A   
   1.40 keV   3.761E-02  1.930E-03     134 A       198 A       147 A   
   1.50 keV   3.893E-02  1.933E-03     143 A       206 A       153 A   
   1.60 keV   4.021E-02  1.935E-03     151 A       214 A       159 A   
   1.70 keV   4.144E-02  1.936E-03     159 A       222 A       165 A   
   1.80 keV   4.265E-02  1.936E-03     167 A       230 A       171 A   
   2.00 keV   4.495E-02  1.932E-03     182 A       245 A       183 A   
   2.25 keV   4.715E-02  1.924E-03     202 A       263 A       197 A   
   2.50 keV   4.920E-02  1.913E-03     222 A       280 A       211 A   
   2.75 keV   5.116E-02  1.899E-03     242 A       297 A       224 A   
   3.00 keV   5.304E-02  1.884E-03     262 A       313 A       237 A   
   3.25 keV   5.485E-02  1.868E-03     282 A       329 A       250 A   
   3.50 keV   5.660E-02  1.851E-03     302 A       344 A       262 A   
   3.75 keV   5.830E-02  1.834E-03     322 A       359 A       274 A   
   4.00 keV   5.994E-02  1.816E-03     342 A       374 A       286 A   
   4.50 keV   6.310E-02  1.780E-03     382 A       402 A       310 A   
   5.00 keV   6.611E-02  1.745E-03     421 A       429 A       332 A   
