 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Iridium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.2421E+01 g/cm3 = 7.0249E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ir     77    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.398E-02  9.285E-04      45 A        98 A        71 A   
   1.10 keV   1.466E-02  9.416E-04      48 A       103 A        75 A   
   1.20 keV   1.531E-02  9.527E-04      52 A       109 A        79 A   
   1.30 keV   1.594E-02  9.622E-04      55 A       114 A        83 A   
   1.40 keV   1.654E-02  9.704E-04      59 A       120 A        87 A   
   1.50 keV   1.712E-02  9.774E-04      62 A       125 A        91 A   
   1.60 keV   1.768E-02  9.835E-04      65 A       130 A        94 A   
   1.70 keV   1.823E-02  9.886E-04      69 A       135 A        98 A   
   1.80 keV   1.875E-02  9.931E-04      72 A       139 A       102 A   
   2.00 keV   1.977E-02  1.000E-03      79 A       149 A       109 A   
   2.25 keV   2.084E-02  1.006E-03      88 A       160 A       117 A   
   2.50 keV   2.185E-02  1.009E-03      96 A       171 A       125 A   
   2.75 keV   2.280E-02  1.011E-03     105 A       182 A       133 A   
   3.00 keV   2.371E-02  1.011E-03     113 A       192 A       141 A   
   3.25 keV   2.459E-02  1.010E-03     122 A       202 A       149 A   
   3.50 keV   2.543E-02  1.008E-03     130 A       212 A       156 A   
   3.75 keV   2.624E-02  1.005E-03     139 A       222 A       164 A   
   4.00 keV   2.702E-02  1.002E-03     147 A       231 A       171 A   
   4.50 keV   2.852E-02  9.941E-04     164 A       249 A       185 A   
   5.00 keV   2.993E-02  9.850E-04     182 A       267 A       199 A   
