 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Potassium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  8.6320E-01 g/cm3 = 1.3295E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      K     19    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    6.934E-02  7.209E-03     561 A       646 A       490 A   
   1.10 keV   7.272E-02  7.137E-03     611 A       685 A       521 A   
   1.20 keV   7.595E-02  7.061E-03     661 A       722 A       551 A   
   1.30 keV   7.906E-02  6.982E-03     711 A       758 A       580 A   
   1.40 keV   8.204E-02  6.903E-03     761 A       793 A       609 A   
   1.50 keV   8.492E-02  6.823E-03     810 A       827 A       636 A   
   1.60 keV   8.770E-02  6.743E-03     860 A       860 A       663 A   
   1.70 keV   9.040E-02  6.664E-03     909 A       892 A       690 A   
   1.80 keV   9.302E-02  6.586E-03     958 A       923 A       715 A   
   2.00 keV   9.806E-02  6.433E-03    1056 A       982 A       765 A   
   2.25 keV   1.024E-01  6.249E-03    1178 A      1052 A       826 A   
   2.50 keV   1.065E-01  6.075E-03    1301 A      1119 A       884 A   
   2.75 keV   1.105E-01  5.910E-03    1424 A      1183 A       940 A   
   3.00 keV   1.144E-01  5.755E-03    1547 A      1245 A       995 A   
   3.25 keV   1.182E-01  5.608E-03    1670 A      1305 A      1048 A   
   3.50 keV   1.220E-01  5.469E-03    1792 A      1362 A      1100 A   
   3.75 keV   1.257E-01  5.337E-03    1914 A      1417 A      1150 A   
   4.00 keV   1.294E-01  5.213E-03    2035 A      1470 A      1199 A   
   4.50 keV   1.365E-01  4.983E-03    2276 A      1570 A      1293 A   
