 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Krypton (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.7400E-03 g/cm3 = 2.6876E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Kr     36    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.654E-02  2.790E-03   17.11 um    23.18 um    17.29 um  
   1.10 keV   4.881E-02  2.796E-03   18.53 um    24.53 um    18.33 um  
   1.20 keV   5.098E-02  2.798E-03   19.94 um    25.82 um    19.34 um  
   1.30 keV   5.306E-02  2.797E-03   21.34 um    27.07 um    20.32 um  
   1.40 keV   5.506E-02  2.792E-03   22.73 um    28.28 um    21.27 um  
   1.50 keV   5.699E-02  2.786E-03   24.11 um    29.46 um    22.19 um  
   1.60 keV   5.886E-02  2.778E-03   25.48 um    30.60 um    23.10 um  
   1.70 keV   6.067E-02  2.769E-03   26.85 um    31.71 um    23.98 um  
   1.80 keV   6.243E-02  2.759E-03   28.22 um    32.79 um    24.84 um  
   2.00 keV   6.581E-02  2.736E-03   30.94 um    34.86 um    26.52 um  
   2.25 keV   6.937E-02  2.703E-03   34.32 um    37.33 um    28.53 um  
   2.50 keV   7.271E-02  2.668E-03   37.69 um    39.69 um    30.47 um  
   2.75 keV   7.590E-02  2.632E-03   41.04 um    41.96 um    32.33 um  
   3.00 keV   7.895E-02  2.596E-03   44.39 um    44.14 um    34.14 um  
   3.25 keV   8.187E-02  2.559E-03   47.72 um    46.24 um    35.89 um  
   3.50 keV   8.470E-02  2.523E-03   51.04 um    48.26 um    37.60 um  
