 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lanthanum.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  6.1738E+00 g/cm3 = 2.6765E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     La     57    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.420E-02  1.445E-03     127 A       192 A       142 A   
   1.10 keV   3.587E-02  1.459E-03     137 A       203 A       150 A   
   1.20 keV   3.747E-02  1.470E-03     147 A       213 A       158 A   
   1.30 keV   3.900E-02  1.479E-03     157 A       223 A       166 A   
   1.40 keV   4.047E-02  1.486E-03     167 A       233 A       173 A   
   1.50 keV   4.189E-02  1.492E-03     176 A       243 A       181 A   
   1.60 keV   4.326E-02  1.496E-03     186 A       252 A       188 A   
   1.70 keV   4.460E-02  1.499E-03     195 A       261 A       195 A   
   1.80 keV   4.589E-02  1.501E-03     205 A       270 A       202 A   
   2.00 keV   4.837E-02  1.503E-03     224 A       286 A       215 A   
   2.25 keV   5.089E-02  1.502E-03     247 A       307 A       231 A   
   2.50 keV   5.325E-02  1.498E-03     270 A       326 A       246 A   
   2.75 keV   5.550E-02  1.492E-03     294 A       345 A       261 A   
   3.00 keV   5.767E-02  1.484E-03     317 A       363 A       276 A   
   3.25 keV   5.975E-02  1.475E-03     340 A       381 A       290 A   
   3.50 keV   6.177E-02  1.466E-03     363 A       398 A       304 A   
   3.75 keV   6.372E-02  1.455E-03     385 A       414 A       317 A   
   4.00 keV   6.562E-02  1.445E-03     408 A       430 A       330 A   
   4.50 keV   6.926E-02  1.422E-03     453 A       461 A       356 A   
   5.00 keV   7.273E-02  1.399E-03     498 A       490 A       380 A   
