 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lutetium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.8410E+00 g/cm3 = 3.3870E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Lu     71    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.352E-02  1.061E-03      92 A       160 A       117 A   
   1.10 keV   2.467E-02  1.075E-03      99 A       169 A       124 A   
   1.20 keV   2.576E-02  1.087E-03     106 A       178 A       131 A   
   1.30 keV   2.682E-02  1.096E-03     113 A       187 A       137 A   
   1.40 keV   2.783E-02  1.105E-03     120 A       195 A       143 A   
   1.50 keV   2.881E-02  1.112E-03     127 A       203 A       150 A   
   1.60 keV   2.975E-02  1.117E-03     133 A       211 A       155 A   
   1.70 keV   3.067E-02  1.122E-03     140 A       219 A       161 A   
   1.80 keV   3.156E-02  1.127E-03     147 A       226 A       167 A   
   2.00 keV   3.326E-02  1.133E-03     160 A       241 A       178 A   
   2.25 keV   3.506E-02  1.137E-03     177 A       258 A       192 A   
   2.50 keV   3.673E-02  1.139E-03     194 A       275 A       205 A   
   2.75 keV   3.832E-02  1.140E-03     211 A       291 A       217 A   
   3.00 keV   3.982E-02  1.138E-03     227 A       307 A       230 A   
   3.25 keV   4.126E-02  1.135E-03     244 A       322 A       242 A   
   3.50 keV   4.264E-02  1.132E-03     260 A       337 A       253 A   
   3.75 keV   4.397E-02  1.128E-03     277 A       352 A       265 A   
   4.00 keV   4.525E-02  1.123E-03     293 A       366 A       276 A   
   4.50 keV   4.768E-02  1.112E-03     326 A       393 A       298 A   
   5.00 keV   4.996E-02  1.099E-03     359 A       419 A       319 A   
